tai buvo tiesiog sudėtingesnė tautinės sąmonės forma , būdinga tokiems žmonėms kaip mykolas riomeris .	tai būti tiesiog sudėtingas tautinis sąmonė forma , būdingas toks žmogus kaip mykolas riomeris .	PRO 3;ACT;FIN;IND;POS;PST;SG;V ADV ADJ;CMPR;FEM;INDF;NOM;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG FEM;N;NOM;SG _ ADJ;FEM;INDF;NOM;SG DAT;DET;MASC;PL DAT;MASC;N;PL CONJ MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _
paskutinieji sokrato žodžiai tekste – „ aš dūstu “ .	paskutinis sokratas žodis tekstas – „ aš dusti “ .	ADJ;DEF;MASC;NOM;PL GEN;MASC;PROPN;SG MASC;N;NOM;PL ESS;MASC;N;SG _ _ 1;NOM;PRO;SG 1;ACT;FIN;IND;POS;PRS;SG;V _ _
pasak jų peršamo mentaliteto , rusijos interesai visada priešiški lietuvos interesams , ir kitaip negali būti .	pasak jie piršti mentalitetas , rusija interesas visada priešiškas lietuva interesas , ir kitaip galėti būti .	ADP 3;GEN;PL;PRO GEN;INDF;MASC;PASS;POS;PRS;SG;V;V.PTCP GEN;MASC;N;SG _ FEM;GEN;PROPN;SG MASC;N;NOM;PL ADV ADJ;INDF;MASC;NOM;PL FEM;GEN;PROPN;SG DAT;MASC;N;PL _ CONJ ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V _
kas sovietams tikrai rūpėjo padaryti , tas jiems ir pavyko : savo valdinius , kad ir kokia kalba jie kalbėtų ir kuo save laikytų , jie smarkiai demoralizavo , įdiegė jiems siaurą primityvų mentalitetą , kurio dalis , beje , buvo ir ksenofobija , ir neapykanta visokiems „ kosmopolitams “ .	kas sovietai tikrai rūpėti padaryti , tas jie ir pavykti : savo valdinys , kad ir koks kalba jie kalbėti ir kas savęs laikyti , jie smarkiai demoralizuoti , įdiegti jie siauras primityvus mentalitetas , kuris dalis , beje , būti ir ksenofobija , ir neapykanta visoks „ kosmopolitas “ .	CONJ DAT;MASC;N;PL ADV 3;ACT;FIN;IND;POS;PST;SG;V ACT;NFIN;POS;V _ MASC;NOM;PRO;SG 3;DAT;PL;PRO PART 3;ACT;FIN;IND;POS;PST;SG;V _ DET ACC;MASC;N;PL _ CONJ CONJ DET;FEM;NOM;SG FEM;N;NOM;SG 3;NOM;PL;PRO 3;ACT;COND;FIN;PL;POS;V CONJ INS;PRO ACC;PRO 3;ACT;COND;FIN;PL;POS;V _ 3;NOM;PL;PRO ADV 3;ACT;FIN;IND;PL;POS;PST;V _ 3;ACT;FIN;IND;PL;POS;PST;V 3;DAT;PL;PRO ACC;ADJ;INDF;MASC;SG ACC;ADJ;INDF;MASC;SG ACC;MASC;N;SG _ GEN;MASC;PRO;SG FEM;N;NOM;SG _ PART _ 3;ACT;FIN;IND;POS;PST;SG;V CONJ FEM;N;NOM;SG _ CONJ FEM;N;NOM;SG DAT;DET;MASC;PL _ DAT;MASC;N;PL _ _
tiesa , paklausūs buvo ir įprasti magnetofonai , kuriuos „ vilma “ gamina iki 1994 m .	tiesa , paklausus būti ir įprastas magnetofonas , kuris „ vilma “ gaminti iki 1994 m .	FEM;N;NOM;SG _ ADJ;INDF;MASC;NOM;PL 3;ACT;FIN;IND;POS;PST;SG;V PART ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ ACC;MASC;PL;PRO _ FEM;NOM;PROPN;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V ADP NUM N _
čia ssrs okupacijos laikais veikė milžiniška gamykla „ vilma “ .	čia ssrs okupacija laikas veikti milžiniškas gamykla „ vilma “ .	CONJ PROPN FEM;GEN;N;SG INS;MASC;N;PL 3;ACT;FIN;IND;POS;PST;SG;V ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _ FEM;NOM;PROPN;SG _ _
slapta gamykla vilniuje	slaptas gamykla vilnius	ADV FEM;N;NOM;SG ESS;MASC;PROPN;SG
galima ne be tam tikro pagrindo tikėtis rusijai tokios išeities , kokią savo metu pasirinko mustafos kemalio turkija .	galėti ne be tam tikras pagrindas tikėtis rusija toks išeitis , koks savo metas pasirinkti mustafa kemalis turkija .	INDF;NEUT;PASS;POS;PRS;V;V.PTCP NEG;PART ADP DET ADJ;GEN;INDF;MASC;SG GEN;MASC;N;SG ACT;NFIN;POS;REFL;V DAT;FEM;PROPN;SG DET;FEM;GEN;SG FEM;GEN;N;SG _ ACC;FEM;PRO;SG DET INS;MASC;N;SG 3;ACT;FIN;IND;POS;PST;SG;V FEM;GEN;PROPN;SG GEN;MASC;PROPN;SG FEM;NOM;PROPN;SG _
strepsiado pasaulyje sokrato nė pėdsakų nebūtų .	strepsiadas pasaulis sokratas nė pėdsakas būti .	GEN;MASC;PROPN;SG ESS;MASC;N;SG GEN;MASC;PROPN;SG NEG;PART GEN;MASC;N;PL 3;ACT;COND;FIN;NEG;SG;V _
jei leistinas „ alternatyvinės istorijos “ eksperimentas – įsivaizduokime , kad lietuvą 1944 metas išvaduoja vakarų sąjungininkai , ir į ją grįžta stasys lozoraitis , tuo metu nominalus valstybės galva .	jei leisti „ alternatyvinis istorija “ eksperimentas – įsivaizduoti , kad lietuva 1944 metas išvaduoti vakarai sąjungininkas , ir į ji grįžti stasys lozoraitis , tas metas nominalas valstybė galva .	CONJ INDF;MASC;NOM;POS;SG;V;V.PTCP _ ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG _ MASC;N;NOM;SG _ 1;ACT;FIN;IMP;PL;POS;V _ CONJ ACC;FEM;PROPN;SG ADJ MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;PL;PROPN MASC;N;NOM;PL _ CONJ ADP 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _ DET;INS INS;MASC;N;SG ACC;MASC;N;PL FEM;GEN;N;SG FEM;N;NOM;SG _
gali diskutuoti ( mes neslėpsim , kad tavo nuomones laikome klaidingomis ar anachroniškomis ) , bet negali diskriminuoti .	galėti diskutuoti ( mes slėpti , kad tavo nuomonė laikyti klaidingas ar anachroniškas ) , bet galėti diskriminuoti .	3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V _ 1;NOM;PL;PRO 1;ACT;FIN;FUT;IND;NEG;PL;V _ CONJ DET ACC;FEM;N;PL 1;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;INDF;INS;PL CONJ ADJ;FEM;INDF;INS;PL _ _ CONJ 3;ACT;FIN;IND;NEG;PRS;SG;V ACT;NFIN;POS;V _
jis abejoja dievais – tai yra , tradicinėmis vertybėmis , - netgi drįsta juos neigti .	jis abejoti dievas – tai būti , tradicinis vertybė , - netgi drįsti jie neigti .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V INS;MASC;N;PL _ PRO 3;ACT;FIN;IND;POS;PRS;SG;V _ ADJ;FEM;INDF;INS;PL FEM;INS;N;PL _ _ PART 3;ACT;FIN;IND;POS;PRS;SG;V 3;ACC;PL;PRO ACT;NFIN;POS;V _
„ mano adresas ne namas ir ne gatvė – mano adresas europos sąjunga “ , toliau ironizuoja radžvilas .	„ mano adresas ne namas ir ne gatvė – mano adresas europa sąjunga “ , toli ironizuoti radžvilas .	_ DET MASC;N;NOM;SG NEG;PART MASC;N;NOM;SG CONJ NEG;PART FEM;N;NOM;SG _ DET MASC;N;NOM;SG FEM;GEN;PROPN;SG FEM;NOM;PROPN;SG _ _ ADV;CMPR 3;ACT;FIN;IND;POS;PRS;SG;V MASC;NOM;PROPN;SG _
už tą pasaulį buvo brangiai sumokėta ir ligi šiol mokama , bet man jis mielesnis ar bent jau įdomesnis negu strepsiado pasaulis .	už tas pasaulis būti brangiai sumokėti ir ligi šis mokėti , bet aš jis mielas ar bent jau įdomus negu strepsiadas pasaulis .	ADP ACC;DET;MASC;SG ACC;MASC;N;SG 3;ACT;FIN;IND;POS;PST;SG;V ADV FEM;INDF;NOM;PASS;POS;PST;SG;V;V.PTCP CONJ ADP ADV INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ CONJ 1;DAT;PRO;SG 3;MASC;NOM;PRO;SG ADJ;CMPR;INDF;MASC;NOM;SG CONJ PART ADV ADJ;CMPR;INDF;MASC;NOM;SG CONJ GEN;MASC;PROPN;SG MASC;N;NOM;SG _
jie , beje , yra nato nariai – drauge su graikais , su kuriais ne per seniausiai kovėsi ir ligi šiol nesutaria dėl kipro .	jie , beje , būti nato narys – drauge su graikas , su kuris ne per senai kautis ir ligi šis sutarti dėl kipras .	3;MASC;NOM;PL;PRO _ PART _ 3;ACT;FIN;IND;PL;POS;PRS;V PROPN MASC;N;NOM;PL _ ADV ADP INS;MASC;N;PL _ ADP INS;MASC;PL;PRO NEG;PART ADP ADV;RL 3;ACT;FIN;IND;PL;POS;REFL;V CONJ ADP ADV 3;ACT;FIN;IND;NEG;PRS;SG;V ADP GEN;MASC;PROPN;SG _
seimas , apsijuokdamas prieš europą , neretai keldamas jos pasibjaurėjimą , priiminėja įstatymus apie raides „ w “ draudimą pasuose ir apie draudimą platinti seksualinę informaciją , o asmenys , laikantys save laisvės kovotojais , apmėto akmenimis gėjų eitynes ( gink dieve , ne nacių simpatikų eitynes ) .	seimas , apsijuokti prieš europa , neretai kelti jos pasibjaurėjimas , priiminėti įstatymas apie raidė „ w “ draudimas pasas ir apie draudimas platinti seksualinis informacija , o asmuo , laikyti savęs laisvė kovotojas , apmėtyti akmuo gėjus eitynės ( ginti dievas , ne nacis simpatikas eitynės ) .	MASC;N;NOM;SG _ ACT;MASC;POS;REFL;SG;V ADP ACC;FEM;PROPN;SG _ ADV;NEG ACT;MASC;POS;SG;V DET ACC;MASC;N;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;MASC;N;PL ADP ACC;FEM;N;PL _ _ _ ACC;MASC;N;SG ESS;MASC;N;PL CONJ ADP ACC;MASC;N;SG ACT;NFIN;POS;V ACC;ADJ;FEM;INDF;SG ACC;FEM;N;SG _ CONJ MASC;N;NOM;PL _ ACT;INDF;MASC;NOM;PL;POS;PRS;V;V.PTCP ACC;PRO FEM;GEN;N;SG INS;MASC;N;PL _ 3;ACT;FIN;IND;POS;PRS;SG;V INS;MASC;N;PL GEN;MASC;N;PL ACC;FEM;N;PL _ 2;ACT;FIN;IMP;POS;SG;V MASC;PROPN;SG;VOC _ NEG;PART GEN;MASC;N;PL GEN;MASC;N;PL ACC;FEM;N;PL _ _
maži , bet atkaklūs būreliai , nedidelės , bet padorios „ mąstyklos “ .	mažas , bet atkaklus būrelis , nedidelis , bet padorus „ mąstykla “ .	ADJ;INDF;MASC;NOM;PL _ CONJ ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ ADJ;FEM;INDF;NEG;NOM;PL _ CONJ ADJ;FEM;GEN;INDF;SG _ FEM;GEN;N;SG _ _
girdi , tuo paniekinamai tautos ilgaamžiai žygdarbiai ir kančios .	girdėti , tuo paniekinti tauta ilgaamžis žygdarbis ir kančia .	3;ACT;FIN;IND;POS;PRS;SG;V _ CONJ INDF;MASC;NOM;PASS;PL;POS;PRS;V;V.PTCP FEM;GEN;N;SG ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL CONJ FEM;N;NOM;PL _
bet nepriklausomybė be jokių apribojimų praktiškai neįmanoma , o jeigu įmanoma , tai žalinga .	bet nepriklausomybė be joks apribojimas praktiškai neįmanomas , o jeigu įmanomas , tai žalingas .	CONJ FEM;N;NEG;NOM;SG ADP DET;GEN;MASC;PL GEN;MASC;N;PL ADV ADJ;FEM;INDF;NEG;NOM;SG _ CONJ CONJ ADJ;FEM;INDF;NOM;SG _ CONJ ADJ;FEM;INDF;NOM;SG _
tauta , anot tų filosofų ir nefilosofų , be galo silpna ir menka – jei neaptversi jos tvora , geriausiai netgi spygliuota viela , ji nedelsiant sužlugs .	tauta , anot tas filosofas ir nefilosofas , be galas silpnas ir menkas – jei aptverti ji tvora , gerai netgi spygliuotas viela , ji nedelsiant sužlugti .	FEM;N;NOM;SG _ ADP DET;GEN;INDF;MASC;PL GEN;MASC;N;PL CONJ GEN;MASC;N;PL _ ADP GEN;MASC;N;SG ADJ;FEM;INDF;NOM;SG CONJ ADJ;FEM;INDF;NOM;SG _ CONJ 2;ACT;FIN;FUT;IND;NEG;SG;V 3;FEM;GEN;PRO;SG FEM;N;NOM;SG _ ADV;RL ADV ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _ 3;FEM;NOM;PRO;SG ADV 3;ACT;FIN;FUT;IND;POS;SG;V _
lietuvos valstybės interesas yra įsijungimas į globalinį ryšių tinklą – į kurį , beje , pamažu įsijungia ir mūsų tradiciniai priešininkai – o ne atsitvėrimas nuo jo .	lietuva valstybė interesas būti įsijungimas į globalinis ryšys tinklas – į kuris , beje , pamažu įsijungti ir mūsų tradicinis priešininkas – o ne atsitvėrimas nuo jis .	FEM;GEN;PROPN;SG FEM;GEN;N;SG MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V MASC;N;NOM;REFL;SG ADP ACC;ADJ;INDF;MASC;SG GEN;MASC;N;PL ACC;MASC;N;SG _ ADP ACC;MASC;PRO;SG _ PART _ ADV 3;ACT;FIN;IND;PL;POS;PRS;REFL;V PART DET ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ CONJ NEG;PART MASC;N;NOM;REFL;SG ADP 3;GEN;MASC;PRO;SG _
šį bei tą būtų galima pasakyti ir apie brolius pabaltiečius .	šis bei tas būti galėti pasakyti ir apie brolis pabaltietis .	ACC;MASC;PRO;SG CONJ ACC;DET;MASC;SG 3;ACT;COND;FIN;POS;SG;V INDF;NEUT;PASS;POS;PRS;V;V.PTCP ACT;NFIN;POS;V PART ADP ACC;MASC;N;PL ACC;MASC;N;PL _
mes , apskritai paėmus , gyvename jo pasaulyje – skepticizmo , laisvo mąstymo , tradicinių vertybių kritikos , globalizmo pasaulyje .	mes , apskritai paimti , gyventi jis pasaulis – skepticizmas , laisvas mąstymas , tradicinis vertybė kritika , globalizmas pasaulis .	1;NOM;PL;PRO _ ADV ACT;POS;V _ 1;ACT;FIN;IND;PL;POS;PRS;V DET ESS;MASC;N;SG _ GEN;MASC;N;SG _ ADJ;GEN;INDF;MASC;SG GEN;MASC;N;SG _ ADJ;GEN;INDF;MASC;PL FEM;GEN;N;PL FEM;GEN;N;SG _ GEN;MASC;N;SG ESS;MASC;N;SG _
beveik visi garsieji mūsų intelektualai pasuko arba pradeda sukti ne sokrato , o strepsiado keliu , nors jau du tūkstančius penkis šimtus metų – ir ne be pagrindo – manoma , kad intelektualui labiau dera sokrato kelias .	beveik visas garsus mūsų intelektualas pasukti arba pradėti sukti ne sokratas , o strepsiadas kelias , nors jau du tūkstantis penki šimtas metai – ir ne be pagrindas – manyti , kad intelektualas labai derėti sokratas kelias .	ADV DET;MASC;NOM;PL ADJ;DEF;MASC;NOM;PL DET MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PST;V CONJ 3;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V NEG;PART GEN;MASC;PROPN;SG _ CONJ GEN;MASC;PROPN;SG INS;MASC;N;SG _ CONJ PART ACC;MASC;NUM ACC;MASC;NUM;PL ACC;MASC;NUM ACC;MASC;NUM;PL GEN;MASC;N;PL _ CONJ NEG;PART ADP GEN;MASC;N;SG _ INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ CONJ DAT;MASC;N;SG ADV;CMPR 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;PROPN;SG MASC;N;NOM;SG _
tai lėmė nepalankų lietuvai lūžį – vietos žmonės įpyko ir pasirinko ne lietuviškumą , o lenkiškumą .	tai lemti nepalankus lietuva lūžis – vieta žmogus įpykti ir pasirinkti ne lietuviškumas , o lenkiškumas .	PRO 3;ACT;FIN;IND;POS;PST;SG;V ACC;ADJ;INDF;MASC;SG DAT;FEM;PROPN;SG ACC;MASC;N;SG _ FEM;GEN;N;SG MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PST;V CONJ 3;ACT;FIN;IND;PL;POS;PST;V NEG;PART ACC;ADJ;INDF;MASC;SG _ CONJ ACC;MASC;N;SG _
juk jie pakenkė lietuvos prestižui labiau negu kitas lietuvos priešas .	juk jie pakenkti lietuva prestižas labai negu kitas lietuva priešas .	PART 3;MASC;NOM;PL;PRO 3;ACT;FIN;IND;PL;POS;PST;V FEM;GEN;PROPN;SG DAT;MASC;N;SG ADV;CMPR CONJ ADJ;INDF;MASC;NOM;SG FEM;GEN;PROPN;SG MASC;N;NOM;SG _
žinoma , tam reikia protingai išspręsti lietuvos pilietybės klausimą .	žinoti , tas reikėti protingai išspręsti lietuva pilietybė klausimas .	INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ ACC;PRO 3;ACT;FIN;IND;POS;PRS;SG;V ADV ACT;NFIN;POS;V FEM;GEN;PROPN;SG FEM;GEN;N;SG ACC;MASC;N;SG _
turi atsirasti nauja valstybinė ir tautinė sąmonė , tokia kaip dabartinių vokiečių , anglų ar prancūzų , o ne tokia , kaip radio maryja lenkų arba dugino bei prochanovo rusų .	turėti atsirasti naujas valstybinis ir tautinis sąmonė , toks kaip dabartinis vokietis , anglas ar prancūzas , o ne toks , kaip radio maryja lenkas arba dugina bei prochanovas rusas .	3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V ADJ;FEM;INDF;NOM;SG ADJ;FEM;INDF;NOM;SG CONJ ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _ DET;FEM;NOM;SG CONJ ADJ;GEN;INDF;MASC;PL GEN;MASC;N;PL _ GEN;MASC;N;PL CONJ GEN;MASC;N;PL _ CONJ NEG;PART DET;FEM;NOM;SG _ CONJ GEN;MASC;N;SG FEM;NOM;PROPN;SG GEN;MASC;N;PL CONJ GEN;MASC;PROPN;SG CONJ GEN;MASC;PROPN;SG GEN;MASC;N;PL _
antra vertus , europos valstybės priėmė ir tebepriima daugybę imigrantų .	antra antra , europa valstybė priimti ir tebepriimti daugybė imigrantas .	ADV ADV _ FEM;GEN;PROPN;SG FEM;GEN;N;SG 3;ACT;FIN;IND;POS;PST;SG;V CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;FEM;N;SG GEN;MASC;N;PL _
