w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
w někotrych krajach na zemi njeje stolica runočasnje tež sydło knježerstwa , n . př . w nižozemskej ( stolica : amsterdam , sydło knježerstwa : den haag ) , boliwiskej ( la paz / sucre ) a tansaniji ( dodoma / daressalam ) .	w někotry kraj na zemja być stolica runočasnje tež sydło knježerstwo , na . přikład . w nižozemska ( stolica : amsterdam , sydło knježerstwo : den haag ) , boliwiska ( la paz / sucre ) a tansanija ( dodoma / daressalam ) .	ADP DET;ESS;INAN;MASC;PL ESS;INAN;MASC;N;PL ADP ESS;FEM;N;SG 3;FIN;IND;NEG;PRS;SG;V FEM;N;NOM;SG ADV ADV N;NEUT;NOM;SG GEN;N;NEUT;SG _ ADP _ ACC;INAN;MASC;N;SG _ ADP ESS;FEM;PROPN;SG _ FEM;N;NOM;SG _ INAN;MASC;NOM;PROPN;SG _ N;NEUT;NOM;SG GEN;N;NEUT;SG _ PROPN INAN;MASC;NOM;PROPN;SG _ _ ESS;FEM;PROPN;SG _ PROPN INAN;MASC;NOM;PROPN;SG _ NEUT;PROPN;SG _ CONJ ESS;FEM;PROPN;SG _ FEM;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ _
kóždu škodu abo zhubjenje ma wužiwar narunać .	kóždy škoda abo zhubjenje měć wužiwar narunać .	ACC;DET;FEM;SG ACC;FEM;N;SG CONJ ACC;N;NEUT;SG 3;FIN;IND;PRS;SG;V ANIM;MASC;N;NOM;SG NFIN;V _
pod biologiju móžemy dać dalše wědomosće .	pod biologija móc dać dalši wědomosć .	ADP ACC;FEM;N;SG 1;FIN;IND;PL;PRS;V NFIN;V ACC;ADJ;FEM;PL ACC;FEM;N;PL _
ernesto che guevara ( 14 . smažnika 1928 , rosario , argentinska - 9 . winowca 1967 , la higuera , boliwiska ) bě profesionalny marxistiski rewolucionar a guerillowy wjednik z argentinskeje .	ernesto che guevara ( 14 . smažnik 1928 , rosario , argentinska - 9 . winowc 1967 , la higuera , boliwiska ) być profesionalny marxistiski rewolucionar a guerillowy wjednik z argentinska .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ NUM _ GEN;INAN;MASC;N;SG NUM _ NEUT;NOM;PROPN;SG _ FEM;NOM;PROPN;SG _ NUM _ GEN;INAN;MASC;N;SG NUM _ FEM;NOM;PROPN;SG FEM;NOM;PROPN;SG _ FEM;NOM;PROPN;SG _ 3;FIN;IND;PST;SG;V ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG CONJ ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADP FEM;GEN;PROPN;SG _
ryby , wědomosce pisces ( wot łaćonskeho piscis = ryba ) , je rozšěrjene pomjenowanje za zymnokrejne , přeco abo nimale přeco we wodźe žiwych rjapnikow .	ryba , wědomosce pisces ( wot łaćonski piscis = ryba ) , być rozšěrjeny pomjenowanje za zymnokrejny , přeco abo nimale přeco w woda žiwy rjapnik .	FEM;N;NOM;PL _ ADV FEM;NOM;PL;PROPN _ ADP ADJ;GEN;NEUT;SG _ _ FEM;N;NOM;SG _ _ 3;FIN;IND;PRS;SG;V ADJ;NEUT;NOM;PASS;SG;V.PTCP N;NEUT;NOM;SG ADP ACC;ADJ;MASC;NHUM;PL _ ADV CONJ ADV ADV ADP ESS;FEM;N;SG ADJ;GEN;MASC;PL GEN;MASC;N;NHUM;PL _
wosebje w pralěsowej kónčiny w sewjerowuchodźe a w bengaliskej nižiny móže w tutym času k ćežkim powodźenjam přińdź , a na kromje himalaje njesu wotwalenja hory zrědka .	wosebje w pralěsowy kónčina w sewjerowuchod a w bengaliski nižina móc w tutón čas k ćežki powodźenje přińdź , a na kromja himalaj być wotwalenje hora zrědka .	ADV ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG ADP ESS;INAN;MASC;N;SG CONJ ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V ADP DET;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ADP ADJ;DAT;FEM;PL DAT;N;NEUT;PL NFIN;V _ CONJ ADP ESS;FEM;N;SG GEN;INAN;MASC;PROPN;SG 3;FIN;IND;NEG;PL;PRS;V N;NEUT;NOM;PL FEM;GEN;N;SG ADV _
nimo toho so awtomatisce kategorija kategorija : zarodk wo botanice doda .	nimo to so awtomatisce kategorija kategorija : zarodk wo botanika dodać .	ADP GEN;NEUT;PRO;SG ACC;PRO;REFL ADV FEM;N;NOM;SG FEM;N;NOM;SG _ INAN;MASC;N;NOM;SG ADP ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V _
w druhej połojcy 3 . lěttysaca př . n . l . da so nimo toho jednotna kultura w tutej kónčinje zwěsćić , kotraž so mjez druhim přez standardizowany załožk akropolisa z palastom a templemi w srjedźišću sydlenskeje hórki wuznamjeni .	w druhi połojca 3 . lěttysac před . naš . lětoličba . dać so nimo to jednotny kultura w tutón kónčina zwěsćić , kotryž so mjez druhi přez standardizowany załožk akropolis z palast a templ w srjedźišćo sydlenski hórka wuznamjeni .	ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG NUM _ GEN;INAN;MASC;N;SG ADP _ 1;DET;INAN;INS;MASC;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP GEN;NEUT;PRO;SG ADJ;FEM;NOM;SG FEM;N;NOM;SG ADP DET;ESS;FEM;SG ESS;FEM;N;SG NFIN;V _ DET;FEM;NOM;SG ACC;PRO;REFL ADP ADJ;INS;MASC;SG ADP ACC;ADJ;INAN;MASC;PASS;SG;V.PTCP ACC;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG ADP INAN;INS;MASC;N;SG CONJ INAN;INS;MASC;N;PL ADP ESS;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG ADJ;NOM;PASS;PL;V.PTCP _
sporofyt je přeco wjelebańkowy .	sporofyt być přeco wjelebańkowy .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV ADJ;MASC;NOM;SG _
tež swjedźeń silwestra padnje do decembra a je zdobom posledni dźeń lěta .	tež swjedźeń silwester padnyć do december a być zdobom posledni dźeń lěto .	ADV INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V ADP GEN;INAN;MASC;N;SG CONJ 3;FIN;IND;PRS;SG;V ADV ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG GEN;N;NEUT;SG _
tež rozpjeće keramikowych formow jasnje woteběra ( gasche et al . 1996 , 43 ) .	tež rozpjeće keramikowy forma jasnje woteběać ( gasche et al . 1996 , 43 ) .	ADV N;NEUT;NOM;SG ADJ;FEM;GEN;PL FEM;GEN;N;PL ADV 3;FIN;IND;PST;SG;V _ PROPN CONJ _ _ NUM _ NUM _ _
wona koncentruje so na stawizny a kulturu , druhe regionalnohistoriske wobłuki , kaž zarjadnistwo , hospodarstwo , geografija , přiroda atd . wobkedźbuja so přez saksku bibliografiju a braniborsku bibliografiju .	wón koncentrować so na stawizna a kultura , druhi regionalnohistoriski wobłuk , kaž zarjadnistwo , hospodarstwo , geografija , přiroda atd . wobkedźbować so přez sakski bibliografija a braniborski bibliografija .	3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ACC;FEM;N;PL CONJ ACC;FEM;N;SG _ ACC;ADJ;INAN;MASC;PL ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL _ CONJ N;NEUT;NOM;SG _ N;NEUT;NOM;SG _ FEM;N;NOM;SG _ FEM;N;NOM;SG ADV _ 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG _
muske organy su anteridije a žónske archegonije .	muski organ być anteridija a žónski archegonija .	ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V FEM;N;NOM;PL CONJ ADJ;INAN;MASC;NOM;PL FEM;N;NOM;PL _
knižna premjera zwjazka 48 spisow serbskeho instituta " stätten und stationen religiösen wirkens " w smolerjec kniharni	knižny premjera zwjazk 48 spis serbski institut " stätten und stationen religiösen wirkens " w smolerjec kniharnja	ADJ;FEM;NOM;SG FEM;N;NOM;SG GEN;INAN;MASC;N;SG NUM GEN;INAN;MASC;N;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ PROPN PROPN PROPN PROPN PROPN _ ADP ANIM;MASC;NOM;PROPN;SG ESS;FEM;N;SG
tute přesunjenje wokalow dźe na indoeuropski přechad wróćo a hodźi so tohodla , zdźěla pola samsnych werbow , we wjacorych rěčach wobkedźbować , na př .	tutón přesunjenje wokal hić na indoeuropski přechad wróćo a hodźeć so tohodla , zdźěla pola samsny werb , w wjacory rěč wobkedźbować , na přikład .	DET;NEUT;NOM;SG N;NEUT;NOM;SG GEN;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADV CONJ 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADV _ ADV ADP ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ ADP ADJ;ESS;FEM;PL ESS;FEM;N;PL NFIN;V _ ADP ACC;INAN;MASC;N;SG _
najwažniša hospodarska hałza wšak bě zhotowjenje smoły a kołmaza w regionje opis .	wažny hospodarski hałza wšak być zhotowjenje smoła a kołmaz w region opis .	ADJ;FEM;NOM;RL;SG ADJ;FEM;NOM;SG FEM;N;NOM;SG CONJ 3;FIN;IND;PST;SG;V N;NEUT;NOM;SG FEM;GEN;N;SG CONJ GEN;INAN;MASC;N;SG ADP ESS;INAN;MASC;N;SG INAN;MASC;NOM;PROPN;SG _
knihu čitać je móžno na kindle w formaće prc .	kniha čitać być móžno na kindle w format prc .	ACC;FEM;N;SG NFIN;V 3;FIN;IND;PRS;SG;V ADV ADP NEUT;PROPN;SG ADP ESS;INAN;MASC;N;SG _ _
prěnje pisomne dopokazy w južnej mezopotamiskej su w sumeriskej rěči spisane .	prěni pisomny dopokaz w južny mezopotamiska być w sumeriski rěč spisany .	ADJ;INAN;MASC;NOM;PL ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL ADP ADJ;ESS;FEM;SG ESS;FEM;PROPN;SG 3;FIN;IND;PL;PRS;V ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP _
rěčnicy so na pućowanjach a zarjadowanjach zetkawaja , wužiwaja esperanto w městnych skupinach a w interneće , maja listowe přećelstwa , čitaja literaturu w esperanće , posłuchaja esperantsku hudźbu a wužiwaja esperanto we wjele žiwjenskich wokruhach .	rěčnik so na pućowanje a zarjadowanje zetkawać , wužiwać esperanto w městny skupina a w internet , měć listowy přećelstwo , čitać literatura w esperanto , posłuchać esperantski hudźba a wužiwać esperanto w wjele žiwjenski wokruh .	ANIM;MASC;N;NOM;PL ACC;PRO;REFL ADP ESS;N;NEUT;PL CONJ ESS;N;NEUT;PL 3;FIN;IND;PL;PRS;V _ 3;FIN;IND;PL;PRS;V ACC;NEUT;PROPN;SG ADP ADJ;ESS;FEM;PL ESS;FEM;N;PL CONJ ADP ESS;INAN;MASC;N;SG _ 3;FIN;IND;PL;PRS;V ACC;ADJ;NEUT;PL ACC;N;NEUT;PL _ 3;FIN;IND;PL;PRS;V ACC;FEM;N;SG ADP ESS;NEUT;PROPN;SG _ 3;FIN;IND;PL;PRS;V ACC;ADJ;FEM;SG ACC;FEM;N;SG CONJ 3;FIN;IND;PL;PRS;V ACC;NEUT;PROPN;SG ADP DET ADJ;ESS;INAN;MASC;PL ESS;INAN;MASC;N;PL _
wonej so idealnje wudospołnjatej :	wón so idealnje wudospołnjaty :	3;DU;NOM;PRO ACC;PRO;REFL ADV ADJ;DU;NOM _
w němčinje su do dźensnišeho wšě sydom ablawtowych grupow wobchowane , při čimž někotre werby su tež swoju ablawtowu grupu w běhu rěčnych stawiznow změnili , abo počachu słabe być , na př . so werb backen w sewjernej němčinje hłownje słabje skłonjuje ( backen - backte - gebackt ) , mjeztym zo so w hornjej němčinje hišće husto sylny preteritum a particip ii ( backen - buk - gebacken ) jewjetej .	w němčina być do dźensniši wšě sydom ablawtowy grupa wobchowany , při štož někotry werb być tež swój ablawtowy grupa w běh rěčny stawizna změnić , abo počeć słaby być , na přikład . so werb backen w sewjerny němčina hłownje słabje skłonjować ( backen - backte - gebackt ) , mjeztym zo so w horni němčina hišće husto sylny preteritum a particip ii ( backen - buk - gebacken ) jewić .	ADP ESS;FEM;N;SG 3;FIN;IND;PL;PRS;V ADP ADJ;GEN;MASC;SG DET;FEM;NOM;PL NUM ADJ;FEM;GEN;PL FEM;GEN;N;PL ADJ;FEM;NOM;PASS;PL;V.PTCP _ ADP ESS;NEUT;PRO;SG DET;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V ADV ACC;DET;FEM;REFL;SG ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP ESS;INAN;MASC;N;SG ADJ;FEM;GEN;PL FEM;GEN;N;PL ACT;INAN;MASC;PL;PST;V;V.PTCP _ CONJ 3;FIN;IND;PL;PST;V ADJ;INAN;MASC;NOM;PL NFIN;V _ ADP ACC;INAN;MASC;N;SG _ ACC;PRO;REFL INAN;MASC;N;NOM;SG _ ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG ADV ADV 3;FIN;IND;PRS;SG;V _ _ _ _ _ _ _ _ ADV CONJ ACC;PRO;REFL ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG ADV ADV ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG CONJ INAN;MASC;N;NOM;SG NUM _ _ _ _ _ _ _ 3;DU;FIN;INAN;IND;PRS;V _
11 . tutón wužiwarski porjad nabudźe płaćiwosć 1 . januara 2007 a naruna dotalny .	11 . tutón wužiwarski porjad nabyć płaćiwosć 1 . januar 2007 a narunać dotalny .	NUM _ DET;INAN;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;FEM;N;SG NUM _ GEN;INAN;MASC;N;SG NUM CONJ 3;FIN;IND;PRS;SG;V ACC;ADJ;INAN;MASC;SG _
rozrostowace wikowanje wjedźeše w 3 . lěttysacu k wuwiću klinoweho pisma .	rozrostowacy wikowanje wjedźeć w 3 . lěttysac k wuwiće klinowy pismo .	ACT;ADJ;NEUT;NOM;PRS;SG;V.PTCP N;NEUT;NOM;SG 3;FIN;IND;PST;SG;V ADP NUM _ ESS;INAN;MASC;N;SG ADP DAT;N;NEUT;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _
pod titlom " wandel gestalten - geschichten und strategien um identitäts - und landschaftswandel in der lausitz " wuhotuje serbski institut na gižkojskim kuble we wikach pola drjowka fachowu konferencu , na kotrejž wobdźěli so 16 referentow a referentkow z wobłukow wědomosće , hospodarstwa a regionalneho zarjadnistwa .	pod titl " wandel gestalten - geschichten und strategien um identitäts - und landschaftswandel in der lausitz " wuhotować serbski institut na gižkojski kubl w wiki pola drjowk fachowy konferenca , na kotryž wobdźělić so 16 referent a referentka z wobłuk wědomosć , hospodarstwo a regionalny zarjadnistwo .	ADP INAN;INS;MASC;N;SG _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 3;FIN;IND;PRS;SG;V ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP ESS;PROPN ADP INAN;MASC;NOM;PL;PROPN ACC;ADJ;FEM;SG ACC;FEM;N;SG _ ADP DET;ESS;FEM;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL NUM ANIM;GEN;MASC;N;PL CONJ FEM;GEN;N;PL ADP GEN;INAN;MASC;N;PL FEM;GEN;N;PL _ GEN;N;NEUT;SG CONJ ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _
móžeš jón přestupić , ale nic přez smuhu . «	móc wón přestupić , ale nic přez smuha . «	2;FIN;IND;PRS;SG;V 3;ACC;MASC;PRO;SG NFIN;V _ CONJ NEG;PART ADP ACC;FEM;N;SG _ _
assyričenjo poněčim pismo a rěč wot aramejčanow přejimachu .	assyričan poněčim pismo a rěč wot aramejčan přejimać .	ANIM;MASC;N;NOM;PL ADV ACC;N;NEUT;SG CONJ ACC;FEM;N;SG ADP ANIM;GEN;MASC;PL;PROPN 3;FIN;IND;PL;PST;V _
ablawt ( tež apofonija ) mjenuje so změnu wokalow mjez rozdźělnymi morfami , kotrež samsny morphem reprezentuja .	ablawt ( tež apofonija ) mjenować so změna wokal mjez rozdźělny morf , kotryž samsny morphem reprezentować .	INAN;MASC;N;NOM;SG _ ADV FEM;N;NOM;SG _ 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ACC;FEM;N;SG GEN;INAN;MASC;N;PL ADP ADJ;INS;MASC;PL INAN;INS;MASC;N;PL _ DET;INAN;MASC;NOM;PL ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;FIN;IND;PL;PRS;V _
materialowa zběrka bazuje hłownje na wupiskach z wučbnicow za geografiju 5 . do 10 . lětnika kaž tež ze słownikow , mjez druhim z " němsko - hornjoserbskeho słownika noweje leksiki " , a na naprašowanjach .	materialowy zběrka bazować hłownje na wupisk z wučbnica za geografija 5 . do 10 . lětnik kaž tež z słownik , mjez druhi z " němski - hornjoserbski słownik nowy leksika " , a na naprašowanje .	ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV ADP ESS;INAN;MASC;N;SG ADP FEM;GEN;N;PL ADP ACC;FEM;N;SG NUM _ ADP NUM _ GEN;INAN;MASC;N;SG CONJ ADV ADP GEN;INAN;MASC;N;PL _ ADP ADJ;INS;NEUT;SG ADP _ ADJ _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG _ _ CONJ ADP ESS;N;NEUT;PL _
wokoło lěta 2700 př . n . l . bě klinowe pismo w swojich móžnosćach dospołnje wuwite .	wokoło lěto 2700 před . naš . lětoličba . być klinowy pismo w swój móžnosć dospołnje wuwity .	ADP GEN;N;NEUT;SG NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PST;SG;V ADJ;NEUT;NOM;SG N;NEUT;NOM;SG ADP DET;ESS;FEM;PL;REFL ESS;FEM;N;PL ADV ADJ;NEUT;NOM;PASS;SG;V.PTCP _
jich přiwuznosć so přez sćěhowacy kladogram wujasnjuje :	jich přiwuznosć so přez sćěhowacy kladogram wujasnjować :	3;DET;PSSP FEM;N;NOM;SG ACC;PRO;REFL ADP ACC;ACT;ADJ;INAN;MASC;PRS;SG;V.PTCP ACC;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V _
