similem si negas tibi me esse , certe simile est hoc rostro tuo .	similis si nego tu ego sum , certus similis sum hic rostrum tuus .	ACC;ADJ;MASC;SG CONJ 2;ACT;FIN;IND;PRS;SG;V DAT;MASC;PRO;SG ACC;MASC;PRO;SG ACT;NFIN;PRS;V _ ADV ADJ;NEUT;NOM;SG 3;ACT;FIN;IND;PRS;SG;V NEUT;NOM;PRO;SG DAT;N;NEUT;SG DAT;NEUT;PRO;SG _
habemus senatus consultum in te , catilina , vehemens et grave , non deest rei publicae consilium neque auctoritas huius ordinis :	habeo senatus consulo in tu , catilina , vehemens et gravis , non desum res publicus consilium que auctoritas hic ordo :	1;ACT;FIN;IND;PL;PRS;V GEN;MASC;N;SG ACC;NEUT;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;MASC;PRO;SG _ MASC;N;SG;VOC _ ACC;ADJ;NEUT;SG CONJ ACC;ADJ;NEUT;SG _ ADV 3;ACT;FIN;IND;PRS;SG;V FEM;GEN;N;SG ADJ;FEM;GEN;SG N;NEUT;NOM;SG CONJ FEM;N;NOM;SG GEN;MASC;PRO;SG GEN;MASC;N;SG _
utres inflati ambulamus .	utris inflo ambulo .	MASC;N;NOM;PL MASC;NOM;PASS;PFV;PL;PST;V;V.PTCP 1;ACT;FIN;IND;PL;PRS;V _
vota pro valetudine mea suscipi per consules et sacerdotes quinto quoque anno senatus decrevit .	votum pro valetudo meus suscipio per consul et sacerdos quintus quisque annus senatus decerno .	ACC;N;NEUT;PL ADP AT+ABL;FEM;N;SG ADJ;AT+ABL;FEM;SG NFIN;PASS;PRS;V ADP ACC;MASC;N;PL CONJ ACC;MASC;N;PL ADJ;AT+ABL;MASC;SG AT+ABL;NEUT;PRO;SG AT+ABL;MASC;N;SG MASC;N;NOM;SG 3;ACT;FIN;IND;PFV;PST;SG;V _
constitutum habui nunquam ;	constitutum habeo numquam ;	ACC;N;NEUT;SG 1;ACT;FIN;IND;PFV;PST;SG;V ADV _
alioquin iam tibi depraesentiarum reddidissem .	alioqui jam tu depraesentiarum reddo .	ADV ADV DAT;MASC;PRO;SG ADV 1;ACT;FIN;PST+PRF;SBJV;SG;V _
inde ubi libatos inroravere liquores vestibus et capiti , flectunt vestigia sanctae ad delubra deae , quorum fastigia turpi pallebant musco que stabant sine ignibus arae .	inde ubi libo inroro liquor vestis et caput , flecto vestigium sancio ad delubrum dea , quis fastigium turpis palleo muscus que sto sine ignis ara .	ADV CONJ ACC;MASC;PASS;PFV;PL;PST;V;V.PTCP 3;ACT;FIN;IND;PFV;PL;PST;V ACC;MASC;N;PL DAT;FEM;N;PL CONJ DAT;N;NEUT;SG _ 3;ACT;FIN;IND;PL;PRS;V ACC;N;NEUT;PL FEM;GEN;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;N;NEUT;PL FEM;GEN;N;SG _ GEN;MASC;PL;PRO N;NEUT;NOM;PL ADJ;AT+ABL;MASC;SG 3;ACT;FIN;IND;IPFV;PL;PST;V AT+ABL;MASC;N;SG CONJ 3;ACT;FIN;IND;IPFV;PL;PST;V ADP AT+ABL;MASC;N;PL FEM;N;NOM;PL _
conclamavit familia , c ne minus convivae , non propter hominem tam putidum , cuius et cervices fractas libenter vidissent , sed propter malum exitum cenae , ne necesse haberent alienum mortuum plorare .	conclamo familia , que ne parvus conviva , non propter homo tam putidus , qui et cervix frango libet video , sed propter malus exitus cena , ne necesse habeo alienus mortuus ploro .	3;ACT;FIN;IND;PFV;PST;SG;V FEM;N;NOM;SG _ _ ADV ADV MASC;N;NOM;PL _ ADV ADP ACC;MASC;N;SG ADV ACC;ADJ;MASC;SG _ GEN;MASC;PRO;SG ADV ACC;FEM;N;PL ACC;FEM;PASS;PFV;PL;PST;V;V.PTCP ADV 3;ACT;FIN;PL;PST+PRF;SBJV;V _ CONJ ADP ACC;ADJ;MASC;SG ACC;MASC;N;SG FEM;GEN;N;SG _ CONJ ACC;ADJ;NEUT;SG 3;ACT;FIN;IPFV;PL;PST;SBJV;V ACC;MASC;N;SG ACC;ADJ;MASC;SG ACT;NFIN;PRS;V _
utriusque exemplum breviter exponam rei .	uterque exemplum brevis expono res .	FEM;GEN;PRO;SG ACC;N;NEUT;SG ADV 1;ACT;FIN;FUT;IND;SG;V FEM;GEN;N;SG _
etiam discedens eodem modo sedentibus ualere dicebat .	etiam discedo idem modus sedeo valeo dico .	CONJ MASC;NOM;PRS;SG;V;V.PTCP AT+ABL;MASC;PRO;SG AT+ABL;MASC;N;SG DAT;MASC;PL;PRS;V;V.PTCP ACT;NFIN;PRS;V 3;ACT;FIN;IND;IPFV;PST;SG;V _
m. agrippam in sicilia post naualem uictoriam caeruleo uexillo donauit .	marcus agrippa in sicilia post navalis victoria caeruleus vexillum dono .	ACC;MASC;N;SG ACC;MASC;N;SG ADP AT+ABL;FEM;N;SG ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG ADJ;AT+ABL;NEUT;SG AT+ABL;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V _
protinus alter amat , fugit altera nomen amantis silvarum tenebris que captivarum ferarum exuviis gaudens que innuptae aemula phoebes .	protinus alter amo , fugio alter nomen amo silva tenebrae que captivus fera exuviae gaudeo que innubo aemulus phoebe .	ADV ADJ;MASC;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _ 3;ACT;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG ACC;N;NEUT;SG ACT;GEN;MASC;PRS;SG;V;V.PTCP FEM;GEN;N;PL AT+ABL;FEM;N;PL CONJ ADJ;FEM;GEN;PL FEM;GEN;N;PL AT+ABL;FEM;N;PL ACT;FEM;NOM;PRS;SG;V;V.PTCP CONJ FEM;GEN;PASS;PFV;PST;SG;V;V.PTCP ADJ;FEM;NOM;SG FEM;GEN;N;SG _
non nihil egit amor .	non nihil ago amor .	ADV N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V MASC;N;NOM;SG _
inridet primo pia vota lycaon , mox ait ' experiar deus hic , discrimine aperto , an sit mortalis .	irrideo primo pius votum lycaon , mox aio ' experior deus hic , discrimen apertus , an sum mortalis .	3;ACT;FIN;IND;PRS;SG;V ADV ACC;ADJ;NEUT;PL ACC;N;NEUT;PL MASC;N;NOM;SG CONJ ADV 3;ACT;FIN;IND;PRS;SG;V _ 1;FIN;PASS;PRS;SBJV;SG;V MASC;N;NOM;SG MASC;NOM;PRO;SG _ AT+ABL;N;NEUT;SG ADJ;AT+ABL;NEUT;SG _ CONJ 3;ACT;FIN;PRS;SBJV;SG;V ADJ;MASC;NOM;SG _
scilicet iam puerum strigae involaverant et supposuerant stramenticium vavatonem .	scilicet jam puer striga involo et suppono stramenticius vavato .	ADV ADV ACC;MASC;N;SG FEM;N;NOM;PL 3;ACT;FIN;IND;PL;PST+PRF;V CONJ 3;ACT;FIN;IND;PL;PST+PRF;V ACC;ADJ;MASC;SG ACC;MASC;N;SG _
a te decurrit ad meos haustus liquor .	ab tu decurro ad meus haustus liquor .	ADP AT+ABL;MASC;PRO;SG 3;ACT;FIN;IND;PRS;SG;V ADP ACC;MASC;PL;PRO ACC;MASC;N;PL MASC;N;NOM;SG _
ut sentit tonsum , gladio pectus transigit , nihil respiciens , dum dolorem vindicet .	ut sentio tondeo , gladius pectus transigo , nihil respicio , dum dolor vindico .	CONJ 3;ACT;FIN;IND;PRS;SG;V ACC;NEUT;PASS;PFV;PST;SG;V;V.PTCP _ AT+ABL;MASC;N;SG ACC;N;NEUT;SG 3;ACT;FIN;IND;PRS;SG;V _ N;NEUT;SG MASC;NOM;PRS;SG;V;V.PTCP _ CONJ ACC;MASC;N;SG 3;ACT;FIN;PRS;SBJV;SG;V _
fruere , quae laudas , canis :	fruor , qui laudo , canis :	2;ACT;FIN;IMP;PRS;SG;V _ ACC;NEUT;PL;PRO 2;ACT;FIN;IND;PRS;SG;V _ MASC;N;SG;VOC _
alii tarquinium a cicerone inmissum aiebant , ne crassus more suo suscepto malorum patrocinio rem publicam conturbaret .	alii tarquinius ab cicero immissus aio , ne crassus mos suus suscepto malus patrocinium res publicus conturbo .	MASC;N;NOM;PL ACC;MASC;N;SG ADP AT+ABL;MASC;N;SG ACC;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PST;V _ CONJ MASC;N;NOM;SG AT+ABL;MASC;N;SG ADJ;AT+ABL;MASC;SG 1;ACT;FIN;IND;PRS;SG;V GEN;MASC;N;PL AT+ABL;N;NEUT;SG ACC;FEM;N;SG ACC;ADJ;FEM;SG 3;ACT;FIN;IPFV;PST;SBJV;SG;V _
vix me teneo , c ne sum natura caldicerebrius , sed cum coepi , matrem meam dupundii non facio .	vix ego teneo , que ne sum natura caldicerebrius , sed cum coepio , mater meus dupundius non facio .	ADV ACC;MASC;PRO;SG 1;ACT;FIN;IND;PRS;SG;V _ CONJ ADV 1;ACT;FIN;IND;PRS;SG;V AT+ABL;FEM;N;SG ADJ;MASC;NOM;SG _ CONJ CONJ 1;ACT;FIN;IND;PFV;PST;SG;V _ ACC;FEM;N;SG ACC;ADJ;FEM;SG GEN;MASC;N;SG ADV 1;ACT;FIN;IND;PRS;SG;V _
excipit hos que volucris suae saturnia pennis collocat et gemmis caudam stellantibus inplet .	excipio hic que volucris suus saturnia penna colloco et gemma cauda stello inpleo .	3;ACT;FIN;IND;PRS;SG;V ACC;MASC;PL;PRO CONJ FEM;GEN;N;SG ADJ;FEM;GEN;SG FEM;N;NOM;SG DAT;FEM;N;PL 3;ACT;FIN;IND;PRS;SG;V CONJ AT+ABL;FEM;N;PL ACC;FEM;N;SG ACT;AT+ABL;FEM;PL;PRS;V;V.PTCP 3;ACT;FIN;IND;PRS;SG;V _
inveniemus quod manducemus , pullum , ova :	invenio qui manduco , pullus , ovum :	1;ACT;FIN;FUT;IND;PL;V ACC;NEUT;PRO;SG 1;ACT;FIN;PL;PRS;SBJV;V _ ACC;MASC;N;SG _ ACC;N;NEUT;PL _
et audivi vocem de caelo dicentem :	et audio vox de caelum dico :	CONJ 1;ACT;FIN;IND;PFV;PST;SG;V ACC;FEM;N;SG ADP AT+ABL;N;NEUT;SG ACC;ACT;FEM;PRS;SG;V;V.PTCP _
et ut depraesentiarum intelligas , quid tibi feceris :	et ut depraesentiarum intellego , quis tu facio :	CONJ CONJ ADV 2;ACT;FIN;PRS;SBJV;SG;V _ ACC;NEUT;PRO;SG DAT;MASC;PRO;SG 2;ACT;FIN;PFV;PST;SBJV;SG;V _
eum muniunt undique parietes atque insuper camera lapideis fornicibus iuncta .	eos munio undique paries atque insuper camera lapideus fornix jungo .	ACC;FEM;N;SG 3;ACT;FIN;IND;PL;PRS;V ADV MASC;N;NOM;PL CONJ ADV FEM;N;NOM;SG ADJ;AT+ABL;MASC;PL AT+ABL;MASC;N;PL FEM;NOM;PASS;PFV;PST;SG;V;V.PTCP _
iam pascua lernae que consita arboribus lyrcea reliquerat arva , cum deus inducta latas caligine terras occuluit que tenuit fugam que rapuit pudorem .	jam pascuus lerna que consero arbor *lyrcea relinquo arvum , cum deus induco latus caligo terra occulo que teneo fuga que rapio pudor .	ADV ACC;ADJ;NEUT;PL FEM;GEN;N;SG CONJ ACC;NEUT;PASS;PFV;PL;PST;V;V.PTCP AT+ABL;MASC;N;PL FEM;GEN;N;SG 3;ACT;FIN;IND;PST+PRF;SG;V ACC;N;NEUT;PL _ CONJ MASC;N;NOM;SG AT+ABL;FEM;PASS;PFV;PST;SG;V;V.PTCP ACC;ADJ;FEM;PL AT+ABL;FEM;N;SG ACC;FEM;N;PL 3;ACT;FIN;IND;PFV;PST;SG;V CONJ 3;ACT;FIN;IND;PFV;PST;SG;V ACC;FEM;N;SG CONJ 3;ACT;FIN;IND;PFV;PST;SG;V ACC;MASC;N;SG _
non impune feres :	non impunis fero :	ADV ADV 2;ACT;FIN;FUT;IND;SG;V _
verum inquis tanti non est ingenium tuum , momentum ut horae pereat officiis meis .	verus inquam tantus non sum ingenium tuus , momentum ut hora pereo officium meis .	ADV 2;ACT;FIN;IND;PRS;SG;V ADJ;GEN;NEUT;SG ADV 3;ACT;FIN;IND;PRS;SG;V N;NEUT;NOM;SG NEUT;NOM;PRO;SG _ N;NEUT;NOM;SG CONJ FEM;GEN;N;SG 3;ACT;FIN;PRS;SBJV;SG;V DAT;N;NEUT;PL DAT;NEUT;PL;PRO _
omnia domi nascuntur :	omnis domus nascor :	ADJ;NEUT;NOM;PL ESS;FEM;N;SG 3;FIN;IND;PASS;PL;PRS;V _
et plane interpellavit saltationis libidinem actuarius , qui tanquam urbis acta recitavit :	et planus interpello saltatio libido actuarius , qui tamquam urbs actum recito :	CONJ ADV 3;ACT;FIN;IND;PFV;PST;SG;V FEM;GEN;N;SG ACC;FEM;N;SG MASC;N;NOM;SG _ MASC;NOM;PRO;SG ADV FEM;GEN;N;SG ACC;N;NEUT;PL 3;ACT;FIN;IND;PFV;PST;SG;V _
in nova fert animus mutatas dicere formas corpora ;	in novus fero animus muto dico forma corpus ;	ADP ACC;ADJ;NEUT;PL 3;ACT;FIN;IND;PRS;SG;V MASC;N;NOM;SG ACC;FEM;PASS;PFV;PL;PST;V;V.PTCP ACT;NFIN;PRS;V ACC;FEM;N;PL ACC;N;NEUT;PL _
quo consolante doleres ?	quis consolor doleo ?	AT+ABL;MASC;PRO;SG ACT;AT+ABL;MASC;PRS;SG;V;V.PTCP 2;ACT;FIN;IPFV;PST;SBJV;SG;V _
iam meliores bestiarios vidi .	jam bonus bestiarius video .	ADV ACC;ADJ;CMPR;MASC;PL ACC;MASC;N;PL 1;ACT;FIN;IND;PFV;PST;SG;V _
pulchrum est bene facere rei publicae , etiam bene dicere haud absurdum est ;	pulcher sum bene facio res publicus , etiam bene dico haud absurdus sum ;	ADJ;NEUT;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADV ACT;NFIN;PRS;V DAT;FEM;N;SG ADJ;DAT;FEM;SG _ ADV ADV ACT;NFIN;PRS;V ADV ADJ;NEUT;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _
pallio enim coccineo adrasum excluserat caput que circa oneratas veste cervices laticlaviam immiserat mappam fimbriis hinc atque illinc pendentibus .	pallium enim coccineus adrado excludo caput que circa onero vestis cervix laticlavius immitto mappa fimbriae hinc atque illinc pendeo .	AT+ABL;N;NEUT;SG CONJ ADJ;AT+ABL;NEUT;SG ACC;NEUT;PASS;PFV;PST;SG;V;V.PTCP 3;ACT;FIN;IND;PST+PRF;SG;V ACC;N;NEUT;SG CONJ ADP ACC;FEM;PASS;PFV;PL;PST;V;V.PTCP AT+ABL;FEM;N;SG ACC;FEM;N;PL ACC;ADJ;FEM;SG 3;ACT;FIN;IND;PST+PRF;SG;V ACC;FEM;N;SG AT+ABL;FEM;N;PL ADV CONJ ADV ACT;AT+ABL;FEM;PL;PRS;V;V.PTCP _
necdum finieram sermonem , cum trimalchio ait :	necdum finio sermo , cum trimalchio aio :	CONJ 1;ACT;FIN;IND;PST+PRF;SG;V ACC;MASC;N;SG _ CONJ MASC;N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _
si ficta loquor , neget ipse videndum se mihi , que sit oculis lux ista novissima nostris .	si fictum loquor , nego ipse video sui ego , que sum oculus lux iste novissimus noster .	CONJ ACC;N;NEUT;PL 1;FIN;IND;PASS;PRS;SG;V _ 3;ACT;FIN;PRS;SBJV;SG;V MASC;NOM;PRO;SG ACC;MASC;PASS;PRS;SG;V;V.CVB ACC;MASC;PRO;SG DAT;FEM;PRO;SG _ CONJ 3;ACT;FIN;PRS;SBJV;SG;V DAT;MASC;N;PL FEM;N;NOM;SG FEM;NOM;PRO;SG ADJ;FEM;NOM;SG ADJ;DAT;MASC;PL _
quod solidum est que flecti nequit , mutatur in ossa ;	qui solidus sum que flecto nequeo , muto in ossum ;	NEUT;NOM;PRO;SG ADJ;NEUT;NOM;SG 3;ACT;FIN;IND;PRS;SG;V CONJ NFIN;PASS;PRS;V 3;ACT;FIN;IND;PRS;SG;V _ 3;FIN;IND;PASS;PRS;SG;V ADP ACC;N;NEUT;PL _
postremo dissimulandi causa aut sui expurgandi , sicut iurgio lacessitus foret , in senatum venit .	postremo dissimulo causa aut sui expurgo , sicut jurgium lacesso foro , in senatus venio .	ADV GEN;NEUT;PASS;PRS;SG;V;V.CVB AT+ABL;FEM;N;SG CONJ GEN;MASC;PRO;SG GEN;MASC;PASS;PRS;SG;V;V.CVB _ CONJ AT+ABL;N;NEUT;SG MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP 3;ACT;FIN;PRS;SBJV;SG;V _ ADP ACC;MASC;N;SG 3;ACT;FIN;IND;PRS;SG;V _
erit tanti criminis illa memor , et te circum omnis alias irata puellas differet :	sum tantus crimen ille memor , et tu circum omnis alius irascor puella differo :	3;ACT;FIN;FUT;IND;SG;V ADJ;GEN;NEUT;SG GEN;N;NEUT;SG FEM;NOM;PRO;SG ADJ;FEM;NOM;SG _ CONJ ACC;MASC;PRO;SG ADP ACC;ADJ;FEM;PL ACC;ADJ;FEM;PL ACT;FEM;NOM;PFV;PST;SG;V;V.PTCP ACC;FEM;N;PL 3;ACT;FIN;FUT;IND;SG;V _
ignoscet milli genius tuus , noluisses de manu illius panem accipere .	ignosco ego genius tuus , nolo de manus ille panis accipio .	3;ACT;FIN;FUT;IND;SG;V DAT;MASC;PRO;SG MASC;N;NOM;SG ADJ;MASC;NOM;SG _ 2;ACT;FIN;PST+PRF;SBJV;SG;V ADP AT+ABL;FEM;N;SG FEM;GEN;PRO;SG ACC;MASC;N;SG ACT;NFIN;PRS;V _
quorum adventu et remis cum spe defensionis studium propugnandi accessit et hostibus eadem de causa spes potiundi oppidi discessit .	qui adventus et remi cum spes defensio studium propugno accedo et hostis idem de causa spes potior oppidum discedo .	GEN;MASC;PL;PRO AT+ABL;MASC;N;SG CONJ DAT;MASC;N;PL ADP AT+ABL;FEM;N;SG FEM;GEN;N;SG N;NEUT;NOM;SG GEN;V;V.MSDR 3;ACT;FIN;IND;PFV;PST;SG;V CONJ AT+ABL;MASC;N;PL AT+ABL;FEM;PRO;SG ADP AT+ABL;FEM;N;SG FEM;N;NOM;SG GEN;NEUT;SG;V;V.CVB GEN;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V _
super iuvencum stabat deiectum leo .	super juvencus sto deicio leo .	ADP ACC;MASC;N;SG 3;ACT;FIN;IND;IPFV;PST;SG;V ACC;MASC;PASS;PFV;PST;SG;V;V.PTCP MASC;N;NOM;SG _
malus cum sutor inopia deperditus medicinam ignoto facere coepisset loco et venditaret falso antidotum nomine , verbosis acquisivit sibi famam strophis .	malus cum sutor inopia deperdo medicina ignosco facio coepio locus et vendito fallo antidotum nomen , verbosus acquiro sui fama stropha .	ADJ;MASC;NOM;SG CONJ MASC;N;NOM;SG AT+ABL;FEM;N;SG MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ACC;FEM;N;SG AT+ABL;MASC;PASS;PFV;PST;SG;V;V.PTCP ACT;NFIN;PRS;V 3;ACT;FIN;PST+PRF;SBJV;SG;V AT+ABL;MASC;N;SG CONJ 3;ACT;FIN;IPFV;PST;SBJV;SG;V AT+ABL;NEUT;PASS;PFV;PST;SG;V;V.PTCP ACC;N;NEUT;SG AT+ABL;N;NEUT;SG _ ADJ;AT+ABL;FEM;PL 3;ACT;FIN;IND;PFV;PST;SG;V DAT;MASC;PRO;SG ACC;FEM;N;SG AT+ABL;FEM;N;PL _
gallum enim gallinaceum , penthiacum et eiusmodi nenias rustici faciunt :	gallus enim gallinaceus , penthiacus et eiusmodi nenia rusticus facio :	ACC;MASC;N;SG CONJ ACC;ADJ;MASC;SG _ ACC;MASC;N;SG CONJ _ ACC;FEM;N;PL MASC;N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V _
magis illa matella digna fuit quam taurus iactaret .	magis ille matella dignus sum quam taurus jacto .	FEM;N;NOM;SG FEM;NOM;PRO;SG FEM;N;NOM;SG ADJ;FEM;NOM;SG 3;ACT;FIN;IND;PFV;PST;SG;V CONJ MASC;N;NOM;SG 3;ACT;FIN;IPFV;PST;SBJV;SG;V _
haec ego non rumore malo , non augure doctus ;	hic ego non rumor malus , non augur doceo ;	ACC;NEUT;PL;PRO MASC;NOM;PRO;SG ADV AT+ABL;MASC;N;SG ADJ;AT+ABL;MASC;SG _ ADV AT+ABL;MASC;N;SG MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP _
interdum ob immodicas disceptantium altercationes e curia per iram se proripienti quidam ingesserunt licere oportere senatoribus de re p. loqui .	interdum ob immodicus discepto altercatio ex curia per ira sui proripio quidam ingero licet oportet senator de res publicus loquor .	ADV ADP ACC;ADJ;FEM;PL GEN;MASC;PL;PRS;V;V.PTCP ACC;FEM;N;PL ADP AT+ABL;FEM;N;SG ADP ACC;FEM;N;SG ACC;MASC;PRO;SG DAT;MASC;PRS;SG;V;V.PTCP MASC;NOM;PL;PRO 3;ACT;FIN;IND;PFV;PL;PST;V ACT;NFIN;PRS;V ACT;NFIN;PRS;V DAT;MASC;N;PL ADP AT+ABL;FEM;N;SG ADJ;AT+ABL;FEM;SG ACT;NFIN;PRS;V _
postquam illum vita victor spoliavit achilles , dardanio aeneae sese fortissimus heros addiderat socium , non inferiora secutus .	postquam ille vita victor spolio achilles , dardanius aeneas sui fortis heros addo socius , non inferus sequor .	CONJ ACC;MASC;PRO;SG AT+ABL;FEM;N;SG MASC;N;NOM;SG 3;ACT;FIN;IND;PFV;PST;SG;V MASC;N;NOM;SG _ ADJ;DAT;MASC;SG DAT;MASC;N;SG ACC;MASC;PRO;SG ADJ;MASC;NOM;RL;SG MASC;N;NOM;SG 3;ACT;FIN;IND;PST+PRF;SG;V ACC;MASC;N;SG _ ADV ACC;ADJ;CMPR;NEUT;PL MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP _
vale :	valeo :	2;ACT;FIN;IMP;PRS;SG;V _
et clamaverunt voce magna dicentes :	et clamo vox magnus dico :	CONJ 3;ACT;FIN;IND;IPFV;PL;PST;V AT+ABL;FEM;N;SG ADJ;AT+ABL;FEM;SG ACT;MASC;NOM;PL;PRS;V;V.PTCP _
scylax , canino scilicet usus ingenio , taeterrimo latratu triclinium implevit que margaritam croesi paene laceravit .	scylax , caninus scilicet utor ingenium , taeter latratus triclinium impleo que margarita croesus paene lacero .	MASC;N;NOM;SG _ ADJ;AT+ABL;NEUT;SG ADV MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP AT+ABL;N;NEUT;SG _ ADJ;AT+ABL;MASC;RL;SG AT+ABL;MASC;N;SG ACC;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V CONJ ACC;FEM;N;SG GEN;MASC;N;SG ADV 3;ACT;FIN;IND;PFV;PST;SG;V _
diu risimus :	diu rideo :	ADV 1;ACT;FIN;IND;PFV;PL;PST;V _
habinna , nolo , statuam eius in monumento meo ponas , ne mortuus quidem lites habeam .	habinnas , nolo , statua is in monumentum meus pono , ne mortuus quidem lis habeo .	MASC;N;SG;VOC _ 1;ACT;FIN;IND;PRS;SG;V _ ACC;FEM;N;SG FEM;GEN;PRO;SG ADP AT+ABL;N;NEUT;SG ADJ;AT+ABL;NEUT;SG 2;ACT;FIN;PRS;SBJV;SG;V _ CONJ MASC;N;NOM;SG ADV ACC;FEM;N;PL 1;ACT;FIN;PRS;SBJV;SG;V _
ad fontem cervus , cum bibisset , restitit et in liquore vidit effigiem suam .	ad fons cervus , cum bibo , resto et in liquor video effigies suus .	ADP ACC;FEM;N;SG MASC;N;NOM;SG _ CONJ 3;ACT;FIN;PST+PRF;SBJV;SG;V _ 3;ACT;FIN;IND;PFV;PST;SG;V CONJ ADP AT+ABL;MASC;N;SG 3;ACT;FIN;IND;PFV;PST;SG;V ACC;FEM;N;SG ACC;FEM;PRO;SG _
