1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
the latest newsmax / zogby poll from late september placed him at 13 percent , 14 points behind republican party nominee ken cuccinelli , virginia 's attorney general , and 19 points behind democratic party nominee terry mcauliffe , the former democratic national committee chairman , with 24 percent undecided .	the late newsmax / zogby poll from late september place him at @card@ percent , @card@ point behind republican party nominee ken cuccinelli , virginia 's attorney general , and @card@ point behind democratic party nominee terry mcauliffe , the former democratic national committee chairman , with @card@ percent undecided .	DEF;DET ADJ;RL PROPN;SG _ PROPN;SG N;SG ADP ADJ PROPN;SG FIN;IND;PST;V 3;ACC;MASC;PRO;SG ADP NUM N;SG _ NUM N;PL ADP PROPN;SG PROPN;SG N;SG PROPN;SG PROPN;SG _ PROPN;SG PART PROPN;SG PROPN;SG _ CONJ NUM N;PL ADP PROPN;SG PROPN;SG N;SG PROPN;SG PROPN;SG _ DEF;DET ADJ PROPN;SG PROPN;SG PROPN;SG N;SG _ CONJ NUM N;SG ADJ _
store hours : mon-fri 08:30 am - 7 pm , sat 08:30 am - 06:30 pm , sun 9 am - 03:00 pm	store hour : mon-fri @card@ am - 7 pm , sit @card@ am - @card@ pm , sun 9 am - @card@ pm	N;SG N;SG _ PROPN;SG NUM PROPN;SG ADP NUM PROPN;SG _ PROPN;SG NUM PROPN;SG ADP NUM PROPN;SG _ PROPN;SG NUM PROPN;SG ADP NUM PROPN;SG
women defy the laws of purse-space , so when it comes to bib pockets , the sky is the limit .	woman defy the law of purse-space , so when it come to bib pocket , the sky be the limit .	N;PL FIN;IND;PRS;V DEF;DET N;PL ADP N;SG _ ADV CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP N;SG N;PL _ DEF;DET N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG _
he successfully defended his dissertation in 1891 .	he successfully defend his dissertation in @card@ .	3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V 3;MASC;PRO;SG N;SG ADP NUM _
how to hypnotize a chicken	how to hypnotize a chicken	CONJ PART NFIN;V DET;INDF N;SG
i do wear a lot of black .	i do wear a lot of black .	1;NOM;PRO;SG FIN;IND;PRS;V NFIN;V DET;INDF N;SG ADP N;SG _
has the internet helped or hurt magic ?	have the internet help or hurt magic ?	3;FIN;IND;PRS;SG;V DEF;DET N;SG PST;V;V.PTCP CONJ PST;V;V.PTCP N;SG _
there 's a misconception in this industry .	there be a misconception in this industry .	PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP DET;SG N;SG _
additionally , the analysis address the perceived reasons for reported discrimination experiences .	additionally , the analysis address the perceive reason for report discrimination experience .	ADV _ DEF;DET N;SG FIN;IND;PRS;V DEF;DET PST;V;V.PTCP N;PL ADP PST;V;V.PTCP N;SG N;PL _
heald noted the findings show pollution reduction is also important .	heald note the finding show pollution reduction be also important .	PROPN;SG FIN;IND;PST;V DEF;DET N;PL FIN;IND;PRS;V N;SG N;SG 3;FIN;IND;PRS;SG;V ADV ADJ _
as a result , wikihow is still at the size that every editor eventually gets to know other editors .	as a result , wikihow be still at the size that every editor eventually get to know other editor .	ADP DET;INDF N;SG _ PROPN;SG 3;FIN;IND;PRS;SG;V ADV ADP DEF;DET N;SG PRO DET N;SG ADV 3;FIN;IND;PRS;SG;V PART NFIN;V ADJ N;PL _
shake every 15 minutes .	shake every @card@ minute .	NFIN;V DET NUM N;PL _
marie galante : the biggest island out of mainland guadeloupe .	marie galante : the big island out of mainland guadeloupe .	PROPN;SG PROPN;SG _ DEF;DET ADJ;RL N;SG CONJ ADP N;SG PROPN;SG _
first of all i think maybe they have bad teachers , which is a problem .	first of all i think maybe they have bad teacher , which be a problem .	ADJ ADP PRO 1;NOM;PRO;SG FIN;IND;PRS;V ADV 3;NOM;PL;PRO FIN;IND;PRS;V ADJ N;PL _ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG _
ehow was and continues to be the largest and how to website in the world .	ehow be and continue to be the large and how to website in the world .	PROPN;SG 3;FIN;IND;PST;SG;V CONJ 3;FIN;IND;PRS;SG;V PART NFIN;V DEF;DET ADJ;RL CONJ CONJ PART N;SG ADP DEF;DET N;SG _
if someone asks you why you pushed all the buttons , you can honestly say , " it was just a joke ! "	if someone ask you why you push all the button , you can honestly say , " it be just a joke ! "	CONJ N;SG 3;FIN;IND;PRS;SG;V 2;ACC;PRO CONJ 2;NOM;PRO FIN;IND;PST;V PRO DEF;DET N;PL _ 2;NOM;PRO FIN;V ADV NFIN;V _ _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV DET;INDF N;SG _ _
the stories from this first period ( 1892 – 94 ) suffered from the excessive influence of heian poetry .	the storey from this first period ( @card@ – @card@ ) suffer from the excessive influence of heian poetry .	DEF;DET N;PL ADP DET;SG ADJ N;SG _ NUM ADP NUM _ FIN;IND;PST;V ADP DEF;DET ADJ N;SG ADP PROPN;SG N;SG _
the population of łódź soared from some 4,000 people in the 1830s and 40,000 in 1865 to over 300,000 inhabitants at the turn of the century , which was an unprecedented growth on a worldwide scale .	the population of łódź soar from some @card@ people in the 1830s and @card@ in @card@ to over @card@ inhabitant at the turn of the century , which be an unprecedented growth on a worldwide scale .	DEF;DET N;SG ADP PROPN;SG FIN;IND;PST;V ADP DET NUM N;PL ADP DEF;DET N;PL CONJ NUM ADP NUM ADP ADV NUM N;PL ADP DEF;DET N;SG ADP DEF;DET N;SG _ PRO 3;FIN;IND;PST;SG;V DET;INDF ADJ N;SG ADP DET;INDF ADJ N;SG _
as president , i will serve all of the people in america , guided by the constitution .	as president , i will serve all of the people in america , guide by the constitution .	ADP PROPN;SG _ 1;NOM;PRO;SG FIN;V NFIN;V PRO ADP DEF;DET N;PL ADP PROPN;SG _ PST;V;V.PTCP ADP DEF;DET PROPN;SG _
the coppergate excavations of the 1970s revealed much of this viking past .	the coppergate excavation of the 1970s reveal much of this viking past .	DEF;DET PROPN;SG N;PL ADP DEF;DET N;PL FIN;IND;PST;V ADV ADP DET;SG PROPN;SG N;SG _
the request was advanced by the municipality of livorno in 2010 .	the request be advance by the municipality of livorno in @card@ .	DEF;DET N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET PROPN;SG ADP PROPN;SG ADP NUM _
at some point or another , most people realize that the world does n't revolve around them .	at some point or another , most people realize that the world do n't revolve around them .	ADP DET N;SG CONJ PRO _ ADJ;RL N;PL FIN;IND;PRS;V CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V NEG;PART NFIN;V ADP 3;ACC;PL;PRO _
asking for help with a work or school-related problem is almost always a good bet , as is asking a question about something striking about the person .	ask for help with a work or school problem be almost always a good bet , as be ask a question about something strike about the person .	V;V.MSDR ADP N;SG ADP DET;INDF N;SG CONJ ADJ N;SG 3;FIN;IND;PRS;SG;V ADV ADV DET;INDF ADJ N;SG _ CONJ 3;FIN;IND;PRS;SG;V V;V.MSDR DET;INDF N;SG ADP N;SG V;V.MSDR ADP DEF;DET N;SG _
eventually , she got the break she was so eager for :	eventually , she get the break she be so eager for :	ADV _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADJ ADP _
zenghelis described her as the most outstanding pupil he ever taught .	zenghelis describe her as the most outstanding pupil he ever teach .	PROPN;SG FIN;IND;PST;V 3;ACC;FEM;PRO;SG ADP DEF;DET ADV ADJ N;SG 3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V _
the majority of outfits involved at least some elements made from scratch , a fantastic display of craftsmanship .	the majority of outfit involve at least some element make from scratch , a fantastic display of craftsmanship .	DEF;DET N;SG ADP N;PL FIN;IND;PST;V CONJ ADJ;RL DET N;PL PST;V;V.PTCP ADP N;SG _ DET;INDF ADJ N;SG ADP N;SG _
place two parts water or stock to one part of quinoa in a saucepan over medium-high heat and bring to a boil .	place two part water or stock to one part of quinoa in a saucepan over medium-high heat and bring to a boil .	NFIN;V NUM N;PL N;SG CONJ N;SG ADP NUM N;SG ADP N;SG ADP DET;INDF N;SG ADP ADJ N;SG CONJ NFIN;V ADP DET;INDF N;SG _
-- beautiful girls --	-- beautiful girl --	_ ADJ N;PL _
do over !	do over !	NFIN;V ADP _
the andy warhol foundation for the visual arts made two donations to usi art collections , in 2007 and a second recently .	the andy warhol foundation for the visual art make two donation to usi art collection , in @card@ and a second recently .	DEF;DET PROPN;SG PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG PL;PROPN FIN;IND;PST;V NUM N;PL ADP PROPN;SG PROPN;SG N;PL _ ADP NUM CONJ DET;INDF N;SG ADV _
boxes should be marked " fragile " and " this side up " to prevent mishandling .	box should be mark " fragile " and " this side up " to prevent mishandle .	N;PL FIN;V NFIN;V PST;V;V.PTCP _ ADJ _ CONJ _ DET;SG N;SG ADP _ PART NFIN;V V;V.MSDR _
image : nick moreau .	image : nick moreau .	N;SG _ PROPN;SG PROPN;SG _
this can cause the chicken significant discomfort , leading to fainting or even , rarely , death .	this can cause the chicken significant discomfort , lead to fainting or even , rarely , death .	PRO;SG FIN;V NFIN;V DEF;DET N;SG ADJ N;SG _ V;V.MSDR PART V;V.MSDR CONJ ADV _ ADV _ N;SG _
it can take as long as 4 to 4 years before you get flowers .	it can take as long as 4 to 4 year before you get flower .	3;NEUT;NOM;PRO;SG FIN;V NFIN;V ADV ADJ ADP NUM ADP NUM N;PL CONJ 2;NOM;PRO FIN;IND;PRS;V N;PL _
just the fact that those were the lead stories for so many days , in everything from us weekly to time magazine .	just the fact that those be the lead storey for so many day , in everything from us weekly to time magazine .	ADV DEF;DET N;SG CONJ PL;PRO FIN;IND;PST;V DEF;DET ADJ N;PL ADP ADV ADJ N;PL _ ADP N;SG ADP PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG _
the microscope collects stacks of digital images of the aerogel collectors in the array .	the microscope collect stack of digital image of the aerogel collector in the array .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V N;PL ADP ADJ N;PL ADP DEF;DET N;SG N;PL ADP DEF;DET N;SG _
it varies ; look around manhattan , look around rents , look around build-outs , look around hiring , look around advertising ...	it vary ; look around manhattan , look around rent , look around build-outs , look around hire , look around advertising ...	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _ NFIN;V ADP PROPN;SG _ NFIN;V ADP N;PL _ NFIN;V ADP N;PL _ NFIN;V ADP V;V.MSDR _ NFIN;V ADP N;SG _
how to pack your possessions when moving	how to pack your possession when move	CONJ PART NFIN;V 2;PRO N;PL CONJ V;V.MSDR
all in all , i think this is a terrific opportunity to improve sports coverage in a multitude of aspects ; but we will have to wait until after the event to assess to what extent the broadcasters will meet these expectations .	all in all , i think this be a terrific opportunity to improve sport coverage in a multitude of aspect ; but we will have to wait until after the event to assess to what extent the broadcaster will meet these expectation .	PRO ADP PRO _ 1;NOM;PRO;SG FIN;IND;PRS;V PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG PART NFIN;V N;PL N;SG ADP DET;INDF N;SG ADP N;PL _ CONJ 1;NOM;PL;PRO FIN;V NFIN;V PART NFIN;V CONJ ADP DEF;DET N;SG PART NFIN;V ADP DET N;SG DEF;DET N;PL FIN;V NFIN;V DET;PL N;PL _
she was nineteen , two years younger than carroll ; she was a student at jellicoh college and every weekday she rose at seven and biked four miles into town , and then back again on her bike , four miles uphill to the farm .	she be nineteen , two year young than carroll ; she be a student at jellicoh college and every weekday she rise at seven and bike four mile into town , and then back again on her bike , four mile uphill to the farm .	3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V NUM _ NUM N;PL ADJ;CMPR ADP PROPN;SG _ 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF N;SG ADP PROPN;SG PROPN;SG CONJ DET N;SG 3;FEM;NOM;PRO;SG FIN;IND;PST;V ADP NUM CONJ FIN;IND;PST;V NUM N;PL ADP N;SG _ CONJ ADV ADV ADV ADP 3;FEM;PRO;SG N;SG _ NUM N;PL ADV ADP DEF;DET N;SG _
or was that a later one ?	or be that a later one ?	CONJ 3;FIN;IND;PST;SG;V PRO;SG DET;INDF ADJ;CMPR NUM _
cornyn 's statement added , " there is no question houston should have been selected as a final home for one of the orbiters — even administrator bolden stated as much .	cornyn 's statement add , " there be no question houston should have be select as a final home for one of the orbiters — even administrator bolden state as much .	PROPN;SG PART N;SG FIN;IND;PST;V _ _ PRO 3;FIN;IND;PRS;SG;V DET;NEG N;SG PROPN;SG FIN;V NFIN;V PST;V;V.PTCP PST;V;V.PTCP ADP DET;INDF ADJ N;SG ADP NUM ADP DEF;DET N;PL _ ADV PROPN;SG PROPN;SG FIN;IND;PST;V ADV ADJ _
the stunning mosques of isfahan are among the most beautiful and interesting in the world .	the stunning mosque of isfahan be among the most beautiful and interesting in the world .	DEF;DET ADJ N;PL ADP PROPN;SG FIN;IND;PRS;V ADP DEF;DET ADV ADJ CONJ ADJ ADP DEF;DET N;SG _
the chicken should be " hypnotized " and cease to struggle .	the chicken should be " hypnotize " and cease to struggle .	DEF;DET N;SG FIN;V NFIN;V _ PST;V;V.PTCP _ CONJ NFIN;V PART NFIN;V _
how many times do you suppose you ’ve served it at your establishment since its creation ?	how many time do you suppose you have serve it at your establishment since its creation ?	CONJ ADJ N;PL FIN;IND;PRS;V 2;NOM;PRO NFIN;V 2;NOM;PRO FIN;IND;PRS;V FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADP 2;PRO N;SG ADP 3;NEUT;PRO;SG N;SG _
stardust is a nasa discovery mission that was launched in 1999 .	stardust be a nasa discovery mission that be launch in @card@ .	PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF PROPN;SG PROPN;SG N;SG PRO 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NUM _
he recovered and became a prisoner of war at surrender of charleston , south carolina on may 12 , 1780 .	he recover and become a prisoner of war at surrender of charleston , south carolina on may @card@ , @card@ .	3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V DET;INDF N;SG ADP N;SG ADP N;SG ADP PROPN;SG _ PROPN;SG PROPN;SG ADP PROPN;SG NUM _ NUM _
serve .	serve .	NFIN;V _
1 choose the kind of basil you wish to grow .	1 choose the kind of basil you wish to grow .	_ NFIN;V DEF;DET N;SG ADP N;SG 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V _
how to play a real-life game of quidditch	how to play a real-life game of quidditch	CONJ PART NFIN;V DET;INDF ADJ N;SG ADP N;SG
however , the situation is rapidly changing now with łódź campaigning and redesigning itself as an up-and-coming destination .	however , the situation be rapidly change now with łódź campaign and redesign itself as an up-and-coming destination .	ADV _ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADV ADP PROPN;SG V;V.MSDR CONJ V;V.MSDR 3;ACC;NEUT;PRO;REFL;SG ADP DET;INDF ADJ N;SG _
oh really .	oh really .	INTJ ADV _
how to make skittles vodka	how to make skittle vodka	CONJ PART NFIN;V PL;PROPN N;SG
paul dewar , an ottawa new democrat mp , said the combined security lapses raise serious questions about the government 's ability to secure sensitive documents .	paul dewar , an ottawa new democrat mp , say the combined security lapse raise serious question about the government 's ability to secure sensitive document .	PROPN;SG PROPN;SG _ DET;INDF PROPN;SG PROPN;SG PROPN;SG N;SG _ FIN;IND;PST;V DEF;DET ADJ N;SG N;PL FIN;IND;PRS;V ADJ N;PL ADP DEF;DET N;SG PART N;SG PART NFIN;V ADJ N;PL _
the study was supported by the croucher foundation , us national science foundation , and us national park service .	the study be support by the croucher foundation , us national science foundation , and us national park service .	DEF;DET N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG PROPN;SG PROPN;SG _ CONJ PROPN;SG PROPN;SG PROPN;SG PROPN;SG _
political activist and philosopher noam chomsky	political activist and philosopher noam chomsky	ADJ N;SG CONJ N;SG PROPN;SG PROPN;SG
warhol 's photo legacy spread by university exhibits	warhol 's photo legacy spread by university exhibit	PROPN;SG PART N;SG N;SG PST;V;V.PTCP ADP N;SG N;PL
looking back : space shuttle columbia lifts off on sts-1 from launch pad 39a at the kennedy space center on april 12 , 1981 .	look back : space shuttle columbia lift off on sts-1 from launch pad 39a at the kennedy space center on april @card@ , @card@ .	V;V.MSDR ADV _ N;SG N;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADP ADP PROPN;SG ADP N;SG N;SG PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG NUM _ NUM _
well , what is the problem ?	well , what be the problem ?	INTJ _ PRO 3;FIN;IND;PRS;SG;V DEF;DET N;SG _
nearly 30,000 people packed the streets of san francisco to pay him homage at his funeral .	nearly @card@ people pack the street of san francisco to pay him homage at his funeral .	ADV NUM N;PL FIN;IND;PST;V DEF;DET N;PL ADP PROPN;SG PROPN;SG PART NFIN;V 3;ACC;MASC;PRO;SG N;SG ADP 3;MASC;PRO;SG N;SG _
for example , after we 've opened up by asking about this person 's interest in the band in his / her username , it 's logical and reasonable to ask about this person 's musical likes and dislikes .	for example , after we have open up by ask about this person 's interest in the band in his / her username , it be logical and reasonable to ask about this person 's musical like and dislikes .	ADP N;SG _ CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP ADP CONJ V;V.MSDR ADP DET;SG N;SG PART N;SG ADP DEF;DET N;SG ADP 3;MASC;PRO;SG _ 3;FEM;PRO;SG N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ ADJ PART NFIN;V ADP DET;SG N;SG PART ADJ N;PL CONJ N;PL _
there are also many nail salons , frozen yogurt shops , coffee shops and gas stations .	there be also many nail salon , frozen yogurt shop , coffee shop and gas station .	PRO FIN;IND;PRS;V ADV ADJ N;SG N;PL _ PST;V;V.PTCP N;SG N;PL _ N;SG N;PL CONJ N;SG N;PL _
