ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
det blei berre ei gate ?	det bli berre ein gate $?	3;NEUT;PRO;SG FIN;IND;PST;V ADV DET;FEM;SG FEM;INDF;N;SG _
ja .	ja $.	INTJ _
« nei s- kva kva er de her ?	« nei s- kva kva vere de her $?	_ INTJ _ PRO PRO FIN;IND;PRS;V 2;HUM;NOM;PL;PRO ADV _
da fann dei ein båt ein utav båtane det som låg i sjøen og så ikkje nokon som veit korleis det har foregått ikkje .	da finne dei ein båt ein utav båt det som ligge i sjø og så ikkje nokon som vite korleis det ha foregå ikkje $.	ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO DET;MASC;SG INDF;MASC;N;SG DET;MASC;SG ADP DEF;MASC;N;PL 3;NEUT;PRO;SG PRO FIN;IND;PST;V ADP DEF;MASC;N;SG CONJ ADV NEG;PART 3;ACC;MASC;PRO;SG PRO FIN;IND;PRS;V ADV 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP NEG;PART _
det var ein annan båt var det som var # var eg såg lysa av han der om natta men # så kom den bort .	det vere ein annan båt vere det som vere # vere eg såg lyse av han der om natt men # så komme den bort $.	3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG DET;INDF;MASC;SG INDF;MASC;N;SG FIN;IND;PST;V 3;NEUT;PRO;SG PRO FIN;IND;PST;V _ FIN;IND;PST;V 1;HUM;NOM;PRO;SG FIN;IND;PST;V DEF;N;NEUT;PL ADP 3;ACC;MASC;PRO;SG ADV ADP DEF;FEM;N;SG CONJ _ ADV FIN;IND;PST;V 3;NOM;PRO;SG ADP _
atten øre literen .	atten øre liter $.	NUM;PL INDF;N;NEUT;PL DEF;MASC;N;SG _
måtte du det var rasjonert ?	måtte du det vere rasjonere $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
ja i alle fall annankvar dag så måtte eg køyre til byen med lass med kjøtt for han # kjøtt og flesk .	ja i all fall annankvar dag så måtte eg køyre til by med lass med kjøtt for han # kjøtt og flesk $.	INTJ ADP DET;PL INDF;N;NEUT;PL MASC;NUM;SG INDF;MASC;N;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NFIN;V ADP DEF;MASC;N;SG ADP INDF;N;NEUT;PL ADP INDF;N;NEUT;PL ADP 3;ACC;MASC;PRO;SG _ INDF;N;NEUT;PL CONJ INDF;N;NEUT;PL _
det er farsgarden # min fars .	det vere farsgard # min far $.	3;NEUT;PRO;SG FIN;IND;PRS;V DEF;MASC;N;SG _ MASC;PRO;SG INDF;MASC;N;SG _
det var dei så båten tok .	det vere dei så båt ta $.	3;NEUT;PRO;SG FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADV;NFIN DEF;MASC;N;SG FIN;IND;PST;V _
nei det var eit slags spel men det var spakspel dei kalla .	nei det vere ein slags spel men det vere spakspel dei kalle $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG N;NEUT INDF;N;NEUT;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V INDF;N;NEUT;PL 3;HUM;NOM;PL;PRO FIN;IND;PST;V _
hæ .	hæ $.	INTJ _
korleis var det i hærlandssalen da når dei var på fest ?	korleis vere det i hærlandssalen da når dei vere på fest $?	ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADP PROPN ADV CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V CONJ INDF;MASC;N;SG _
dei var norskefolk det .	dei vere norskefolk det $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V INDF;N;NEUT;PL 3;NEUT;PRO;SG _
inni # inn ved orstad veit du .	inni # inn ved orstad vite du $.	ADP _ ADP ADP PROPN FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _
to-tre og tretti fot var vel dei største .	to-tre og tretti fot vere vel dei stor $.	_ CONJ NUM;PL INDF;MASC;N;SG FIN;IND;PST;V ADV DET;PL ADJ;DEF;RL _
da blei det # når krigen var slutt da så blei det samanslutting med # da he- og heitte eidsberg bilruter .	da bli det # når krig vere slutt da så bli det samanslutting med # da he- og heite eidsberg bilrute $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ CONJ DEF;MASC;N;SG FIN;IND;PST;V INDF;MASC;N;SG ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;N;NEUT;PL ADP _ ADV _ CONJ FIN;IND;PST;V PROPN FEM;INDF;N;PL _
e nei ikkje mest .	e nei ikkje mykje $.	_ INTJ NEG;PART ADJ;INDF;RL _
poteter og .	potet og $.	FEM;INDF;N;PL CONJ _
nei .	nei $.	INTJ _
så det var e # sånn det va- gjekk jo var jo oppadgåande det greiene der .	så det vere e # sånn det va- gå jo vere jo oppadgåande det greie der $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ _ ADV 3;NEUT;PRO;SG _ FIN;IND;PST;V ADV FIN;IND;PST;V ADV ADJ 3;NEUT;PRO;SG DEF;FEM;N;PL ADV _
og den yngste han er ## han er på n1 han er liksom i styret på n1-anlegget her i vardø han er yngst # det er gut .	og den ung han vere ## han vere på n1 han vere liksom i styre på n1-anlegget her i vardø han vere ung # det vere gut $.	CONJ DET;MASC;SG ADJ;DEF;RL 3;MASC;NOM;PRO;SG FIN;IND;PRS;V _ 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADP PROPN 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADV ADP DEF;N;NEUT;SG ADP DEF;N;NEUT;SG ADV ADP PROPN 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADJ;INDF;RL _ 3;NEUT;PRO;SG FIN;IND;PRS;V INDF;MASC;N;SG _
berre ... .	berre … $.	ADV _ _
m5 ja .	m5 ja $.	PROPN INTJ _
sånn # ja akkurat så nesten så du vil # strekke ein løypestreng da .	sånn # ja akkurat så nesten så du vilje # strekke ein løypestreng da $.	ADV _ INTJ ADV CONJ ADV CONJ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V _ NFIN;V DET;MASC;SG INDF;MASC;N;SG ADV _
ja .	ja $.	INTJ _
kvitlehåven og # var det til hale til og så så var det til stå og slite der oppe ved skandekket på # notbåten .	kvitlehåv og # vere det til hale til og så så vere det til stå og slite der oppe ved skandekk på # notbåt $.	DEF;MASC;N;SG CONJ _ FIN;IND;PST;V 3;NEUT;PRO;SG ADP INDF;MASC;N;SG ADP CONJ ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG CONJ NFIN;V CONJ NFIN;V ADV ADP ADP DEF;N;NEUT;SG ADP _ DEF;MASC;N;SG _
ja .	ja $.	INTJ _
ho hadde dugt like godt som kåre .	ho ha duge like god som kåre $.	3;FEM;NOM;PRO;SG FIN;IND;PST;V ADJ;V.PTCP ADV ADJ;INDF;NEUT;SG ADP PROPN _
er ein to år sidan så var vi i # oslo # eg og mi kone og mi søster .	vere ein to år sidan så vere vi i # oslo # eg og min kone og min søster $.	FIN;IND;PRS;V DET;MASC;SG NUM;PL INDF;N;NEUT;PL ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP _ PROPN _ 1;HUM;NOM;PRO;SG CONJ FEM;PRO;SG FEM;INDF;N;SG CONJ FEM;PRO;SG FEM;INDF;N;SG _
så # dei k- berga seg på den måten at # at dei heiv seg ned på dekk og sprang fram i lugaren og .	så # dei k- berge seg på den måte at # at dei hive seg ned på dekk og springe fram i lugar og $.	CONJ _ 3;HUM;NOM;PL;PRO _ FIN;IND;PST;V ACC;PRO;REFL ADP DET;MASC;SG DEF;MASC;N;SG CONJ _ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ACC;PRO;REFL ADP ADP INDF;N;NEUT;SG CONJ FIN;IND;PST;V ADP ADP DEF;MASC;N;SG CONJ _
ja visst gjekk det fint .	ja visst gå det fin $.	INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG _
ja # .	ja # $.	INTJ _ _
ja og da budde i i grønnegata same gata som her # vi budde nedfor .	ja og da bu i i grønnegata same gate som her # vi bu nedfor $.	INTJ CONJ ADV FIN;IND;PST;V ADP ADP PROPN DEF;DET DEF;FEM;N;SG ADP ADV _ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV _
når da ?	når da $?	ADV ADV _
trur er var tre tusen eg .	tru vere vere tre tusen eg $.	FIN;IND;PRS;V FIN;IND;PRS;V FIN;IND;PST;V NUM;PL NUM;PL 1;HUM;NOM;PRO;SG _
og så måtte vi eg hadde eg sånn e kjøpte ved veden da så brukte vi sånn ei kappsag og kappa opp veden i små knuppar .	og så måtte vi eg ha eg sånn e kjøpe ved ved da så bruke vi sånn ein kappsag og kappe opp ved i liten knupp $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO 1;HUM;NOM;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV _ FIN;IND;PST;V INDF;MASC;N;SG DEF;MASC;N;SG ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO DET;FEM;SG DET;FEM;SG FEM;INDF;N;SG CONJ FIN;IND;PST;V ADP DEF;MASC;N;SG ADP ADJ;PL INDF;MASC;N;PL _
berre halv not på doryane .	berre halv not på dory $.	ADV ADJ;INDF;SG FEM;INDF;N;SG ADP DEF;MASC;N;PL _
kven .	kven $.	ACC;HUM;PRO _
ja # ja da # det veit du vi var .	ja # ja da # det vite du vi vere $.	INTJ _ INTJ ADV _ 3;NEUT;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 1;HUM;NOM;PL;PRO FIN;IND;PST;V _
så e liksom dei køyrde ein # kostar det # halvanna krone .	så e liksom dei køyre ein # koste det # halvannan krone $.	CONJ _ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ACC;HUM;PRO;SG _ FIN;IND;PRS;V 3;NEUT;PRO;SG _ FEM;NUM;SG FEM;INDF;N;SG _
ja visst .	ja visst $.	INTJ ADV _
hm .	hm $.	INTJ _
så det gjekk gyseleg seint .	så det gå gyseleg sein $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG _
kom dit og nokon var så veldig fæle til å teikne og så sat dei # gjekk dei på kafeane og teikna oss og .	komme dit og nokon vere så veldig fæl til å teikne og så sitte dei # gå dei på kafe og teikne vi og $.	FIN;IND;PST;V ADV CONJ 3;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADJ;PL CONJ PART NFIN;V CONJ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO _ FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADP DEF;MASC;N;PL CONJ FIN;IND;PST;V 1;ACC;HUM;PL;PRO CONJ _
for da måtte du ut til å arbeide .	for da måtte du ut til å arbeide $.	CONJ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP ADP PART NFIN;V _
det det # hefta dei seg det ville dei veldig godt undersø- e undersøke dei godt for .	det det # hefte dei seg det vilje dei veldig god undersø- e undersøke dei god for $.	3;NEUT;PRO;SG 3;NEUT;PRO;SG _ FIN;IND;PST;V 3;HUM;NOM;PL;PRO ACC;PRO;REFL 3;NEUT;PRO;SG FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG _ _ NFIN;V 3;ACC;HUM;PL;PRO ADJ;INDF;NEUT;SG ADP _
måtte fylle meir knupp ?	måtte fylle mykje knupp $?	FIN;IND;PST;V NFIN;V ADJ INDF;MASC;N;SG _
dreiv med mjølk da vel dei fleste ?	drive med mjølk da vel dei mange $?	FIN;IND;PST;V ADP FEM;INDF;N;SG ADV ADV DET;PL ADJ;DEF;RL _
seier du det ?	seie du det $?	FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG _
å køyre til byen for da .	å køyre til by for da $.	PART NFIN;V ADP DEF;MASC;N;SG ADP ADV _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
mm .	mm $.	INTJ _
bensin .	bensin $.	INDF;MASC;N;SG _
ja .	ja $.	INTJ _
hadde du med deg nokon da # hjelpemann .	ha du med du nokon da # hjelpemann $.	FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP 2;ACC;HUM;PRO;SG 3;ACC;MASC;PRO;SG ADV _ INDF;MASC;N;SG _
ja vel .	ja vel $.	INTJ ADV _
å ja # masse kreps # masse kreps # masse kreps .	å ja # masse kreps # masse kreps # masse kreps $.	INTJ INTJ _ ADJ;INDF;SG INDF;MASC;N;SG _ ADJ;INDF;SG INDF;MASC;N;SG _ ADJ;INDF;SG INDF;MASC;N;SG _
men det var jo litt vanskeleg å få tak i den .	men det vere jo litt vanskeleg å få tak i den $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG PART NFIN;V INDF;N;NEUT;SG ADP 3;ACC;PRO;SG _
å ja visst .	å ja visst $.	INTJ INTJ ADV _
ja .	ja $.	INTJ _
det veit eg ikkje .	det vite eg ikkje $.	3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART _
og den båten den kom altså ikkje opp det veit ikkje den siste som hadde kontakt med det var ein annan vardøbåt # da kå- i e snøkov .	og den båt den komme altså ikkje opp det vite ikkje den sist som ha kontakt med det vere ein annan vardøbåt # da kå- i e snøkov $.	CONJ DET;MASC;SG DEF;MASC;N;SG 3;NOM;PRO;SG FIN;IND;PST;V ADV NEG;PART ADP 3;NEUT;PRO;SG FIN;IND;PRS;V NEG;PART DET;MASC;SG ADJ;DEF;SG PRO FIN;IND;PST;V INDF;MASC;N;SG ADP 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG DET;INDF;MASC;SG INDF;MASC;N;SG _ ADV _ ADP _ INDF;N;NEUT;SG _
dreiv med poteter og # korn og .	drive med potet og # korn og $.	FIN;IND;PST;V ADP FEM;INDF;N;PL CONJ _ INDF;N;NEUT;PL CONJ _
ja .	ja $.	INTJ _
i nittenhundreogseksogtretti ## så da var e # da var vi på sjøen som siste båt som va- gjekk frå vardø s- gjekk på havet .	i nittenhundreogseksogtretti ## så da vere e # da vere vi på sjø som sist båt som va- gå frå vardø s- gå på hav $.	ADP NUM;PL _ ADV ADV FIN;IND;PST;V _ _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;MASC;N;SG ADP ADJ;DEF;SG INDF;MASC;N;SG PRO _ FIN;IND;PST;V ADP PROPN _ FIN;IND;PST;V ADP DEF;N;NEUT;SG _
e ja eg e på landnot så var eg med like til florøya .	e ja eg e på landnot så vere eg med like til florøya $.	_ INTJ 1;HUM;NOM;PRO;SG _ ADP FEM;INDF;N;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP ADV ADP PROPN _
og den moroa dei hadde det var å gå på dans i salen .	og den moro dei ha det vere å gå på dans i sal $.	CONJ DET;FEM;SG DEF;FEM;N;SG 3;HUM;NOM;PL;PRO FIN;IND;PST;V 3;NEUT;PRO;SG FIN;IND;PST;V PART NFIN;V ADP INDF;MASC;N;SG ADP DEF;MASC;N;SG _
nei det e .	nei det e $.	INTJ 3;NEUT;PRO;SG _ _
eg er pensjonist nå .	eg vere pensjonist nå $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V INDF;MASC;N;SG ADV _
ja dei kom på på staden .	ja dei komme på på stad $.	INTJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADP DEF;MASC;N;SG _
det var han m7 som køyrde den mjølka # ein lita stund .	det vere han m7 som køyre den mjølk # ein liten stund $.	3;NEUT;PRO;SG FIN;IND;PST;V 3;MASC;NOM;PRO;SG PROPN PRO FIN;IND;PST;V DET;FEM;SG DEF;FEM;N;SG _ DET;MASC;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _
# ja det vanskeleg å seie ja .	# ja det vanskeleg å seie ja $.	_ INTJ 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG PART NFIN;V INTJ _
ja .	ja $.	INTJ _
du når har du drive og køyrd mjølk og strevd og herja s- herja med dette i mange mange år # e viss du skulle begynne på nytt igjen kva ville du ha # overteke garden i staden eller drive med noko anna trur du det .	du når ha du drive og køyre mjølk og streve og herje s- herje med dette i mange mange år # e viss du skulle begynne på ny igjen kva vilje du ha # overta gard i stad eller drive med nokon annan tru du det $.	2;HUM;NOM;PRO;SG ADV FIN;IND;PRS;V 2;HUM;NOM;PRO;SG V;V.PTCP CONJ V;V.PTCP FEM;INDF;N;SG CONJ V;V.PTCP CONJ V;V.PTCP _ V;V.PTCP ADP 3;ACC;NEUT;PRO;SG ADP ADJ;PL ADJ;PL INDF;N;NEUT;PL _ _ CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADP ADJ;INDF;NEUT;SG ADV PRO FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V _ V;V.PTCP DEF;MASC;N;SG ADP DEF;MASC;N;SG CONJ NFIN;V ADP DET;NEUT;SG DET;INDF;NEUT;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG _
og drog i nota og vi andre vi laut nå ro av svarte livet .	og dra i not og vi annan vi lyte nå ro av svart liv $.	CONJ FIN;IND;PST;V ADP DEF;FEM;N;SG CONJ 1;HUM;NOM;PL;PRO DET;PL 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV NFIN;V ADP ADJ;DEF;SG DEF;N;NEUT;SG _
valet var greitt nok .	val vere grei nok $.	DEF;N;NEUT;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADV _
så eg var den første som # hadde hesselman og b- e dreiv med det råolje .	så eg vere den første som # ha hesselman og b- e drive med det råolje $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;DEF;SG PRO _ FIN;IND;PST;V PROPN CONJ _ _ FIN;IND;PST;V ADP 3;NEUT;PRO;SG FEM;INDF;N;SG _
nei # det var nok da .	nei # det vere nok da $.	INTJ _ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV _
johannes linde heitte han ein som fekk krepsen han budde .	johannes linde heite han ein som få kreps han bu $.	PROPN PROPN FIN;IND;PST;V 3;MASC;NOM;PRO;SG HUM;NOM;PRO;SG PRO FIN;IND;PST;V DEF;MASC;N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V _
ja vi har oldebarn vi # seks oldebarn .	ja vi ha oldebarn vi # seks oldebarn $.	INTJ 1;HUM;NOM;PL;PRO FIN;IND;PRS;V INDF;N;NEUT;PL 1;HUM;NOM;PL;PRO _ NUM;PL INDF;N;NEUT;PL _
og vi skulle oppfor ein bakke .	og vi skulle oppfor ein bakke $.	CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DET;MASC;SG INDF;MASC;N;SG _
å gud veit kor det blei av dei men e så spurde eg om eg kunne få lov å reise heim og lesse av .	å gud vite kor det bli av dei men e så spørje eg om eg kunne få lov å reise heim og lesse av $.	INTJ INDF;MASC;N;SG FIN;IND;PRS;V ADV 3;NEUT;PRO;SG FIN;IND;PST;V ADP 3;ACC;HUM;PL;PRO CONJ _ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V INDF;MASC;N;SG PART NFIN;V ADP CONJ NFIN;V ADP _
dei eng- dei desse der isebåtane så gjekk på england dei var som oftast ifrå atten hundre til to og tjue hundre kasser .	dei eng- dei desse der isebåt så gå på england dei vere som ofte ifrå atten hundre til to og tjue hundre kasse $.	3;HUM;NOM;PL;PRO PROPN 3;HUM;NOM;PL;PRO 3;NOM;PL;PRO ADV DEF;MASC;N;PL ADV FIN;IND;PST;V ADP PROPN 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADJ;RL ADP NUM;PL NUM;PL ADP NUM;PL CONJ NUM;PL NUM;PL FEM;INDF;N;PL _
og reiste tilbake # og tok med spanna og køyrde dei tilbake .	og reise tilbake # og ta med spann og køyre dei tilbake $.	CONJ FIN;IND;PST;V ADP _ CONJ FIN;IND;PST;V ADP DEF;N;NEUT;PL CONJ FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADP _
han er kanskje same typen som du omtrent han ola da .	han vere kanskje same type som du omtrent han ola da $.	3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADV DEF;DET DEF;MASC;N;SG ADP 2;HUM;NOM;PRO;SG ADV 3;MASC;NOM;PRO;SG PROPN ADV _
ja merkeleg altså ja ja ja ja .	ja merkeleg altså ja ja ja ja $.	INTJ ADJ;INDF;NEUT;SG ADV INTJ INTJ INTJ INTJ _
fekk oppgjer ja .	få oppgjer ja $.	FIN;IND;PST;V INDF;N;NEUT;SG INTJ _
ja .	ja $.	INTJ _
nei det kan eg ikkje seie .	nei det kunne eg ikkje seie $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART NFIN;V _
mm .	mm $.	INTJ _
ja .	ja $.	INTJ _
dei har fått opp # ja også har eg fo- e trålen har dei fått eller dei har fått oppi trålen også noko # av båten .	dei ha få opp # ja også ha eg fo- e trål ha dei få eller dei ha få oppi trål også noko # av båt $.	3;HUM;NOM;PL;PRO FIN;IND;PRS;V V;V.PTCP ADP _ INTJ ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG _ _ DEF;MASC;N;SG FIN;IND;PRS;V 3;HUM;NOM;PL;PRO V;V.PTCP CONJ 3;HUM;NOM;PL;PRO FIN;IND;PRS;V V;V.PTCP ADP DEF;MASC;N;SG ADV 3;ACC;NEUT;PRO;SG _ ADP DEF;MASC;N;SG _
hm .	hm $.	INTJ _
ja # på grønland .	ja # på grønland $.	INTJ _ ADP PROPN _
men så blei det slutt så måtte eg overta den mjølka au da køyrde vi .	men så bli det slutt så måtte eg overta den mjølk au da køyre vi $.	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NFIN;V DET;FEM;SG DEF;FEM;N;SG ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO _
så det var det e noko .	så det vere det e noko $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG _ 3;NEUT;NOM;PRO;SG _
ja eg tenkte på kva du gjer på elles om dagane les du mykje ?	ja eg tenke på kva du gjere på elles om dag lese du mykje $?	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V CONJ PRO 2;HUM;NOM;PRO;SG FIN;IND;PRS;V ADP ADV ADP DEF;MASC;N;PL FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG _
mm .	mm $.	INTJ _
det vart ikkje noko utkomme nei ?	det bli ikkje nokon utkomme nei $?	3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART DET;NEUT;SG ADJ;INDF;NEUT;SG INTJ _
ja da køyrde vi tur .	ja da køyre vi tur $.	INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO INDF;MASC;N;SG _
ja var båtane gode nok til å fare så langt ut ?	ja vere båt god nok til å fare så lang ut $?	INTJ FIN;IND;PST;V DEF;MASC;N;PL ADJ;PL ADV CONJ PART NFIN;V ADV ADJ;INDF;NEUT;SG ADP _
og jamt så var vi fire .	og jamt så vere vi fire $.	CONJ ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO NUM;PL _
var det du leverte mjølka hen i oslo da ?	vere det du levere mjølk hen i oslo da $?	FIN;IND;PST;V 3;NEUT;PRO;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V DEF;FEM;N;SG ADP ADP PROPN ADV _
på tonefallet ja ?	på tonefall ja $?	ADP DEF;N;NEUT;SG INTJ _
ja vel .	ja vel $.	INTJ ADV _
scweigaards gate # jaha .	scweigaards gate # jaha $.	PROPN FEM;INDF;N;SG _ INTJ _
seier du det ## ja ## ja ## ja .	seie du det ## ja ## ja ## ja $.	FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG _ INTJ _ INTJ _ INTJ _
det gjorde eg her ja .	det gjere eg her ja $.	3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV INTJ _
eller ta utav seg forkleet « nei nå skal eg nå gå og besøke ## naboen henne lenger borte » ja .	eller ta utav seg forkle « nei nå skulle eg nå gå og besøke ## nabo ho lenger borte » ja $.	CONJ NFIN;V ADP ACC;PRO;REFL DEF;N;NEUT;SG _ INTJ ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG ADV NFIN;V CONJ NFIN;V _ DEF;MASC;N;SG 3;ACC;FEM;PRO;SG ADV ADP _ INTJ _
