við tíðini settust nógvir norðbúgvar í grønlandi .	við tíð seta nógvur norðbúgvi í grønland .	ADP DAT;DEF;FEM;N;SG IND;PASS;PL;PST;V ADJ;INDF;MASC;NOM;PL INDF;MASC;N;NOM;PL ADP DAT;INDF;NEUT;PROPN;SG _
afrikanskir átrúnaðir eru eisini vanligir í nigeria .	afrikanskur átrúnaður vera eisini vanligur í nigeria .	ADJ;INDF;MASC;NOM;PL INDF;MASC;N;NOM;PL IND;PL;PRS;V ADV ADJ;INDF;MASC;NOM;PL ADP NOM;PROPN;SG _
størsti býurin í kommununi er frederikshavn .	stórur býur í kommuna vera frederikshavn .	ADJ;DEF;MASC;NOM;RL;SG DEF;MASC;N;NOM;SG ADP DAT;DEF;FEM;N;SG 3;IND;PRS;SG;V FEM;INDF;NOM;PROPN;SG _
í 1. krýn. 28,2-6 sigur dávid :	í 1 krýn 28,2-6 siga dávid :	ADP ADJ N DAT;NUM 3;IND;PRS;SG;V ACC;MASC;PROPN;SG _
føroyar vann allir dystirnir .	føroyar vinna allur dystur .	FEM;INDF;NOM;PL;PROPN 3;IND;PST;SG;V ACC;DET;INDF;MASC;PL ACC;DEF;MASC;N;PL _
vøtn eru ikki íroknað víddina av landslutunum .	vatn vera ikki íroknaður vídd av landslutur .	INDF;N;NEUT;NOM;PL IND;PL;PRS;V ADV ADJ;FEM;INDF;NOM;SG DEF;FEM;N;NOM;SG ADP DAT;DEF;MASC;N;PL _
í dag er fótbóltsvøllur , har holið var .	í dagur vera fótbóltsvøllur , har hol vera .	ADP ACC;INDF;MASC;N;SG 3;IND;PRS;SG;V INDF;MASC;N;NOM;SG _ ADV DEF;N;NEUT;NOM;SG 3;IND;PST;SG;V _
24,7 prosent av fólkinum eru afroamerikanarar .	24,7 prosent av fólk vera afroamerikanari .	NOM;NUM INDF;N;NEUT;NOM;PL ADP DAT;DEF;N;NEUT;SG IND;PL;PRS;V INDF;MASC;N;NOM;PL _
amtmenn í føroyum : hetta er ein listi yvir amtmenn í føroyum .	amtmaður í føroyar : hesin vera ein listi yvir amtmaður í føroyar .	INDF;MASC;N;NOM;PL ADP DAT;FEM;INDF;PL;PROPN _ ACC;NEUT;PRO;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP ACC;INDF;MASC;N;PL ADP DAT;FEM;INDF;PL;PROPN _
um somu tíð kríggjaðist etiopia við eritrea .	um samur tíð kríggja etiopia við eritrea .	ADP ADJ;DEF;FEM;NOM;PL FEM;INDF;N;NOM;SG IND;PASS;PST;SG;V NOM;PROPN;SG ADP NOM;PROPN;SG _
viðurkenningar frá kroatia , bosnia og herzegovina og slovenia vóru skjótar .	viðurkenning frá kroatia , bosnia og herzegovina og slovenia vera skjótur .	FEM;INDF;N;NOM;PL ADP NOM;PROPN;SG _ NOM;PROPN;SG CONJ NOM;PROPN;SG CONJ NOM;PROPN;SG IND;PL;PST;V ADJ;FEM;INDF;NOM;PL _
hetta er ein óheftur felagsskapur av dómarum , sakførarum og løgfrøðiligum serfrøðingum .	hesin vera ein óheftur felagsskapur av dómari , sakførari og løgfrøðiligur serfrøðingur .	ACC;NEUT;PRO;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG ADJ;INDF;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP DAT;INDF;MASC;N;PL _ DAT;INDF;MASC;N;PL CONJ ADJ;DAT;INDF;MASC;PL DAT;INDF;MASC;N;PL _
í 333 á.kr. tók aleksandur mikli ræði á oynni .	í 333 á.kr taka aleksandur mikil ræði á oy .	ADP DAT;NUM N 3;IND;PST;SG;V MASC;NOM;PROPN;SG ADJ;DEF;MASC;NOM;SG ACC;INDF;N;NEUT;SG ADP DAT;DEF;FEM;N;SG _
virðisbrævamarknaðurin í new york rapaði í 1929 , og tað elvdi til eina búskaparkreppu , sum breiddi seg um allan heimin .	virðisbrævmarknaður í new york rapa í 1929 , og tað elva til ein búskapurkreppa , sum breiða seg um allur heimur .	DEF;MASC;N;NOM;SG ADP ACC;PROPN;SG ACC;PROPN;SG IND;PST;SG;V ADP DAT;NUM _ CONJ 3;NOM;PRO;SG IND;PST;SG;V ADP ACC;DET;FEM;SG ACC;FEM;INDF;N;SG _ PRO IND;PST;SG;V ACC;PRO;REFL ADP ACC;DET;INDF;MASC;SG ACC;DEF;MASC;N;SG _
leikluturin hjá íslendska forsetanum er symbolskur .	leiklutur hjá íslendskur forseti vera symbolskur .	DEF;MASC;N;NOM;SG ADP ADJ;DAT;DEF;MASC;SG DAT;DEF;MASC;N;SG 3;IND;PRS;SG;V ADJ;INDF;MASC;NOM;SG _
fólkið er í ljósabláum eyðkennisbúna .	fólk vera í ljósabláur eyðkennisbúni .	DEF;N;NEUT;NOM;SG 3;IND;PRS;SG;V ADP ADJ;DAT;INDF;MASC;SG DAT;INDF;MASC;N;SG _
á kápuni er hann grábláur .	á kápa vera hann grábláur .	ADP DAT;DEF;FEM;N;SG 3;IND;PRS;SG;V 3;MASC;NOM;PRO;SG ADJ;INDF;MASC;NOM;SG _
upprunafólkið í usa vóru indiánar .	upprunafólk í usa vera indiáni .	DEF;N;NEUT;NOM;SG ADP DAT;N IND;PL;PST;V INDF;MASC;N;NOM;PL _
kankaanpää : kankaanpää er ein býur og ein kommuna í finnlandi .	kankaanpää : kankaanpää vera ein býur og ein kommuna í finnland .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG CONJ DET;FEM;NOM;SG FEM;INDF;N;NOM;SG ADP DAT;INDF;NEUT;PROPN;SG _
í bygdini hoyrist songurin frá heiðafuglinum sjáldsama væl .	í bygd hoyra songur frá heiðafuglur sjáldsamur væl .	ADP DAT;DEF;FEM;N;SG 3;IND;PASS;PRS;SG;V DEF;MASC;N;NOM;SG ADP DAT;DEF;MASC;N;SG ADJ;DAT;DEF;MASC;SG DAT;FEM;INDF;N;SG _
framleiðsla av alkoholum kann gerast á nógvar ymiskar mátar .	framleiðsla av alkohol kunna gera á nógvur ymiskur máti .	FEM;INDF;N;NOM;SG ADP DAT;INDF;N;NEUT;PL 3;IND;PRS;SG;V NFIN;PASS;V ADP ACC;ADJ;INDF;MASC;PL ACC;ADJ;INDF;MASC;PL ACC;INDF;MASC;N;PL _
býurin hevur eina stóra havn , flogvøll og tyrlupall .	býur hava ein stórur havn , flogvøllur og tyrlupallur .	DEF;MASC;N;NOM;SG 3;IND;PRS;SG;V ACC;DET;FEM;SG ACC;ADJ;FEM;INDF;SG ACC;FEM;INDF;N;SG _ ACC;INDF;MASC;N;SG CONJ ACC;INDF;MASC;N;SG _
saratov : saratov er ein býur í russlandi .	saratov : saratov vera ein býur í russland .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP DAT;INDF;NEUT;PROPN;SG _
aðrir partar eru undir náttúruvernd .	annar partur vera undir náttúruvernd .	ADJ;MASC;NOM;PL INDF;MASC;N;NOM;PL IND;PL;PRS;V ADP DAT;FEM;INDF;N;SG _
umboðsstjórnin hevur í minsta lagi 2 fundir árliga .	umboðsstjórn hava í lítil lag 2 fundur árligur .	DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V ADP ADJ;DAT;DEF;NEUT;RL;SG DAT;INDF;N;NEUT;SG ACC;NUM ACC;INDF;MASC;N;PL ACC;ADJ;DEF;MASC;SG _
størsti býur og høvuðsstaður er yellowknife .	stórur býur og høvuðsstaður vera yellowknife .	ADJ;DEF;MASC;NOM;RL;SG INDF;MASC;N;NOM;SG CONJ INDF;MASC;N;NOM;SG 3;IND;PRS;SG;V NOM;PROPN;SG _
hagstova føroya : hagstova føroya er almenni hagtalsmyndugleikin í føroyum .	hagstova føroyar : hagstova føroyar vera almennur hagtalmyndugleiki í føroyar .	FEM;INDF;N;NOM;SG FEM;GEN;INDF;PL;PROPN _ FEM;INDF;N;NOM;SG FEM;GEN;INDF;PL;PROPN 3;IND;PRS;SG;V ADJ;DEF;MASC;NOM;SG DEF;MASC;N;NOM;SG ADP DAT;FEM;INDF;PL;PROPN _
fløgan er ognað pápanum , birgir nónsgjógv .	fløga vera ogna pápi , birgir nónsgjógv .	DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V V;V.CVB DAT;DEF;MASC;N;SG _ MASC;NOM;PROPN;SG NOM;PROPN;SG _
kyndilsmessa er sostatt 40. dagurin eftir jóladag ( tá jóladagur er íroknaður ) .	kyndilsmessa vera sostatt 40 dagur eftir jóladagur ( tá jóladagur vera íroknaður ) .	FEM;INDF;N;NOM;SG 3;IND;PRS;SG;V ADV ADJ DEF;MASC;N;NOM;SG ADP ACC;INDF;MASC;N;SG _ ADV INDF;MASC;N;NOM;SG 3;IND;PRS;SG;V ADJ;INDF;MASC;NOM;SG _ _
denver er høvuðsstaðurin og størsti býurin .	denver vera høvuðsstaður og stórur býur .	NOM;PROPN;SG 3;IND;PRS;SG;V DEF;MASC;N;NOM;SG CONJ ADJ;DEF;MASC;NOM;RL;SG DEF;MASC;N;NOM;SG _
skiftitøl eru talorð í fleirtali .	skiftitøl vera talorð í fleirtal .	INDF;N;NEUT;NOM;PL IND;PL;PRS;V INDF;N;NEUT;NOM;PL ADP DAT;INDF;N;NEUT;SG _
betesda : betesda er brøðrasamkoma í klaksvík .	betesda : betesda vera brøðrasamkoma í klaksvík .	FEM;NOM;PROPN;SG _ FEM;NOM;PROPN;SG 3;IND;PRS;SG;V FEM;INDF;N;NOM;SG ADP DAT;FEM;INDF;PROPN;SG _
hann var statsleiðari í 30 ár .	hann vera staturleiðari í 30 ár .	3;MASC;NOM;PRO;SG 3;IND;PST;SG;V INDF;MASC;N;NOM;SG ADP DAT;NUM DAT;FEM;INDF;N;SG _
sí eisini .	síggja eisini .	IPFV;SG;V ADV _
miðskeiðis í 19. øld varð sjóstúkan stásbúni .	miðskeiðis í 19 øld verða sjóstúka stásbúni .	ADV ADP ADJ DAT;FEM;INDF;N;SG 3;IND;PST;SG;V DEF;FEM;N;NOM;SG INDF;MASC;N;NOM;SG _
bergtóra býr í hoyvík við manni og børnum .	bergtóra búgva í hoyvík við maður og barn .	FEM;NOM;PROPN;SG 3;IND;PRS;SG;V ADP DAT;FEM;INDF;PROPN;SG ADP DAT;INDF;MASC;N;SG CONJ DAT;INDF;N;NEUT;PL _
zhengzhou : zhengzhou er ein býur í kina og høvuðsstaður í henan landslutinum .	zhengzhou : zhengzhou vera ein býur í kina og høvuðsstaður í henan landslutur .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP FEM;NOM;PROPN;SG CONJ INDF;MASC;N;NOM;SG ADP ACC;PROPN;SG DAT;DEF;MASC;N;SG _
kristni siðurin at fara til altars í kirkjuni er til minnis um heilagu kvøldmáltíðina .	kristin siður at fara til altar í kirkja vera til minni um heilagur kvøldmáltíð .	ADJ;DEF;MASC;NOM;SG DEF;MASC;N;NOM;SG PART NFIN;V ADP GEN;INDF;N;NEUT;SG ADP DAT;DEF;FEM;N;SG 3;IND;PRS;SG;V ADP GEN;INDF;N;NEUT;SG ADP ACC;ADJ;DEF;FEM;SG ACC;DEF;FEM;N;SG _
pápin arbeiddi í kolanámi .	pápi arbeiða í kolanám .	DEF;MASC;N;NOM;SG IND;PST;SG;V ADP DAT;INDF;N;NEUT;SG _
maja býr nú í malmø .	maja búgva nú í malmø .	FEM;NOM;PROPN;SG 3;IND;PRS;SG;V ADV ADP ACC;PROPN;SG _
eftir hetta eru teir minni vinir enn áður .	eftir hesin vera teir lítil vinur enn áður .	ADP ACC;NEUT;PRO;SG IND;PL;PRS;V 3;MASC;NOM;PL;PRO ADJ;INDF;MASC;NOM;PL INDF;MASC;N;NOM;PL ADV ADV _
etna : etna er eitt gosfjall í lýðveldinum italia .	etna : etna vera ein gosfjall í lýðveldi italia .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V DET;NEUT;NOM;SG INDF;N;NEUT;NOM;SG ADP DAT;DEF;N;NEUT;SG NOM;PROPN;SG _
í tveir dagar tóku tær móti bretskum fjølmiðlum og innkeyparum .	í tvey dagur taka teir móti bretskur fjølmiðil og innkeypari .	ADP ACC;MASC;NUM;SG ACC;INDF;MASC;N;PL IND;PL;PST;V 3;FEM;NOM;PL;PRO ADP ADJ;DAT;INDF;MASC;PL DAT;INDF;MASC;N;PL CONJ DAT;INDF;MASC;N;PL _
hon er í keflavík , og er ein heimur fyri seg .	hon vera í keflavík , og vera ein heimur fyri seg .	3;FEM;NOM;PRO;SG 3;IND;PRS;SG;V ADP ACC;PROPN;SG _ CONJ 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP ACC;PRO;REFL _
nakin? úr 1999 er onnur útgávan hjá tónleikabólkinum .	nakin? úr 1999 vera annar útgáva hjá tónleikabólkur .	NOM;PROPN;SG ADP DAT;NUM 3;IND;PRS;SG;V ADJ;FEM;NOM DEF;FEM;N;NOM;SG ADP DAT;DEF;MASC;N;SG _
nógvar oyggjar eru í rhode island .	nógvur oyggj vera í rhode island .	ADJ;FEM;INDF;NOM;PL FEM;INDF;N;NOM;PL IND;PL;PRS;V ADP ACC;PROPN;SG ACC;INDF;NEUT;PROPN;SG _
hernaðarliga verjan er í trimum deildum : herurin , loftverjan og sjóverjan .	hernaðarligur verja vera í trý deild : herur , loftverja og sjóverja .	ADJ;DEF;FEM;NOM;SG DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V ADP DAT;FEM;NUM;SG DAT;FEM;INDF;N;PL _ DEF;MASC;N;NOM;SG _ DEF;FEM;N;NOM;SG CONJ DEF;FEM;N;NOM;SG _
í kommununi eru tveir bóndagarðar .	í kommuna vera tvey bóndagarður .	ADP DAT;DEF;FEM;N;SG IND;PL;PRS;V MASC;NOM;NUM;SG INDF;MASC;N;NOM;PL _
landið er limur í bretska samveldinum .	land vera limur í bretskur samveldi .	DEF;N;NEUT;NOM;SG 3;IND;PRS;SG;V INDF;MASC;N;NOM;SG ADP ADJ;DAT;DEF;NEUT;SG DAT;DEF;N;NEUT;SG _
avgerðin um at gevast í filmsídnaðinum .	avgerð um at geva í filmurídnaður .	DEF;FEM;N;NOM;SG ADP PART NFIN;PASS;V ADP DAT;DEF;MASC;N;SG _
hellurnar eru partur av fuglafjarðar kommunu .	hellurnar vera partur av fuglafjørður kommuna .	NOM;PL;PROPN IND;PL;PRS;V INDF;MASC;N;NOM;SG ADP GEN;INDF;MASC;PROPN;SG DAT;FEM;INDF;N;SG _
felagið er ongantíð enn flutt niður í lægri deild .	felag vera ongantíð enn flyta niður í lágur deild .	DEF;N;NEUT;NOM;SG 3;IND;PRS;SG;V ADV ADV V;V.CVB ADV ADP ADJ;DAT;FEM;INDF;SG DAT;FEM;INDF;N;SG _
atlanta : atlanta er høvuðsstaður georgia í usa .	atlanta : atlanta vera høvuðsstaður georgia í usa .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V INDF;MASC;N;NOM;SG NOM;PROPN;SG ADP DAT;N _
jamestown er størsti býur og handilsmiðdepil .	jamestown vera stórur býur og handilsmiðdepil .	NOM;PROPN;SG 3;IND;PRS;SG;V ADJ;DEF;MASC;NOM;RL;SG INDF;MASC;N;NOM;SG CONJ INDF;MASC;N;NOM;SG _
tað er ikki sum fyrr .	tað vera ikki sum fyrr .	3;NOM;PRO;SG 3;IND;PRS;SG;V ADV ADP ADV _
størsta oyggin er mainland .	stórur oyggj vera mainland .	ADJ;DEF;FEM;NOM;RL;SG DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V INDF;NEUT;NOM;PROPN;SG _
mikudagur í føstuinngangi nevnist øskudagur , og tá byrjar álvarsamari parturin av føstuni .	mikudagur í føstainngangur nevna øskudagur , og tá byrja álvarsamur partur av føsta .	INDF;MASC;N;NOM;SG ADP DAT;INDF;MASC;N;SG 3;IND;PASS;PRS;SG;V INDF;MASC;N;NOM;SG _ CONJ ADV 3;IND;PRS;SG;V ADJ;DAT;FEM;INDF;SG DEF;MASC;N;NOM;SG ADP DAT;DEF;FEM;N;SG _
á framkroppinum eru 10 bein .	á framkroppur vera 10 bein .	ADP DAT;DEF;MASC;N;SG IND;PL;PRS;V NOM;NUM INDF;N;NEUT;NOM;PL _
svartur kongur stendur í skáki .	svartur kongur standa í skák .	ADJ;INDF;MASC;NOM;SG INDF;MASC;N;NOM;SG 3;IND;PRS;SG;V ADP DAT;INDF;N;NEUT;SG _
fyrr vóru stórir skógir á fílabeinsstrondini .	fyrr vera stórur skóg á fílabeinstrond .	ADV IND;PL;PST;V ADJ;INDF;MASC;NOM;PL FEM;INDF;N;NOM;PL ADP DAT;DEF;FEM;N;SG _
italia var størsti marknaðurin fyri føroyskan saltfisk .	italia vera stórur marknaður fyri føroyskur saltfiskur .	NOM;PROPN;SG 3;IND;PST;SG;V ADJ;DEF;MASC;NOM;RL;SG DEF;MASC;N;NOM;SG ADP ACC;ADJ;INDF;MASC;SG ACC;INDF;MASC;N;SG _
støddin er sum á dúgvu .	stødd vera sum á dúgva .	DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V ADP ADP DAT;FEM;INDF;N;SG _
frá gamlari tíð er nógv kol høgt í ruhr .	frá gamal tíð vera nógvur kol høgur í ruhr .	ADP ADJ;DAT;FEM;INDF;SG DAT;FEM;INDF;N;SG 3;IND;PRS;SG;V ADJ;INDF;NEUT;NOM;PL INDF;N;NEUT;NOM;SG ADJ;INDF;NEUT;NOM;SG ADP ACC;PROPN;SG _
blágrøni liturin í lofthavinum kemst av metani , sum sýgur í seg reyðu litirnar .	blágrønur litur í lofthav koma av metan , sum súgva í seg reyður litur .	ADJ;DEF;MASC;NOM;SG DEF;MASC;N;NOM;SG ADP DAT;DEF;N;NEUT;SG 3;IND;PASS;PRS;SG;V ADP DAT;INDF;N;NEUT;SG _ PRO 3;IND;PRS;SG;V ADP ACC;PRO;REFL ACC;ADJ;DEF;MASC;PL ACC;DEF;MASC;N;PL _
greinarnar eru taktar uttan við grasi og leyvi .	grein vera taktur uttan við gras og leyv .	DEF;FEM;N;NOM;PL IND;PL;PRS;V ADJ;FEM;INDF;NOM;PL ADV ADP DAT;INDF;N;NEUT;SG CONJ DAT;INDF;N;NEUT;SG _
64,9 % av turkunum atkvøddu ja fyri samanlegging .	64,9 % av turkur atkvøða ja fyri samanlegging .	_ NOM;NUM ADP DAT;DEF;MASC;N;PL IND;PL;PST;V INTJ ADP DAT;FEM;INDF;N;SG _
tveir seyðabøndur eru eisini í bygdini .	tvey seyðabóndi vera eisini í bygd .	MASC;NOM;NUM;SG INDF;MASC;N;NOM;PL IND;PL;PRS;V ADV ADP DAT;DEF;FEM;N;SG _
allir á guam eru amerikanskir ríkisborgarar .	allur á guam vera amerikanskur ríkisborgari .	INDF;MASC;NOM;PL;PRO ADP ACC;PROPN;SG IND;PL;PRS;V ADJ;INDF;MASC;NOM;PL INDF;MASC;N;NOM;PL _
í føroyum varð navnið jákupsson skrivað sum jacobsen av donskum prestum .	í føroyar verða navn jákupssonur skriva sum jacobsen av danskur prestur .	ADP DAT;FEM;INDF;PL;PROPN 3;IND;PST;SG;V DEF;N;NEUT;NOM;SG ACC;INDF;MASC;PROPN;SG V;V.CVB ADP ACC;PROPN;SG ADP ADJ;DAT;INDF;MASC;PL DAT;INDF;MASC;N;PL _
velbastaður hevur verið , og er framvegis , eyðkend landbúnaðarbygd .	velbastaður hava vera , og vera framvegis , eyðkendur landbúnaðurbygd .	INDF;MASC;NOM;PROPN;SG 3;IND;PRS;SG;V V;V.CVB _ CONJ 3;IND;PRS;SG;V ADV _ ADJ;FEM;INDF;NOM;SG FEM;INDF;N;NOM;SG _
tað er kjarnin .	tað vera kjarni .	3;NOM;PRO;SG 3;IND;PRS;SG;V DEF;MASC;N;NOM;SG _
meginparturin eru baptistar .	meginpartur vera baptistur .	DEF;MASC;N;NOM;SG IND;PL;PRS;V INDF;MASC;N;NOM;PL _
filmurin varar í 75 minuttir .	filmur vara í 75 minuttur .	DEF;MASC;N;NOM;SG 3;IND;PRS;SG;V ADP DAT;NUM ACC;INDF;MASC;N;PL _
hann er av minstu falkum .	hann vera av lítil falkur .	3;MASC;NOM;PRO;SG 3;IND;PRS;SG;V ADP ADJ;DAT;DEF;MASC;PL;RL DAT;INDF;MASC;N;PL _
men hetta var honum ikki nokk .	men hesin vera hann ikki nokk .	CONJ NEUT;NOM;PRO;SG 3;IND;PST;SG;V 3;DAT;MASC;PRO;SG ADV ADV _
størsti býur er rangoon .	stórur býur vera rangoon .	ADJ;DEF;MASC;NOM;RL;SG INDF;MASC;N;NOM;SG 3;IND;PRS;SG;V NOM;PROPN;SG _
30 landsstýrismenn eru .	30 landsstýrismaður vera .	NOM;NUM INDF;MASC;N;NOM;PL IND;PL;PRS;V _
hettar tosar til ungdómin og aðrar áhoyrarar .	hesin tosa til ungdómur og annar áhoyrari .	NEUT;NOM;PRO;SG 3;IND;PRS;SG;V ADP ACC;DEF;MASC;N;SG CONJ ACC;ADJ;MASC;PL ACC;INDF;MASC;N;PL _
hetta er storkapápin .	hesin vera storkurpápi .	NEUT;NOM;PRO;SG 3;IND;PRS;SG;V DEF;MASC;N;NOM;SG _
synirnir muta tó ímóti í fyrstuni .	sonur muta tó ímóti í fyrsta .	DEF;MASC;N;NOM;PL IND;PL;PRS;V ADV ADP ADP DAT;DEF;FEM;N;SG _
fyrr kallaðist landi rhodesia .	fyrr kalla landi rhodesia .	ADV IND;PASS;PST;SG;V INDF;MASC;N;NOM;SG NOM;PROPN;SG _
høvuðsstaðurin er kiev við 2,6 milliónum .	høvuðsstaður vera kiev við 2,6 millión .	DEF;MASC;N;NOM;SG 3;IND;PRS;SG;V NOM;PROPN;SG ADP DAT;NUM DAT;FEM;INDF;N;PL _
keldan er sjálvstøðug og ikki formliga partur av einum ávísum trúarbólki .	kelda vera sjálvstøðugur og ikki formligur partur av ein ávísur trúarbólkur .	DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V ADJ;INDF;NEUT;NOM;PL CONJ ADV ADJ;DEF;FEM;NOM;SG INDF;MASC;N;NOM;SG ADP DAT;DET;MASC;SG ADJ;DAT;INDF;MASC;SG DAT;INDF;MASC;N;SG _
danskt mál : danskt mál er málið í danmark .	danskur mál : danskur mál vera mál í danmark .	ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG _ ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG 3;IND;PRS;SG;V DEF;N;NEUT;NOM;SG ADP DAT;FEM;INDF;PROPN;SG _
hetta kom í lag við kongsbrævi , dagfest 19. mars .	hesin koma í lag við kongsbræv , dagfesta 19 mars .	NEUT;NOM;PRO;SG 3;IND;PST;SG;V ADP ACC;INDF;N;NEUT;SG ADP DAT;INDF;N;NEUT;SG _ V;V.CVB ADJ INDF;MASC;N;NOM;SG _
tey eru eisini undir grønlandi og føroyum .	tað vera eisini undir grønland og føroyar .	3;NOM;PL;PRO IND;PL;PRS;V ADV ADP DAT;INDF;NEUT;PROPN;SG CONJ DAT;FEM;INDF;PL;PROPN _
lavrasmessa : lavrasmessa er 10. august .	lavrasmessa : lavrasmessa vera 10 august .	FEM;INDF;N;NOM;SG _ FEM;INDF;N;NOM;SG 3;IND;PRS;SG;V ADJ INDF;MASC;N;NOM;SG _
naksos er kent fyri síni eplir í restini av grikkalandi .	naksos vera kenna fyri sín epli í rest av grikkaland .	NOM;PROPN;SG 3;IND;PRS;SG;V V;V.CVB ADP ACC;DET;NEUT;PL ACC;INDF;N;NEUT;PL ADP DAT;DEF;FEM;N;SG ADP DAT;INDF;NEUT;PROPN;SG _
vänersborg : vänersborg er ein býur í vänersborgs kommunu í svøríki .	vänersborg : vänersborg vera ein býur í vänersborg kommuna í svøríki .	NOM;PROPN;SG _ NOM;PROPN;SG 3;IND;PRS;SG;V DET;MASC;NOM;SG INDF;MASC;N;NOM;SG ADP GEN;PROPN;SG DAT;FEM;INDF;N;SG ADP DAT;INDF;NEUT;PROPN;SG _
umleið 90 % av eini øl er vatn .	umleið 90 % av ein øl vera vatn .	ADV _ NOM;NUM ADP DAT;DET;FEM;SG DAT;FEM;INDF;N;SG 3;IND;PRS;SG;V INDF;N;NEUT;NOM;SG _
undir skelini báðumegin eru táknur .	undir skel báðumegin vera tákna .	ADP DAT;DEF;FEM;N;SG ADV IND;PL;PRS;V FEM;INDF;N;NOM;PL _
tí er umráðandi ikki at taka hann .	tí vera umráðandi ikki at taka hann .	CONJ 3;IND;PRS;SG;V INDF;MASC;N;NOM;SG ADV PART NFIN;V 3;ACC;MASC;PRO;SG _
undir skorpuni er kápan .	undir skorpa vera kápa .	ADP DAT;DEF;FEM;N;SG 3;IND;PRS;SG;V DEF;FEM;N;NOM;SG _
