в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
не смущайся звонами майских дней , не чини худое рядно , ибо добровольнее — праведней , это всем известно давно !	не смущайся звон майский день , не чинить худой рядно , ибо добровольный — праведный , это все известный давно !	NEG;PART 2;FIN;IMP;IPFV;MID;SG;V INAN;INS;MASC;N;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _ NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG _ CONJ ADJ;CMPR _ ADJ;FEM;GEN;SG _ INAN;NEUT;NOM;PRO;SG ANIM;DAT;PL;PRO ADJ;NEUT;SG ADV _
" ... выше выдуманной " партии молодежи " -- партии , уже представленные в парламенте , а также парнас , " яблоко " и ...	" ... выше выдумать " партия молодежь " -- партия , уже представить в парламент , а также парнас , " яблоко " и ...	_ _ ADP FEM;GEN;PASS;PFV;PST;SG;V;V.PTCP _ FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG _ _ FEM;INAN;N;NOM;PL _ ADV NOM;PASS;PFV;PL;PST;V;V.PTCP ADP ESS;INAN;MASC;N;SG _ CONJ ADV INAN;MASC;NOM;PROPN;SG _ _ INAN;NEUT;NOM;PROPN;SG _ CONJ _
4 . получаешь свои 20 евро на счет , а павлик — бонус за приглашенного друга и скидку на билет в сомали .	4 . получать свой 20 евро на счет , а павлик — бонус за пригласить друг и скидка на билет в сомали .	NUM _ 2;ACT;FIN;IND;IPFV;PRS;SG;V ACC;DET;PL NUM GEN;INAN;MASC;N;PL ADP ACC;INAN;MASC;N;SG _ CONJ ANIM;MASC;NOM;PROPN;SG _ INAN;MASC;N;NOM;SG ADP GEN;MASC;PASS;PFV;PST;SG;V;V.PTCP ACC;ANIM;MASC;N;SG CONJ ACC;FEM;INAN;N;SG ADP ACC;INAN;MASC;N;SG ADP ACC;INAN;NEUT;PROPN;SG _
он аж вспотел ...	он аж вспотеть …	3;MASC;NOM;PRO;SG PART ACT;FIN;IND;MASC;PFV;PST;SG;V _
единая россия давай досвидания !	единый россия давать досвидания !	ADJ;FEM;NOM;SG FEM;INAN;NOM;PROPN;SG 2;ACT;FIN;IMP;IPFV;SG;V PART _
и слушать его реально интересно .	и слушать он реально интересный .	CONJ ACT;IPFV;NFIN;V 3;ACC;MASC;PRO;SG ADV ADJ;NEUT;SG _
6 . просто - понт - баба сидит модная , ребёнок модный , айфон 6 , трындит : - оооой , сижу , прикинь чё в бесплатной поликлинике , да ащщще пипец , я ж платно обычно , а тут чёрт дернул сюда припереться , прикинь я в шоке ащщще .	6 . просто - понт - баба сидеть модный , ребенок модный , айфон 6 , трындеть : - оооой , сидеть , прикинуть че в бесплатный поликлиника , да аще пипец , я ж платно обычно , а тут черт дернуть сюда припереться , прикинуть я в шок аще .	NUM _ PART _ INAN;MASC;N;NOM;SG _ ANIM;FEM;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;NOM;SG _ ANIM;MASC;N;NOM;SG ADJ;MASC;NOM;SG _ INAN;MASC;N;NOM;SG NUM _ 3;ACT;FIN;IND;IPFV;PRS;SG;V _ _ INTJ _ 1;ACT;FIN;IND;IPFV;PRS;SG;V _ 2;ACT;FIN;IMP;PFV;SG;V ACC;INAN;NEUT;PRO;SG ADP ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _ CONJ ADV;CMPR ANIM;MASC;N;NOM;SG _ 1;NOM;PRO;SG PART ADV ADV _ CONJ ADV INAN;MASC;N;NOM;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ADV MID;NFIN;PFV;V _ 2;ACT;FIN;IMP;PFV;SG;V 1;NOM;PRO;SG ADP ESS;INAN;MASC;N;SG ADV;CMPR _
кпрф опубликовало на своём сайте .	кпрф опубликовать на свой сайт .	FEM;INAN;NOM;PROPN;SG ACT;FIN;IND;NEUT;PFV;PST;SG;V ADP DET;ESS;NEUT;SG ESS;INAN;MASC;N;SG _
@zhirinovskiy на рассее горби считают предателем .	@zhirinovskiy на рассея горби считать предатель .	PROPN ADP ESS;FEM;INAN;PROPN;SG ACC;ANIM;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ANIM;INS;MASC;N;SG _
в нем под ласкою меха мотыльковой пурги мириады орехов оставляют круги , ходят белые цапли , словно сотни свечей брызги , перья и капли озаряют ручей .	в он под ласка мех мотыльковый пурга мириада орех оставлять круг , ходить белый цапля , словно сотня свеча брызги , перо и капля озарять ручей .	ADP 3;ESS;MASC;PRO;SG ADP FEM;INAN;INS;N;SG GEN;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG FEM;INAN;N;NOM;PL GEN;INAN;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;PL _ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;NOM;PL ANIM;FEM;N;NOM;PL _ CONJ FEM;INAN;N;NOM;PL FEM;GEN;INAN;N;PL FEM;INAN;N;NOM;PL _ INAN;N;NEUT;NOM;PL CONJ FEM;INAN;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;SG _
антикиллер 2 : антитеррор . ( 2003 ) .	антикиллер 2 : антитеррор . ( 2003 ) .	ANIM;MASC;N;NOM;SG NUM _ INAN;MASC;N;NOM;SG _ _ NUM _ _
@xxxxxx - гнилее тебя нет никого , это да . @xxxxxx @xxxxxx @xxxxxx @xxxxxx @xxxxxx	@xxxxxx - гнилой ты нет никто , это да . @xxxxxx @xxxxxx @xxxxxx @xxxxxx @xxxxxx	_ _ ADJ;CMPR 2;GEN;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V GEN;PRO _ INAN;NEUT;NOM;PRO;SG PART _ _ _ _ _ _
хочу - хочу - хочу их ! 💜	хотеть - хотеть - хотеть они ! 💜	1;ACT;FIN;IND;IPFV;PRS;SG;V _ 1;ACT;FIN;IND;IPFV;PRS;SG;V _ 1;ACT;FIN;IND;IPFV;PRS;SG;V 3;ACC;PL;PRO _ _
объем 5 л , автоподогрев , в общем , довольно обычная мультиварка .	объем 5 литр , автоподогрев , в общий , довольно обычный мультиварка .	INAN;MASC;N;NOM;SG NUM GEN;INAN;MASC;N;PL _ INAN;MASC;N;NOM;SG _ ADP ADJ;ESS;NEUT;SG _ ADV ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
а именно :	а именно :	CONJ PART _
ректор тульского пед.университета н. шайденко стала депутатом госдумы от ер с помощью студентов - карусельщиков " ( с фото карусельщиков ) .	ректор тульский пед.университет н. шайденко стать депутат госдума от ер с помощь студент - карусельщик " ( с фото карусельщик ) .	ANIM;MASC;N;NOM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG PROPN ANIM;FEM;NOM;PROPN;SG ACT;FEM;FIN;IND;PFV;PST;SG;V ANIM;INS;MASC;N;SG FEM;GEN;INAN;PROPN;SG ADP FEM;GEN;INAN;PROPN;SG ADP FEM;INAN;INS;N;SG ANIM;GEN;MASC;N;PL _ ANIM;GEN;MASC;N;PL _ _ ADP GEN;INAN;N;NEUT;SG ANIM;GEN;MASC;N;PL _ _
вернемся к цукатам .	вернуться к цукат .	1;FIN;FUT;IND;MID;PFV;PL;V ADP DAT;FEM;INAN;N;PL _
– изменяем критерии , устанавливающие , что лошадь мертва ;	– изменять критерий , устанавливать , что лошадь мертвый ;	_ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;PL _ ACC;ACT;INAN;IPFV;PL;PRS;V;V.PTCP _ CONJ ANIM;FEM;N;NOM;SG ADJ;FEM;SG _
ты же их не вышвырнешь , как котят , на промерзший берег реки ?!	ты же они не вышвырнуть , как котенок , на промерзать берег река ?!	2;NOM;PRO;SG PART 3;ACC;PL;PRO NEG;PART 2;ACT;FIN;FUT;IND;PFV;SG;V _ CONJ ACC;ANIM;MASC;N;PL _ ADP ACC;ACT;INAN;MASC;PFV;PST;SG;V;V.PTCP ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _
5 . надавите лбом на ладонь и напрягите мышцы шеи .	5 . надавить лоб на ладонь и напрячь мышца шея .	NUM _ 2;ACT;FIN;IMP;PFV;PL;V INAN;INS;MASC;N;SG ADP ACC;FEM;INAN;N;SG CONJ 2;ACT;FIN;IMP;PFV;PL;V ACC;FEM;INAN;N;PL FEM;GEN;INAN;N;SG _
муж : — узнала , да ? ))	муж : — узнать , да ? ))	ANIM;MASC;N;NOM;SG _ _ ACT;FEM;FIN;IND;IPFV;PST;SG;V _ PART _ _
не станет в проблемах слабее винить ,	не стать в проблема слабый винить ,	NEG;PART 3;ACT;FIN;FUT;IND;PFV;SG;V ADP ESS;FEM;INAN;N;PL ADJ;CMPR ACT;IPFV;NFIN;V _
не стал в сеть вывешивать , чтобы не рекламировать .	не стать в сеть вывешивать , чтобы не рекламировать .	NEG;PART ACT;FIN;IND;MASC;PFV;PST;SG;V ADP ACC;FEM;INAN;N;SG ACT;IPFV;NFIN;V _ COND;CONJ NEG;PART ACT;IPFV;NFIN;V _
- ликер , или настойки , или вода — 7 ст. ложек	- ликер , или настойка , или вода — 7 столовый ложка	_ INAN;MASC;N;NOM;SG _ CONJ FEM;INAN;N;NOM;PL _ CONJ FEM;INAN;N;NOM;SG _ NUM ADJ FEM;GEN;INAN;N;PL
цените пока не поздно .	ценить пока не поздно .	2;ACT;FIN;IMP;PFV;PL;V ADV NEG;PART ADV _
сестра любви .	сестра любовь .	ANIM;FEM;N;NOM;SG FEM;GEN;INAN;N;SG _
сбегут , зароются , дурачки , в заплеванные пески .	сбегать , зароться , дурачок , в заплевать песок .	3;ACT;FIN;IND;IPFV;PL;PRS;V _ 3;FIN;IND;IPFV;MID;PL;PRS;V _ ANIM;MASC;N;NOM;PL _ ADP ACC;PASS;PFV;PL;PST;V;V.PTCP ACC;INAN;MASC;N;PL _
когда потерял штык-нож в армии	когда потерять штык-нож в армия	CONJ ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG ADP ESS;FEM;INAN;N;SG
продолжайте ставить свечки и замаливать свои грехи .	продолжать ставить свечка и замаливать свой грех .	2;ACT;FIN;IMP;IPFV;PL;V ACT;IPFV;NFIN;V ACC;FEM;INAN;N;PL CONJ ACT;IPFV;NFIN;V ACC;DET;PL ACC;INAN;MASC;N;PL _
а еще есть статья на рбк для тех кто любит читать . http://xxxxxx 😉	а еще быть статья на рбк для тот кто любить читать . http://xxxxxx 😉	CONJ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INAN;N;NOM;SG ADP ESS;INAN;MASC;PROPN;SG ADP DET;GEN;PL ANIM;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V _ _ _
много в рядах наших разных профессий множество разных и редких конфессий мы все едины и верим в страну !	много в ряд наш разный профессия множество разный и редкий конфессия мы весь единый и верить в страна !	NOM;NUM ADP ESS;INAN;MASC;N;PL DET;GEN;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL ACC;INAN;N;NEUT;SG ADJ;GEN;PL CONJ ADJ;GEN;PL FEM;GEN;INAN;N;PL 1;NOM;PL;PRO DET;NOM;PL ADJ;PL CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP ACC;FEM;INAN;N;SG _
а в хайфе , как обычно , соберётся шоу ряженных полковников !	а в хайфа , как обычно , собраться шоу ряженый полковник !	CONJ ADP ESS;FEM;INAN;PROPN;SG _ CONJ ADV _ 3;FIN;IND;IPFV;MID;PRS;SG;V INAN;N;NEUT;NOM;SG ADJ;GEN;NEUT;SG ANIM;GEN;MASC;N;PL _
всё напоминает крым , помните налетели сворой роднина , терешкова , жириновский , петикантроп валуев и другие особи различных полов .	всё напоминать крым , помнить налететь свора роднина , терешкова , жириновский , питекантроп валуев и другой особь различный пол .	INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;PROPN;SG _ 2;ACT;FIN;IMP;IPFV;PL;V ACT;FIN;IND;PFV;PL;PST;V FEM;INAN;INS;N;SG ANIM;FEM;NOM;PROPN;SG _ ANIM;FEM;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG CONJ ADJ;NOM;PL ANIM;FEM;GEN;N;SG ADJ;GEN;PL GEN;INAN;MASC;N;PL _
дружба — это тёплый ветер ,	дружба — это теплый ветер ,	FEM;INAN;N;NOM;SG _ PART ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _
да малочисленная фракция собирается рулить в думе ну , ну .	да малочисленный фракция собираться рулить в дума ну , ну .	PART ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ACT;IPFV;NFIN;V ADP ESS;FEM;INAN;N;SG PART _ PART _
так грязен двор , и небо грязно , лишь сердце — нет .	так грязный двор , и небо грязный , лишь сердце — нет .	ADV ADJ;MASC;SG INAN;MASC;N;NOM;SG _ CONJ INAN;N;NEUT;NOM;SG ADJ;NEUT;SG _ PART INAN;N;NEUT;NOM;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V _
и все !!!	и всё !!!	CONJ INAN;NEUT;NOM;PRO;SG _
вторая : " сколько всего случилось , пока три недели новости не читал !!!\	второй : " сколько всё случиться , пока три неделя новость не читать !!!\	ADJ;FEM;NOM;SG _ _ NOM;NUM GEN;INAN;NEUT;PRO;SG FIN;IND;MID;NEUT;PFV;PST;SG;V _ CONJ NOM;NUM FEM;GEN;INAN;N;SG ACC;FEM;INAN;N;PL NEG;PART ACT;FIN;IND;IPFV;MASC;PST;SG;V _
то мелькают в стремнине , то уходят под лед , может , к нашей равнине хоть один доплывет мимо пальм , зиккуратов , плах , колодцев , костров , шлюх , безумцев , кастратов , мужеловцев , воров ?!	то мелькать в стремнина , то уходить под лед , мочь , к наш равнина хоть один доплыть мимо пальма , зиккурат , плаха , колодец , костер , шлюха , безумец , кастрат , мужеловец , вор ?!	CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ESS;FEM;INAN;N;SG _ CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ACC;INAN;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ADP DAT;DET;FEM;SG DAT;FEM;INAN;N;SG PART MASC;NOM;NUM 3;ACT;FIN;FUT;IND;PFV;SG;V ADP FEM;GEN;INAN;N;PL _ GEN;INAN;MASC;N;PL _ FEM;GEN;INAN;N;PL _ GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;PL _ ANIM;FEM;GEN;N;PL _ ANIM;GEN;MASC;N;PL _ ANIM;GEN;MASC;N;PL _ ANIM;GEN;MASC;N;PL _ ANIM;GEN;MASC;N;PL _
полный список призов :	полный список приз :	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;PL _
смешать все ингредиенты , довести до кипения и варить на малом огне до растворения сахара .	смешать весь ингредиент , довести до кипение и варить на малый огонь до растворение сахар .	ACT;NFIN;PFV;V ACC;DET;INAN;PL ACC;INAN;MASC;N;PL _ ACT;NFIN;PFV;V ADP GEN;INAN;N;NEUT;SG CONJ ACT;IPFV;NFIN;V ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG _
@xxxxxx , закрывайте этот бесполезный проект	@xxxxxx , закрывать этот бесполезный проект	_ _ 2;ACT;FIN;IMP;IPFV;PL;V ACC;DET;INAN;MASC;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG
аксенов предложил " яблоку " сменить страну из-за позиции партии по крыму | подробности на bonjournal.kz @yabloko )))) гггг ряженые , бляь !	аксенов предложить " яблоко " сменить страна из-за позиция партия по крым | подробность на bonjournal.kz @yabloko )))) гггг ряженый , блядь !	ANIM;MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ DAT;INAN;NEUT;PROPN;SG _ ACT;NFIN;PFV;V ACC;FEM;INAN;N;SG ADP FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG ADP DAT;INAN;MASC;PROPN;SG _ ACC;FEM;INAN;N;PL ADP _ PROPN _ INTJ ANIM;MASC;N;NOM;PL _ PART _
запретит , и ты будешь его слушаться .	запретить , и ты быть он слушаться .	3;ACT;FIN;FUT;IND;PFV;SG;V _ CONJ 2;NOM;PRO;SG 2;ACT;FIN;IND;IPFV;PRS;SG;V 3;GEN;MASC;PRO;SG IPFV;MID;NFIN;V _
с оригинальной коробкой и джойстиком .	с оригинальный коробка и джойстик .	ADP ADJ;FEM;INS;SG FEM;INAN;INS;N;SG CONJ INAN;INS;MASC;N;SG _
по привычке думают , что он красный ?	по привычка думать , что он красный ?	ADP DAT;FEM;INAN;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ 3;MASC;NOM;PRO;SG ADJ;MASC;NOM;SG _
размерный ряд 116 , 128 , 140 , 152 , 158 !!!	размерный ряд 116 , 128 , 140 , 152 , 158 !!!	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG NUM _ NUM _ NUM _ NUM _ NUM _
и это только начало ! ;)	и это только начало ! ;)	CONJ NEUT;NOM;PRO;SG PART INAN;N;NEUT;NOM;SG _ _
чтобы ни случилось , не смей никогда сдаваться .	что+бы ни случиться , не сметь никогда сдаваться .	NOM;PRO NEG;PART FIN;IND;MID;NEUT;PFV;PST;SG;V _ NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V ADV IPFV;MID;NFIN;V _
показ будет состоять из двух отделений ( с антрактом ) и по времени продлится не больше 45 минут .	показ быть состоять из два отделение ( с антракт ) и по время продлиться не больше 45 минута .	INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V ADP GEN;NUM GEN;INAN;N;NEUT;PL _ ADP INAN;INS;MASC;N;SG _ CONJ ADP DAT;INAN;N;NEUT;SG 3;FIN;FUT;IND;MID;PFV;SG;V NEG;PART ADV;CMPR NUM FEM;GEN;INAN;N;PL _
молочная пропитка 1	молочный пропитка 1	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG NUM
ура - ура !	ура - ура !	INTJ _ INTJ _
лучше всего скажите это юбиляр или вы слили за бабло на выборах прокурорам беглым и действующим	лучше всё сказать это юбиляр или вы слить за бабло на выборы прокурор беглый и действовать	ADV;CMPR GEN;INAN;NEUT;PRO;SG 2;ACT;FIN;IMP;PFV;PL;V PART ANIM;MASC;N;NOM;SG CONJ 2;NOM;PL;PRO ACT;FIN;IND;IPFV;PL;PST;V ADP ACC;INAN;N;NEUT;SG ADP ESS;INAN;MASC;N;PL ANIM;DAT;MASC;N;PL ADJ;DAT;PL CONJ ACT;DAT;IPFV;PL;PRS;V;V.PTCP
граждане сообщают о том , что на тв начал ротацию предвыборный ролик " гражданской силы " .	гражданин сообщать о то , что на тв начать ротация предвыборный ролик " гражданский сила " .	ANIM;MASC;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ESS;INAN;NEUT;PRO;SG _ CONJ ADP ESS;INAN;N;NEUT;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;FEM;INAN;N;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ _
нам вдалбливают непрерывно " служите ! прислуживайте ! "	мы вдалбливать непрерывно " служить ! прислуживать ! "	1;DAT;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV _ 2;ACT;FIN;IMP;IPFV;PL;V _ 2;ACT;FIN;IMP;IPFV;PL;V _ _
― лучшее еще впереди ...	― лучший еще впереди ...	_ ADJ;NEUT;NOM;SG ADV ADV _
например , можно чуть более сильным нажатием можно разблокировать смартфон или добавить в интерфейс устройства дополнительные команды , аналогичные нажатию правой кнопки мыши .	например , можно чуть более сильный нажатие можно разблокировать смартфон или добавить в интерфейс устройство дополнительный команда , аналогичный нажатие правый кнопка мышь .	ADV _ V ADV ADV;CMPR ADJ;INS;NEUT;SG INAN;INS;N;NEUT;SG V ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG CONJ ACT;NFIN;PFV;V ADP ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ ACC;ADJ;INAN;PL DAT;INAN;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG _
куплена зимой 2014го , использовалась мало , поэтому запылилась )	купить зима 2014й , использовать мало , поэтому запылиться )	FEM;PASS;PFV;PST;SG;V;V.PTCP FEM;INAN;INS;N;SG ADJ;GEN;MASC;SG _ FEM;FIN;IND;IPFV;PASS;PST;SG;V ADV _ ADV FEM;FIN;IND;MID;PFV;PST;SG;V _
теперь я за ней .	теперь я за она .	ADV 1;NOM;PRO;SG ADP 3;FEM;INS;PRO;SG _
жириновский сожалеет , что березовский не успел вернуться в россию	жириновский сожалеть , что березовский не успеть вернуться в россия	ANIM;MASC;NOM;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ ANIM;MASC;NOM;PROPN;SG NEG;PART ACT;FIN;IND;MASC;PFV;PST;SG;V MID;NFIN;PFV;V ADP ACC;FEM;INAN;PROPN;SG
кладун , мне беседа с вами начинает надоедать .	кладун , я беседа с вы начинать надоедать .	ANIM;MASC;NOM;PROPN;SG _ 1;DAT;PRO;SG FEM;INAN;N;NOM;SG ADP 2;INS;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V _
