« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
in tegenstelling tot de deelgemeenten in andere belgische gemeenten , zijn de antwerpse districten een bestuurslaag .	in tegenstelling tot de deelgemeente in ander belgisch gemeente , zijn de antwerps district een bestuurslaag .	ADP MASC+FEM;N;SG ADP DEF;DET N;PL ADP ADJ ADJ N;PL _ FIN;PL;PRS;V DEF;DET ADJ N;PL DET;INDF MASC+FEM;N;SG _
in 2006 is urbanus ook te zien op de vlaamse zender één en het nederlandse nederland 2 met een real-life-soap genaamd urbain .	in 2006 zijn urbanus ook te zien op de vlaams zender één en het nederlands nederland 2 met een real-life-soap genaamd urbain .	ADP NUM FIN;PRS;SG;V MASC+FEM;PROPN;SG ADV ADP NFIN;V ADP DEF;DET ADJ MASC+FEM;N;SG MASC+FEM;PROPN;SG CONJ DEF;DET ADJ PROPN PROPN ADP DET;INDF MASC+FEM;N;SG ADJ MASC+FEM;PROPN;SG _
graafwerken in gruwelhuis	graafwerk in gruwelhuis	N;PL ADP N;NEUT;SG
1921 - « de verlossing » , roman	1921 - « de verlossing » , roman	NUM _ _ DEF;DET MASC+FEM;N;SG _ _ MASC+FEM;N;SG
louis ide : ondervoorzitter	louis ide : ondervoorzitter	PROPN PROPN _ MASC+FEM;N;SG
ook direct ten oosten van het centrum wordt het beeld door kantoren ( laagbouw ) gedomineerd .	ook direct te oosten van het centrum worden het beeld door kantoor ( laagbouw ) domineren .	ADV ADJ ADP N;NEUT;SG ADP DEF;DET N;NEUT;SG FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP N;PL _ MASC+FEM;N;SG _ V;V.PTCP _
het oud kerkhof is een begraafplaats vlak bij de stad .	het oud kerkhof zijn een begraafplaats vlak bij de stad .	DEF;DET PROPN PROPN FIN;PRS;SG;V DET;INDF MASC+FEM;N;SG ADV ADP DEF;DET MASC+FEM;N;SG _
rivieren	rivier	N;PL
namen heeft als hoofdstad de gelijknamige stad namen .	namen hebben als hoofdstad de gelijknamig stad naam .	NEUT;PROPN;SG FIN;PRS;SG;V ADP MASC+FEM;N;SG DEF;DET ADJ MASC+FEM;N;SG NEUT;PROPN;SG _
rik wouters	rik wouters	PROPN PROPN
website vlaamse overheid	website vlaams overheid	MASC+FEM;N;SG ADJ MASC+FEM;N;SG
de schilder ensor ( ... ) is een van de eersten in belgië die uitgedaagd is door de moderne zoektocht naar het licht .	de schilder ensor ( ... ) zijn één van de één in belgië die uitdagen zijn door de modern zoektocht naar het licht .	DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG _ _ _ FIN;PRS;SG;V NUM ADP DEF;DET ADJ ADP NEUT;PROPN;SG PRO V;V.PTCP FIN;PRS;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _
vanaf 1973 treedt anders gaan leven steeds meer naar buiten .	vanaf 1973 treden anders gaan leven steeds veel naar buiten .	ADP NUM FIN;PRS;SG;V PROPN PROPN PROPN ADV PRO ADP ADP _
zo stuitte hij op het pruisische leger van blücher , dat in de slag bij ligny tot de terugtocht gedwongen werd .	zo stuiten hij op het pruisisch leger van blücher , dat in de slag bij ligny tot de terugtocht dwingen worden .	ADV FIN;PST;SG;V 3;NOM;PRO ADP DEF;DET ADJ N;NEUT;SG ADP MASC+FEM;PROPN;SG _ 3;PRO ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG ADP DEF;DET MASC+FEM;N;SG V;V.PTCP FIN;PST;SG;V _
frantz van dorpe ( cvp ) ;	frantz van dorpe ( cvp ) ;	PROPN PROPN PROPN _ MASC+FEM;PROPN;SG _ _
door deze opgelopen blessure zal ze niet meer op het terrein verschijnen .	door deze oplopen blessure zullen ze niet veel op het terrein verschijnen .	ADP DET V;V.PTCP MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO ADV PRO ADP DEF;DET N;NEUT;SG NFIN;V _
dana winner , zangeres .	dana winner , zangeres .	PROPN PROPN _ MASC+FEM;N;SG _
een gestage electorale achteruitgang van de cvp sinds de jaren '80 en vooral een voedselschandaal dat in mei 1999 uitbrak , de zgn. dioxinecrisis , leidden bij de nationale en deelstaatverkiezingen van 13 juni 1999 tot een historische nederlaag voor cvp .	een gestaag electoraal achteruitgang van de cvp sinds de jaar '80 en vooral een voedselschandaal dat in mei 1999 uitbreken , de zogenaamd dioxinecrisis , leiden bij de nationaal en deelstaatverkiezing van 13 juni 1999 tot een historisch nederlaag voor cvp .	DET;INDF ADJ ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG ADP DEF;DET N;PL NUM CONJ ADV DET;INDF N;NEUT;SG 3;PRO ADP MASC+FEM;PROPN;SG NUM FIN;PST;SG;V _ DEF;DET ADJ MASC+FEM;N;SG _ FIN;PL;PST;V ADP DEF;DET ADJ CONJ N;PL ADP NUM MASC+FEM;PROPN;SG NUM ADP DET;INDF ADJ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _
ondertussen waren ook de pruisen weer doorgedrongen tot plancenoit .	ondertussen zijn ook de pruis weer doordringen tot plancenoit .	ADV FIN;PL;PST;V ADV DEF;DET PL;PROPN ADV V;V.PTCP ADP NEUT;PROPN;SG _
1965 - guido reybrouck ( bel )	1965 - guido reybrouck ( bel )	NUM _ PROPN PROPN _ NEUT;PROPN;SG _
eddy boutmans ( ontwikkelingssamenwerking )	eddy boutmans ( ontwikkelingssamenwerking )	PROPN PROPN _ MASC+FEM;N;SG _
« domestic cares »	« domestic cares »	_ PROPN PROPN _
zijn bekendste werken volgden in de jaren 20 en 30 : « lijmen » ( 1924 ) , « kaas » ( 1933 ) , « tsjip » ( 1934 ) en « het been » ( 1938 ) .	zijn bekend werken volgen in de jaar 20 en 30 : « lijmen » ( 1924 ) , « kaas » ( 1933 ) , « tsjip » ( 1934 ) en « het been » ( 1938 ) .	3;PRO ADJ;RL NFIN;V FIN;PL;PST;V ADP DEF;DET N;PL NUM CONJ NUM _ _ NFIN;V _ _ NUM _ _ _ MASC+FEM;N;SG _ _ NUM _ _ _ MASC+FEM;PROPN;SG _ _ NUM _ CONJ _ DEF;DET N;NEUT;SG _ _ NUM _ _
de textielproductie , die in de middeleeuwen begon , omvat katoen , linnen , wol en synthetische vezels ; tapijten en dekens zijn belangrijke vervaardigde producten .	de textielproductie , die in de middeleeuwen beginnen , omvatten katoen , linnen , wol en synthetisch vezel ; tapijt en deken zijn belangrijk vervaardigen product .	DEF;DET MASC+FEM;N;SG _ PRO ADP DEF;DET N;PL FIN;PST;SG;V _ FIN;PRS;SG;V N;SG;{MASC+FEM/NEUT} _ N;NEUT;SG _ MASC+FEM;N;SG CONJ ADJ N;PL _ N;PL CONJ N;PL FIN;PL;PRS;V ADJ V;V.PTCP N;PL _
de partij veranderde hierna haar naam in het vlaams belang , maar behield intern haar extreme anti-vreemdelingen standpunten .	de partij veranderen hierna haar naam in het vlaams belang , maar behouden intern haar extreem anti-vreemdeling standpunt .	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADV 3;PRO MASC+FEM;N;SG ADP DEF;DET PROPN PROPN _ CONJ FIN;PST;SG;V ADJ 3;PRO ADJ N;PL N;PL _
nabij antwerpen wordt zijn groep ingesloten en hij deserteert , om terecht te komen in een kamp te zeist , in nederland .	nabij antwerpen worden zijn groep insluiten en hij deserteren , om terecht te komen in een kamp te zeist , in nederland .	ADP NEUT;PROPN;SG FIN;PRS;SG;V 3;PRO MASC+FEM;N;SG V;V.PTCP CONJ 3;NOM;PRO FIN;PRS;SG;V _ ADP ADJ ADP NFIN;V ADP DET;INDF N;NEUT;SG ADP NEUT;PROPN;SG _ ADP NEUT;PROPN;SG _
mol ( dier ) , ondergronds levend zoogdier ;	mol ( dier ) , ondergronds leven zoogdier ;	MASC+FEM;N;SG _ N;NEUT;SG _ _ ADJ V;V.PTCP N;NEUT;SG _
nationaal instituut voor de statistiek	nationaal instituut voor de statistiek	ADJ N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG
in maart 1990 betuigde hij in een opiniestuk in le soir zijn steun aan de pas als europarlementariër verkozen jean-marie le pen , die volgens hem het slachtoffer was van een haatcampagne .	in maart 1990 betuigen hij in een opiniestuk in le soir zijn steun aan de pas als europarlementariër verkiezen jean-marie le pen , die volgens hem het slachtoffer zijn van een haatcampagne .	ADP MASC+FEM;PROPN;SG NUM FIN;PST;SG;V 3;NOM;PRO ADP DET;INDF N;NEUT;SG ADP PROPN PROPN 3;PRO MASC+FEM;N;SG ADP DEF;DET ADV ADP MASC+FEM;N;SG V;V.PTCP PROPN PROPN PROPN _ PRO ADP 3;ACC;PRO DEF;DET N;NEUT;SG FIN;PST;SG;V ADP DET;INDF MASC+FEM;N;SG _
patrik vankrunkelsven ( ex-voorzitter volksunie )	patrik vankrunkelsven ( ex-voorzitter volksunie )	PROPN PROPN _ MASC+FEM;N;SG MASC+FEM;PROPN;SG _
nog hetzelfde jaar verkoopt hij 25 gravures aan het prentenkabinet van dresden .	nog hetzelfde jaar verkopen hij 25 gravure aan het prentenkabinet van dresden .	ADV ADJ N;NEUT;SG FIN;PRS;SG;V 3;NOM;PRO NUM N;PL ADP DEF;DET NEUT;PROPN;SG ADP NEUT;PROPN;SG _
politiek	politiek	MASC+FEM;N;SG
« laatste brief rondom liefde en dood » ( 1980 , brieven )	« laat brief rondom liefde en dood » ( 1980 , brief )	_ ADJ;RL MASC+FEM;N;SG ADP MASC+FEM;N;SG CONJ MASC+FEM;N;SG _ _ NUM _ N;PL _
partijbestuurslid vlaams blok ( 1987-2004 ) en partijbestuurslid vlaams belang ( 2004-... )	partijbestuurslid vlaams blok ( 1987 ) en partijbestuurslid vlaams belang ( 2004 )	N;NEUT;SG PROPN PROPN _ NUM _ CONJ N;NEUT;SG PROPN PROPN _ NUM _
deze balans is kenmerkend voor de kuifje-strips .	deze balans zijn kenmerken voor de kuifje-strip .	DET MASC+FEM;N;SG FIN;PRS;SG;V V;V.PTCP ADP DEF;DET N;PL _
op het oude stadje ename werd ter pacificatie van de streek een klooster gebouwd .	op het oud stad ename worden te pacificatie van de streek een klooster bouwen .	ADP DEF;DET ADJ N;NEUT;SG NEUT;PROPN;SG FIN;PST;SG;V ADP MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG DET;INDF N;NEUT;SG V;V.PTCP _
op 29 augustus 1935 kwam er een einde aan het sprookje : het vorstenpaar , op dat moment op vakantie in zwitserland , was betrokken bij een zwaar verkeersongeluk .	op 29 augustus 1935 komen er een einde aan het sprookje : het vorstenpaar , op dat moment op vakantie in zwitserland , zijn betrekken bij een zwaar verkeersongeluk .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V ADV DET;INDF N;NEUT;SG ADP DEF;DET N;NEUT;SG _ DEF;DET N;NEUT;SG _ ADP DET N;NEUT;SG ADP MASC+FEM;N;SG ADP NEUT;PROPN;SG _ FIN;PST;SG;V V;V.PTCP ADP DET;INDF ADJ N;NEUT;SG _
ook de luikse wapenproduktie veroverde europa in deze periode .	ook de luiks wapenproduktie veroveren europa in deze periode .	ADV DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V NEUT;PROPN;SG ADP DET MASC+FEM;N;SG _
opeenvolgende voorzitters waren annemie vandecasteele ( 2001-2002 ) en els van weert ( 2002-2004 ) .	opeenvolgen voorzitter zijn annemie vandecasteele ( 2001-2002 ) en els van weert ( 2002-2004 ) .	V;V.PTCP N;PL FIN;PL;PST;V PROPN PROPN _ _ _ CONJ PROPN PROPN PROPN _ _ _ _
zo kwam hij in contact met j. meuwissen , een nederlander die sinds 1936 het blad bravo uitgaf en op zoek was naar vlaams en nederlands tekentalent nu er geen amerikaanse strips meer mochten gepubliceerd worden .	zo komen hij in contact met j. meuwissen , een nederlander die sinds 1936 het blad bravo uitgeven en op zoek zijn naar vlaams en nederlands tekentalent nu er geen amerikaans strip veel mogen publiceren worden .	ADV FIN;PST;SG;V 3;NOM;PRO ADP N;NEUT;SG ADP PROPN PROPN _ DET;INDF MASC+FEM;PROPN;SG PRO ADP NUM DEF;DET N;NEUT;SG MASC+FEM;PROPN;SG FIN;PST;SG;V CONJ ADP N;NEUT;SG FIN;PST;SG;V ADP ADJ CONJ ADJ N;NEUT;SG CONJ ADV DET ADJ N;PL PRO FIN;PL;PST;V V;V.PTCP NFIN;V _
in het tornooi van eastbourne ( verenigd koninkrijk ) , waar zij haar titel verdedigt , stuit zij in de halve finale opnieuw op landgenote henin .	in het tornooi van eastbourne ( verenigd koninkrijk ) , waar zij haar titel verdedigen , stuiten zij in de half finale opnieuw op landgenote henin .	ADP DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG _ PROPN PROPN _ _ ADV 3;NOM;PRO 3;PRO MASC+FEM;N;SG FIN;PRS;SG;V _ FIN;PRS;SG;V 3;NOM;PRO ADP DEF;DET ADJ MASC+FEM;N;SG ADV ADP MASC+FEM;N;SG MASC+FEM;PROPN;SG _
limburg ( belgische provincie )	limburg ( belgisch provincie )	NEUT;PROPN;SG _ ADJ MASC+FEM;N;SG _
1935 - louis duerloo ( )	1935 - louis duerloo ( )	NUM _ PROPN PROPN _ _
magritte was nauwelijks 14 jaar oud toen men zijn moeder dood uit de samber haalde , na een wanhoopsdaad .	magritte zijn nauwelijks 14 jaar oud toen men zijn moeder dood uit de samber halen , na een wanhoopsdaad .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV NUM N;NEUT;SG ADJ CONJ 3;NOM;PRO 3;PRO MASC+FEM;N;SG ADJ ADP DEF;DET MASC+FEM;PROPN;SG FIN;PST;SG;V _ ADP DET;INDF MASC+FEM;N;SG _
de omstreden houding en eventuele terugkeer van leopold iii als koning leidden tot de zogenaamde koningskwestie .	de omstreden houding en eventueel terugkeer van leopold iii als koning leiden tot de zogenaamd koningskwestie .	DEF;DET ADJ MASC+FEM;N;SG CONJ ADJ MASC+FEM;N;SG ADP PROPN PROPN ADP MASC+FEM;N;SG FIN;PL;PST;V ADP DEF;DET ADJ MASC+FEM;N;SG _
kfc merelbeke	kfc merelbeke	MASC+FEM;PROPN;SG NEUT;PROPN;SG
de succesvolste nederlander was jan raas met twee eerste plaatsen en twee derde plaatsen .	de succesvol nederlander zijn jan raas met twee één plaats en twee drie plaats .	DEF;DET ADJ;RL MASC+FEM;PROPN;SG FIN;PST;SG;V PROPN PROPN ADP NUM ADJ N;PL CONJ NUM ADJ N;PL _
limburg - 2 van de 63 zetels	limburg - 2 van de 63 zetel	NEUT;PROPN;SG _ NUM ADP DEF;DET NUM N;PL
ronde van vlaanderen	ronde van vlaanderen	PROPN PROPN PROPN
slag bij waterloo	slag bij waterloo	MASC+FEM;N;SG ADP NEUT;PROPN;SG
nog zes jaar bracht napoleon daar door voordat hij op 5 mei 1821 stierf .	nog zes jaar brengen napoleon daar door voordat hij op 5 mei 1821 sterven .	ADV NUM N;NEUT;SG FIN;PST;SG;V MASC+FEM;PROPN;SG ADV ADP CONJ 3;NOM;PRO ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V _
voor het eerst werd zijn ophefmakende " intrede van christus te brussel " geëxposeerd en werd hij in de adelstand opgenomen als james baron ensor ( « baron j.ensor , zijn duivel en zijn blazoen » , 1934 ; olie en zwart potlood op paneel ) .	voor het één worden zijn ophefmakend " intrede van christus te brussel " exposeren en worden hij in de adelstand opnemen als james baron ensor ( « baron j.ensor , zijn duivel en zijn blazoen » , 1934 ; olie en zwart potlood op paneel ) .	ADP DEF;DET ADJ FIN;PST;SG;V 3;PRO ADJ _ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG ADP NEUT;PROPN;SG _ V;V.PTCP CONJ FIN;PST;SG;V 3;NOM;PRO ADP DEF;DET MASC+FEM;N;SG V;V.PTCP ADP PROPN PROPN PROPN _ _ PROPN PROPN _ 3;PRO MASC+FEM;N;SG CONJ 3;PRO N;NEUT;SG _ _ NUM _ MASC+FEM;N;SG CONJ ADJ N;NEUT;SG ADP N;NEUT;SG _ _
steden als amsterdam , londen , berlijn , keulen , parijs , marseille en milaan zijn alle rechtstreeks te bereiken .	stad als amsterdam , londen , berlijn , keulen , parijs , marseille en milaan zijn al rechtstreeks te bereiken .	N;PL ADP NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG FIN;PL;PRS;V PRO ADJ ADP NFIN;V _
op 20 november 1997 wordt agnes pandy aangehouden en bekent ze , na een wandeling rond het gerechtsgebouw , vijf moorden .	op 20 november 1997 worden agnes pandy aanhouden en bekennen ze , na een wandeling rond het gerechtsgebouw , vijf moord .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PRS;SG;V PROPN PROPN V;V.PTCP CONJ FIN;PRS;SG;V 3;PRO _ ADP DET;INDF MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _ NUM N;PL _
omdat veel van deze reeksen nooit in albums verschenen zijn zijn ze ook nu nog gekoesterde verzamelobjecten voor stripliefhebbers .	omdat veel van deze reeks nooit in album verschijnen zijn zijn ze ook nu nog koesteren verzamelobject voor stripliefhebber .	CONJ PRO ADP DET N;PL ADV ADP N;PL V;V.PTCP FIN;PL;PRS;V FIN;PL;PRS;V 3;PRO ADV ADV ADV V;V.PTCP N;PL ADP N;PL _
de bestuurders van boelwerf vlaanderen werden op 12 oktober 2004 veroordeeld voor fraude met europese opleidingssubsidies .	de bestuurder van boelwerf vlaanderen worden op 12 oktober 2004 veroordelen voor fraude met europees opleidingssubsidie .	DEF;DET N;PL ADP MASC+FEM;PROPN;SG NEUT;PROPN;SG FIN;PL;PST;V ADP NUM MASC+FEM;PROPN;SG NUM V;V.PTCP ADP MASC+FEM;N;SG ADP ADJ N;PL _
tabel	tabel	MASC+FEM;N;SG
hond die vaak suske en wiske in hun avonturen bijstaat .	hond die vaak suske en wiske in hun avontuur bijstaan .	MASC+FEM;N;SG PRO ADJ PROPN PROPN PROPN ADP 3;PRO N;PL FIN;PRS;SG;V _
de lijst samen behaalde 24,5 % van de meetellende neergelegde stemmen in 2000 , behaalde vlaams blok 5,7 % en behaalde agalev 5,4 % .	de lijst samen behalen 24,5 % van de meetellen neerleggen stem in 2000 , behalen vlaams blok 5,7 % en behalen agalev 5,4 % .	DEF;DET MASC+FEM;N;SG ADV FIN;PST;SG;V NUM _ ADP DEF;DET V;V.PTCP V;V.PTCP N;PL ADP NUM _ FIN;PST;SG;V PROPN PROPN NUM _ CONJ FIN;PST;SG;V NEUT;PROPN;SG NUM _ _
het is alsof een zachte lichtbron achter en door het schilderij heenstraalt waardoor het geheel een inwendige glans verkrijgt .	het zijn alsof een zacht lichtbron achter en door het schilderij heenstralen waardoor het geheel een inwendig glans verkrijgen .	3;PRO FIN;PRS;SG;V CONJ DET;INDF ADJ MASC+FEM;N;SG ADP CONJ ADP DEF;DET N;NEUT;SG FIN;PRS;SG;V ADV DEF;DET N;NEUT;SG DET;INDF ADJ MASC+FEM;N;SG FIN;PRS;SG;V _
1923 - henri suter ( )	1923 - henri suter ( )	NUM _ PROPN PROPN _ _
sinds enkele jaren worden door de partijtop maatregelen genomen tegen deze leden .	sinds enkel jaar worden door de partijtop maatregel nemen tegen deze lid .	ADP DET N;PL FIN;PL;PRS;V ADP DEF;DET MASC+FEM;N;SG N;PL V;V.PTCP ADP DET N;PL _
nederland probeerde er nog alles aan om belgië onderdeel van het koninkrijk te laten blijven .	nederland proberen er nog alles aan om belgië onderdeel van het koninkrijk te laten blijven .	NEUT;PROPN;SG FIN;PST;SG;V ADV ADV 3;PRO ADP ADP NEUT;PROPN;SG N;NEUT;SG ADP DEF;DET N;NEUT;SG ADP NFIN;V NFIN;V _
oxford bottled beer database	oxford bottled beer database	PROPN PROPN PROPN PROPN
belgische monumenten op de werelderfgoedlijst	belgisch monument op de werelderfgoedlijst	ADJ N;PL ADP DEF;DET MASC+FEM;PROPN;SG
dit terwijl d66 deelname aan een coalitie met cda en vvd uitdrukkelijk had uitgesloten .	dit terwijl d66 deelname aan een coalitie met cda en vvd uitdrukkelijk hebben uitsluiten .	3;PRO CONJ MASC+FEM;PROPN;SG MASC+FEM;N;SG ADP DET;INDF MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ MASC+FEM;PROPN;SG ADJ FIN;PST;SG;V V;V.PTCP _
het signaal van o.a. vtm , kanaaltwee en jim zit in het pakket van tv vlaanderen .	het signaal van o.a. vtm , kanaaltwee en jim zitten in het pakket van tv vlaanderen .	DEF;DET N;NEUT;SG ADP _ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP PROPN PROPN _
er bestaan verschillende methodes om bier te maken .	er bestaan verschillend methode om bier te maken .	ADV FIN;PL;PRS;V ADJ N;PL ADP N;NEUT;SG ADP NFIN;V _
