oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
ón bhaváir cuireadh ar aghaidh go beirlin é ina nuinteas chun na gearmáine ar 22 meitheamh 1920 , áit a raibh sé , mar ba nós , ina dhéan ar an corps taidhleoireachta ar fad .	ó bhaváir cuir ar aghaidh go beirlin é i nuinteas chun na gearmáin ar 22 meitheamh 1920 , áit a bí sé , mar is nós , i déan ar an corps taidhleoireacht ar fad .	ADP;SG MASC;PROPN;SG IND;PST;V ADP FEM;N;SG ADP MASC;PROPN;SG 3;MASC;PRO;SG 3;ADP;MASC;SG MASC;N;SG ADP DEF;DET;FEM;GEN;SG FEM;GEN;PROPN ADP NUM MASC;N;SG NUM _ FEM;N;SG PART IND;PST;V 3;MASC;PRO;SG _ CONJ PST;V MASC;N;SG _ PART IND;PST;V ADP DEF;DET;SG MASC;N;SG FEM;GEN;N;SG ADP MASC;N;SG _
d' fhág an bád a chonaic mac an fhir .	do fág an bád a feic mac an fear .	PART IND;PST;V DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V MASC;N;SG DEF;DET;SG GEN;MASC;N;SG _
ní raibh mé ach timpeall is mí sa mbaile , nó rud eicínt beagán níos mó , nuair a fuair mé fliú mór a bhí ag goil thart .	ní bí mé ach timpeall agus mí i baile , nó rud eicínt beagán níos mór , nuair a faigh mé fliú mór a bí ag goil thart .	NEG;PART IND;NEG;PST;V 1;PRO;SG CONJ ADV CONJ FEM;N;SG ADP;SG MASC;N;SG _ CONJ MASC;N;SG FEM;N;SG MASC;N;SG N;SG ADJ;{CMPR/RL} _ CONJ PART IND;PST;V 1;PRO;SG MASC;N;SG ADJ;MASC;SG PART IND;PST;V ADP N;V.MSDR ADV _
' séard atá de róiste a rá anois ná gur cuireadh ina choinne go raibh baint aige le saor éire agus gur thug sin leithscéal dóibh é a bhriseadh .	' séard bí de róiste a rá anois ná gur cuir i coinne go bí baint ag le saor éire agus gur tabhair sin leithscéal do é a briseadh .	_ MASC;PROPN;SG IND;PRS;V PART MASC;PROPN;SG PART N;NFIN ADV CONJ PART;PST IND;PST;V 3;ADP;MASC;SG FEM;N;SG PART IND;PST;V FEM;N;SG 3;ADP;MASC;SG ADP MASC;N;SG FEM;PROPN;SG CONJ PART;PST IND;PST;V PRO MASC;N;SG 3;ADP;PL 3;MASC;PRO;SG PART N;NFIN _
nach ise atá gnóthach an tseachtain seo !	is ise bí gnóthach an seachtain seo !	NEG;PRS;V 3;FEM;PRO;SG IND;PRS;V ADJ DEF;DET;SG DEF;FEM;N;SG DET _
deir staraí eile de chuid na háite , pádraic ua dubhthaigh , go raibh thart ar dhá chéad go leith duine sa phobal preispitéireach nuair a osclaíodh an teach tionóil sa bhliain 1839 .	abair staraí eile de cuid na áit , pádraic ua dubhthaigh , go bí thart ar dó céad go leith duine i pobal preispitéireach nuair a oscail an teach tionól i bliain 1839 .	IND;PRS;V MASC;N;SG DET ADP FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _ MASC;PROPN;SG MASC;PROPN;SG MASC;PROPN;SG _ PART IND;PST;V ADV ADP NUM NUM ADP FEM;N;SG GEN;MASC;N;SG ADP;SG MASC;N;SG ADJ;MASC;SG CONJ PART IND;PST;V DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG ADP;SG DEF;FEM;N;SG NUM _
(vi) tríd an bhfo-alt seo a leanas a chur in ionad fho-alt (17) : ' (17) (a) déanfaidh an binse cinneadh ón mbinse faoi fho-alt (2) agus na cúiseanna atá leis a chur i bhfios don iarratasóir lena mbaineann agus dá aturnae nó dá haturnae ( más eol ) .	(vi) trí an alt seo a lean a cur i ionad alt (17) : ' (17) (a) déan an binse cinneadh ó binse faoi alt (2) agus na cúis bí le a cur i fios do iarratasóir le bain agus do aturnae nó do aturnae ( má eol ) .	_ ADP DEF;DET;SG MASC;N;SG DET PART IND;PRS;V PART N;NFIN ADP MASC;N;SG MASC;N;SG _ _ _ _ _ FUT;IND;V DEF;DET;SG MASC;PROPN;SG MASC;N;SG ADP;SG MASC;N;SG ADP MASC;N;SG _ CONJ DEF;DET;PL DEF;FEM;N;PL IND;PRS;V 3;ADP;MASC;SG PART N;NFIN ADP MASC;N;SG ADP;SG MASC;N;SG PART IND;PRS;V CONJ 3;ADP;MASC;SG MASC;N;SG CONJ 3;ADP;FEM;SG MASC;N;SG _ CONJ MASC;N;SG _ _
is múinteoir é .	is múinteoir é .	PRS;V MASC;N;SG 3;MASC;PRO;SG _
zip ( 39 kb ) ina bhfuil nuachló , leagan 3.00 , mar chló truetype .	zip ( 39 kb ) i bí nuachló , leagan 3.00 , mar cló truetype .	_ _ NUM _ _ PART IND;PRS;V MASC;PROPN;SG _ MASC;N;SG NUM _ ADP MASC;N;SG _ _
an fhíor-ghaeltacht ab ait liom a choinneáil amhla .	an fhíor-ghaeltacht is ait le a coinneáil amhlaidh .	DEF;DET;SG FEM;PROPN;SG PST;V ADJ 1;ADP;SG PART N;NFIN ADV _
d' inis sí an scéal ar fad di - gur rugadh iníon óg rua d' eithne , an bhanríon óg , beagnach seacht mbliana déag roimhe sin agus gur cailleadh í i dtinneas clainne .	do inis sí an scéal ar fad do - gur beir iníon óg rua do eithne , an banríon óg , beagnach seacht bliain déag roimh sin agus gur caill í i tinneas clann .	PART IND;PST;V 3;FEM;PRO;SG DEF;DET;SG DEF;MASC;N;SG ADP MASC;N;SG 3;ADP;FEM;SG _ PART;PST IND;PST;V FEM;N;SG ADJ;FEM;SG ADJ;FEM;SG ADP PROPN _ DEF;DET;SG DEF;FEM;N;SG ADJ;FEM;SG _ ADV NUM FEM;N;PL N;SG 3;ADP;MASC;SG PRO CONJ PART;PST IND;PST;V 3;FEM;PRO;SG ADP MASC;N;SG FEM;GEN;N;SG _
bhí ainm an tsagairt in airde mar dhuine fial flaithiúlach , ach chaill sé pé rud a bhí aige i rith an ghorta mhór ag saothrú gan sos dóibh siúd a bhí mar chúram air .	bí ainm an sagart i airde mar duine fial flaithiúlach , ach caill sé pé rud a bí ag i rith an gorta mór ag saothrú gan sos do siúd a bí mar cúram ar .	IND;PST;V MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP FEM;N;SG ADP MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG _ CONJ IND;PST;V 3;MASC;PRO;SG PRO MASC;N;SG PART IND;PST;V 3;ADP;MASC;SG ADP ADP DEF;DET;SG DEF;GEN;MASC;N;SG ADJ;FEM;SG ADP N;V.MSDR ADP MASC;N;SG 3;ADP;PL PRO PART IND;PST;V ADP MASC;N;SG 3;ADP;MASC;SG _
tá truailliú mór san áit mar nach bhfuil córas séarachais mar is ceart ann .	bí truailliú mór i áit mar nach bí córas séarachas mar is ceart i .	IND;PRS;V MASC;N;SG ADJ;MASC;SG ADP;SG DEF;FEM;N;SG CONJ NEG;PART IND;PRS;V MASC;N;SG GEN;MASC;N;SG CONJ PRS;V ADJ 3;ADP;MASC;SG _
bhí an chloch éadrom , mar is giairseach bheag do chaith í ; bheadh sé ina chorpán mharbh dá bar bean acfainneach do chaithfeadh í .	bí an cloch éadrom , mar is giairseach beag do caith í ; bí sé i corpán marbh dá bar bean acfainneach do caith í .	IND;PST;V DEF;DET;SG DEF;FEM;N;SG ADJ;FEM;SG _ ADP PRS;V FEM;N;SG ADJ;FEM;SG PART IND;PST;V 3;FEM;PRO;SG _ COND;V 3;MASC;PRO;SG 3;ADP;MASC;SG MASC;N;SG ADJ;MASC;SG CONJ MASC;N;SG FEM;N;SG ADJ PART COND;V 3;FEM;PRO;SG _
cé go moltar don tosnaitheoir an fhliúit neamheochrach a sheinnt is den dearadh agus den gcaighdeán díreach céanna é leis an bhfliúit eochrach , atá níos costasúla .	cé go mol do tosnaitheoir an fliúit eochair a seinnt is de dearadh agus de caighdeán díreach céanna é le an fliúit eochair , bí níos costasúil .	CONJ PART IND;PRS;V ADP;SG MASC;N;SG DEF;DET;SG DEF;FEM;N;SG ADJ;FEM;SG PART N;NFIN PRS;V ADP;SG MASC;N;SG CONJ ADP;SG MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG 3;MASC;PRO;SG ADP DEF;DET;SG FEM;N;SG ADJ;SG _ IND;PRS;V N;SG ADJ _
togra ionaid - eolas a chur ar fáil ar fholúntais fostaíochta le fás ; soláthraítear cúrsaí chomh maith trí bhoth eolais ( watis ) , atá nasctha le hoifig seirbhísí ceantair áitiúil fás agus le príomh-cheanncheathrú fás i mbaile áth cliath .	togra ionad - eolas a cur ar fáil ar folúntas fostaíocht le fás ; soláthair cúrsa chomh maith trí both eolas ( watis ) , bí nasctha le oifig seirbhís ceantar áitiúil fás agus le ceanncheathrú fás i baile áth cliath .	_ GEN;MASC;N;SG _ MASC;N;SG PART N;NFIN ADP N;NFIN ADP MASC;N;PL FEM;GEN;N;SG ADP _ _ IND;PRS;V MASC;N;PL ADV ADJ ADP FEM;N;SG GEN;MASC;N;SG _ _ _ _ IND;PRS;V GEN;N;NFIN ADP FEM;N;SG FEM;N;PL GEN;MASC;N;SG ADJ;GEN;MASC;SG _ CONJ ADP FEM;N;SG _ ADP GEN;MASC;PL;PROPN MASC;N;SG N _
agus glaochanna ó mhórán daoine eile .	agus glaochanna ó mórán duine eile .	CONJ MASC;N;PL ADP MASC;N;SG GEN;MASC;N;PL DET _
is furast aithne é .	is furasta aithne é .	PRS;V ADJ FEM;N;SG 3;MASC;PRO;SG _
ach tháinig an codladh orm i leaba a chéile , agus ag titim i mo chodladh dom , shíleas nach raibh aon fhear beo chomh sonasach liom .	ach tar an codladh ar i leaba a céile , agus ag titim i mo codladh do , síl nach bí aon fear beo chomh sonasach le .	CONJ IND;PST;V DEF;DET;SG FEM;N;SG 1;ADP;SG ADP FEM;N;SG 3;DET;MASC;SG MASC;N;SG _ CONJ ADP N;V.MSDR ADP 1;DET;SG FEM;N;SG 1;ADP;SG _ IND;PRS;V NEG;PART IND;NEG;PST;V DET MASC;N;SG ADJ ADV ADJ 1;ADP;SG _
miontrácht : (a) tá a lán scríofa ar an ábhar seo , agus bheadh gá le níos mó spáis agus níos mó taithí ábhartha chun tuairisc réasúnta cuimsitheach a thabhairt .	trácht : (a) bí a lán scríofa ar an ábhar seo , agus bí gá le níos mór spás agus níos mór taithí ábhartha chun tuairisc réasúnta cuimsitheach a tabhairt .	MASC;N;SG _ _ IND;PRS;V N;SG N ADJ;V.PTCP ADP DEF;DET;SG MASC;N;SG DET _ CONJ COND;V MASC;N;SG ADP N;SG ADJ;{CMPR/RL} GEN;MASC;N;SG CONJ N;SG ADJ;{CMPR/RL} FEM;GEN;N;SG ADJ ADP FEM;N;SG ADV ADJ PART N;NFIN _
rinne an teaspag comiskey neamart ceart den íospairt ghnéis a bhí forleathan i measc baill den chléir fána dhúiche .	déan an easpag comiskey neamart ceart de íospairt gnéas a bí forleathan i measc ball de cléir fána dúiche .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG MASC;PROPN;SG MASC;N;SG ADJ;MASC;SG ADP;SG DEF;FEM;N;SG GEN;MASC;N;SG PART IND;PST;V ADJ ADP MASC;N;SG GEN;MASC;N;SG ADP;SG DEF;FEM;N;SG FEM;GEN;N;SG FEM;GEN;N;SG _
tá an teicníocht inste a roghnaíonn sé thar a bheith éifeachtach .	bí an teicníocht inste a roghnaigh sé thar a bheith éifeachtach .	IND;PRS;V DEF;DET;SG FEM;N;SG ADJ;V.PTCP PART IND;PRS;V 3;MASC;PRO;SG ADV ADV ADV ADJ _
3 tá a chéad phost ag oilibhéar agus tig leis irp12 sa mhí a shábháil .	3 bí a céad post ag oilibhéar agus tar le irp12 i mí a sábháil .	NUM IND;PRS;V 3;DET;MASC;SG NUM MASC;N;SG ADP MASC;PROPN;SG CONJ IND;PRS;V 3;ADP;MASC;SG NUM ADP;SG FEM;N;SG PART N;NFIN _
ó 9pm ar aghaidh ar an dá oíche sin , beidh an coiméad le feiceáil go soiléir ar feadh uair an chloig .	ó 9 ar aghaidh ar an dó oíche sin , bí an éad le feiceáil go soiléir ar feadh uair an clog .	ADP NUM ADP FEM;N;SG ADP DEF;DET;SG DEF;NUM FEM;N;SG DET _ FUT;IND;V DEF;DET;SG MASC;N;SG ADP N;NFIN PART ADJ ADP ADP FEM;N;SG DEF;DET;SG GEN;MASC;N;SG _
níos práinní ná sin chaithfeadh sé déanamh cinnte nach mbainfí de iad .	níos práinneach ná sin caith sé déanamh cinnte nach bain de iad .	N;SG ADJ;{CMPR/RL} CONJ PRO COND;V 3;MASC;PRO;SG N;NFIN ADJ;V.PTCP NEG;PART COND;V ADP 3;PL;PRO _
' níor cheart do na polaiteoirí aislingí a chumadh agus an pobal a fhágáil ar an ngannchuid maidir lena bhfíorú .	' is ceart do na polaiteoir aisling a cumadh agus an pobal a fágáil ar an gannchuid maidir le fíorú .	_ NEG;PST;V ADJ ADP DEF;DET;PL DEF;MASC;N;PL FEM;N;PL PART N;NFIN CONJ DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADP DEF;DET;SG FEM;N;SG 3;ADP;PL ADP N;NFIN _
cúba a bhí chun tosaigh sa dornálaíocht agus bonn éigin ag iomaitheoirí na tíre sin i 10 n-aicme as 11 , agus 6 bhonn óir ina measc san !	cúba a bí chun tosach i dornálaíocht agus bonn éigin ag iomaitheoir na tír sin i 10 aicme as 11 , agus 6 bonn ór i measc sin !	MASC;PROPN;SG PART IND;PST;V ADP GEN;MASC;N;SG ADP;SG FEM;N;SG CONJ MASC;N;SG ADJ;MASC;SG ADP MASC;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG DET ADP NUM FEM;N;SG ADP NUM _ CONJ NUM MASC;N;SG GEN;MASC;N;SG 3;ADP;PL MASC;N;SG _ _
bhí scaifte maith sa tábhairne seo anois , an ceann amháin i mbaile an chaolais ach ar ndóigh go leor óstáin .	bí scaifte maith i tábhairne seo anois , an ceann amháin i baile an caolas ach ar dóigh go leor óstán .	IND;PST;V MASC;N;SG ADJ;MASC;SG ADP;SG DEF;MASC;N;SG DET ADV _ DEF;DET;SG DEF;MASC;N;SG ADJ ADP GEN;MASC;PL;PROPN DEF;DET;SG DEF;GEN;MASC;N;SG CONJ ADP FEM;N;SG N;SG N GEN;MASC;N;SG _
chomhairligh sé arís mé .	comhairligh sé arís mé .	IND;PST;V 3;MASC;PRO;SG ADV 1;PRO;SG _
' n' fheadarsa cén rud dearúd a dhéanamh .	' n' feadair cé rud dearúd a déanamh .	_ NEG;PART 1;IND;NEG;PST;SG;V DET;SG DEF;MASC;N;SG MASC;N;SG PART N;NFIN _
níor ghlac na curdaigh leis an gcinneadh sin agus leanadar ag éirí amach go ceann fiche bliain go dtí go raibh ar a gcinnire , mustafa barzaní , teicheadh .	níor glac na curdaigh le an cinneadh sin agus lean ag éirí amach go ceann fiche bliain go dtí go bí ar a cinnire , mustafa barzaní , teitheadh .	NEG;PART;PST IND;NEG;PST;V DEF;DET;PL MASC;PROPN;SG ADP DEF;DET;SG MASC;N;SG DET CONJ 3;IND;PL;PST;V ADP N;V.MSDR ADV ADP ADP NUM FEM;N;SG ADP ADP PART IND;PST;V ADP 3;DET;PL MASC;N;SG _ MASC;PROPN;SG MASC;PROPN;SG _ N;NFIN _
caidé 'n rud a dtugann sé na - ' maidí-úachtaracha ' orthú ?	cad_é an rud a tabhair sé na - ' maidí-úachtaracha ' ar ?	_ DEF;DET;SG MASC;N;SG PART IND;PRS;V 3;MASC;PRO;SG DEF;DET;PL _ _ MASC;N;PL _ 3;ADP;PL _
dúirt sé áfach go bhfuil airgead á chailliúint ag an gcoláiste agus líon na scoláirí cónaithe ag titim .	abair sé áfach go bí airgead do cailliúint ag an coláiste agus líon na scoláire cónaí ag titim .	IND;PST;V 3;MASC;PRO;SG ADV PART IND;PRS;V MASC;N;SG 3;ADP;MASC;SG N;NFIN ADP DEF;DET;SG MASC;N;SG CONJ MASC;N;SG DEF;DET;PL GEN;MASC;N;PL GEN;MASC;N;PL ADP N;V.MSDR _
(2) is sa bhfuirm orduithe a bheidh gach paitinn agus is i gcóir aon chumadóireachta amháin a deonfar í , ach féadfidh níos mó ná aon éileamh amháin a bheith san áireamhacht ; agus ní bheidh sé i gcumas éinne in aicsean no in imeacht eile aon agóid do dhéanamh maidir le paitinn ar an scór gur i gcóir níos mó ná aon chumadóireacht amháin do deonadh í .	(2) is i bhfuirm ordú a bí gach paitinn agus is i gcóir aon cumadóireacht amháin a deonfar í , ach féad níos mór ná aon éileamh amháin a bheith i áireamhacht ; agus ní bí sé i cumas duine i aicsean nó i imeacht eile aon agóid do déanamh maidir le paitinn ar an scór is i gcóir níos mór ná aon cumadóireacht amháin do deon í .	_ PRS;V ADP;SG FEM;N;SG GEN;MASC;N;PL PART FUT;IND;V DEF;DET FEM;N;SG CONJ PRS;V ADP ADP NUM FEM;GEN;N;SG ADJ PART MASC;N;SG 3;FEM;PRO;SG _ CONJ FUT;IND;V N;SG ADJ;{CMPR/RL} CONJ NUM MASC;N;SG ADJ PART N;NFIN ADP;SG FEM;N;SG _ CONJ NEG;PART FUT;IND;NEG;V 3;MASC;PRO;SG ADP MASC;N;SG MASC;N;SG ADP MASC;N;SG CONJ ADP MASC;N;SG DET DET FEM;N;SG ADP N;NFIN ADP ADP FEM;N;SG ADP DEF;DET;SG MASC;N;SG PRS;V ADP ADP N;SG ADJ;{CMPR/RL} CONJ NUM FEM;N;SG ADJ PART IND;PST;V 3;FEM;PRO;SG _
is i roinn a 2 na sraithe a bhí ciarraí agus bhuaigh siad an chraobh gan mórán stró , fé mar a bheifeá ag súil .	is i roinn a 2 na sraith a bí ciarraí agus buaigh siad an craobh gan mórán stró , faoi mar a bí ag súil .	PRS;V ADP FEM;N;SG PART NUM DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG PART IND;PST;V MASC;N;SG CONJ IND;PST;V 3;PL;PRO DEF;DET;SG DEF;FEM;N;SG ADP MASC;N;SG GEN;MASC;N;SG _ ADP CONJ PART 2;COND;SG;V ADP N;V.MSDR _
ní raibh eolas dá laghad ag an tiománaí cad é mar lasta luachmhar a bheith á iompar aige .	ní bí eolas de laghad ag an tiománaí cad é mar lasta luachmhar a bheith do iompar ag .	NEG;PART IND;NEG;PST;V MASC;N;SG 3;ADP;MASC;SG MASC;N;SG ADP DEF;DET;SG DEF;MASC;N;SG PRO 3;MASC;PRO;SG ADP MASC;N;SG ADJ;MASC;SG PART N;NFIN 3;ADP;MASC;SG N;NFIN 3;ADP;MASC;SG _
dhúisigh paidí go luath mar bhí gnó éigin le déanamh aige inniu .	dúisigh paidí go luath mar bí gnó éigin le déanamh ag inniu .	IND;PST;V MASC;PROPN;SG PART ADJ CONJ IND;PST;V MASC;N;SG ADJ;MASC;SG ADP N;NFIN 3;ADP;MASC;SG ADV _
ghlac aintín a máthar , bean uí eidhin , as sráid na cathrach , co. an chláir , cúram na beirte chuici féin .	glac aintín a máthair , bean uí eidhin , as sráid na cathair , co. an chláir , cúram na beirt chuig féin .	IND;PST;V FEM;N;SG 3;DET;FEM;SG FEM;GEN;N;SG _ MASC;PROPN;SG PART FEM;GEN;PROPN;SG _ ADP FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _ _ DEF;DET;SG MASC;PROPN;SG _ MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG 3;ADP;FEM;SG PRO;REFL _
