ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ADP N PRO DET N V DET N CONJ N _
nígbà tí jésù sì gbọ́ , ó wí pé , “ àìsàn yìí kìí ṣe ti ikú , ṣùgbọ́n fún ògo ọlọ́run , kí a lè yin ọmọ ọlọ́run lógo nípasẹ̀ rẹ̀ . ”	nígbà tí jésù sì gbọ́ , ó wí pé , “ àìsàn yìí kìí ṣe ti ikú , ṣùgbọ́n fún ògo ọlọ́run , kí a lè yin ọmọ ọlọ́run lógo nípasẹ̀ rẹ̀ . ”	ADV PRO PROPN CONJ V _ 3;NOM;PRO;SG V CONJ _ _ N DET PART V ADP N _ CONJ ADP N N _ CONJ 1;NOM;PL;PRO V V N N V ADP 3;GEN;PRO;SG _ _
èmi sì yọ̀ nítorí yín , tí èmi kò sí níbẹ̀ , kí ẹ le gbàgbọ́ ; ṣùgbọ́n ẹ jẹ́ kí a lọ sọ́dọ̀ rẹ̀ .	èmi sì yọ̀ nítorí yín , tí èmi kò sí níbẹ̀ , kí ẹ le gbàgbọ́ ; ṣùgbọ́n ẹ jẹ́ kí a lọ sọ́dọ̀ rẹ̀ .	1;NOM;PRO;SG CONJ V CONJ 2;GEN;PL;PRO _ PRO 1;NOM;PRO;SG PART V ADV _ CONJ 2;ACC;PL;PRO V V _ CONJ V V V 1;NOM;PL;PRO V ADP 3;GEN;PRO;SG _
nítorí náà ìyapa tún wà láàrin àwọn júù nítorí ọ̀rọ̀ wọ̀nyí .	nítorí náà ìyapa tún wà láàrin àwọn júù nítorí ọ̀rọ̀ wọ̀nyí .	CONJ ADV N ADV V ADP DET PROPN CONJ N DET _
ọlọ́run sì pe ìmọ́lẹ̀ náà ní “ ọ̀sán ” àti òkùnkùn ní “ òru . ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kìn-ín-ní .	ọlọ́run sì pe ìmọ́lẹ̀ náà ní “ ọ̀sán ” àti òkùnkùn ní “ òru . ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kìn-ín-ní .	N CONJ V N ADJ ADP _ N _ CONJ N ADP _ N _ _ N CONJ ADV CONJ V N ADJ _
lẹ́yìn náà ni ọlọ́run wí pé , “ ẹ jẹ́ kí a dá ènìyàn ní àwòrán ara wa , gẹ́gẹ́ bí àwa ti rí , kí wọn kí ó jọba lórí ẹja òkun , ẹyẹ ojú ọ̀run , ohun ọ̀sìn , gbogbo ilẹ̀ àti lórí ohun gbogbo tí ń rìn lórí ilẹ̀ . ”	lẹ́yìn náà ni ọlọ́run wí pé , “ ẹ jẹ́ kí a dá ènìyàn ní àwòrán ara wa , gẹ́gẹ́ bí àwa ti rí , kí wọn kí ó jọba lórí ẹja òkun , ẹyẹ ojú ọ̀run , ohun ọ̀sìn , gbogbo ilẹ̀ àti lórí ohun gbogbo tí ń rìn lórí ilẹ̀ . ”	ADP ADV V N V CONJ _ _ 2;NOM;PL;PRO V V 1;NOM;PL;PRO V N ADP N PRO 1;ACC;PL;PRO _ ADV CONJ 1;NOM;PL;PRO V V _ V 3;NOM;PL;PRO V 3;NOM;PRO;SG V ADP N N _ N N N _ PRO N _ DET N CONJ ADP PRO DET PRO V V ADP N _ _
àwọn júù sì tún he òkúta , láti sọ lù ú .	àwọn júù sì tún he òkúta , láti sọ lù ú .	DET PROPN CONJ ADV V N _ ADP V V 3;GEN;PRO;SG _
láti ṣàkóso ọ̀sán àti òru àti láti pààlà sí àárin ìmọ́lẹ̀ àti òkùnkùn : ọlọ́run sì rí i pé ó dára .	láti ṣàkóso ọ̀sán àti òru àti láti pààlà sí àárin ìmọ́lẹ̀ àti òkùnkùn : ọlọ́run sì rí i pé ó dára .	ADP V N CONJ N CONJ ADP V ADP ADP N CONJ N _ N CONJ V 3;ACC;PRO;SG CONJ 3;NOM;PRO;SG ADJ _
ara ọkùnrin kan sì ṣe aláìdá , lásárù , ará bẹ́tẹ́nì , tí í ṣe ìlú màríà àti mátà arábìnrin rẹ̀ .	ara ọkùnrin kan sì ṣe aláìdá , lásárù , ará bẹ́tẹ́nì , tí í ṣe ìlú màríà àti mátà arábìnrin rẹ̀ .	PRO N NUM CONJ V N _ PROPN _ N PROPN _ PRO V V N PROPN CONJ PROPN N 3;GEN;PRO;SG _
jésù wí fún un pé , “ arákùnrin rẹ yóò jíǹde . ”	jésù wí fún un pé , “ arákùnrin rẹ yóò jíǹde . ”	PROPN V ADP 3;GEN;PRO;SG CONJ _ _ N 2;GEN;PRO;SG V V _ _
ọlọ́run sì wí pé , “ jẹ́ kí omi kí ó kún fún àwọn ohun alààyè , kí àwọn ẹyẹ kí ó sì máa fò ní òfuurufú . ”	ọlọ́run sì wí pé , “ jẹ́ kí omi kí ó kún fún àwọn ohun alààyè , kí àwọn ẹyẹ kí ó sì máa fò ní òfuurufú . ”	N CONJ V CONJ _ _ V V N V 3;NOM;PRO;SG V ADP PRO PRO N _ CONJ DET N CONJ 3;NOM;PRO;SG CONJ V V ADP N _ _
àsálẹ́ àti òwúrọ̀ jẹ́ ọjọ́ kẹta .	àsálẹ́ àti òwúrọ̀ jẹ́ ọjọ́ kẹta .	N CONJ ADV V N ADJ _
àwọn júù sì dá a lóhùn pé , “ àwa kò sọ ọ́ lókúta nítorí iṣẹ́ rere , ṣùgbọ́n nítorí ọ̀rọ̀ - ọ̀dì : àti nítorí ìwọ tí í ṣe ènìyàn ń fi ara rẹ pe ọlọ́run . ”	àwọn júù sì dá a lóhùn pé , “ àwa kò sọ ọ́ lókúta nítorí iṣẹ́ rere , ṣùgbọ́n nítorí ọ̀rọ̀ - ọ̀dì : àti nítorí ìwọ tí í ṣe ènìyàn ń fi ara rẹ pe ọlọ́run . ”	DET PROPN CONJ V V V CONJ _ _ 1;NOM;PL;PRO PART V 2;ACC;PRO;SG V CONJ N ADJ _ CONJ CONJ N _ ADJ _ CONJ CONJ 2;ACC;PRO;SG PRO V V N V V PRO 2;GEN;PRO;SG V N _ _
ọ̀pọ̀ nínú wọn sì wí pé , “ ó ní ẹ̀mí èṣù , orí rẹ̀ sì dàrú ; èéṣe tí ẹ̀yin fi ń gbọ́rọ̀ rẹ̀ ? ”	ọ̀pọ̀ nínú wọn sì wí pé , “ ó ní ẹ̀mí èṣù , orí rẹ̀ sì dàrú ; èéṣe tí ẹ̀yin fi ń gbọ́rọ̀ rẹ̀ ? ”	ADJ ADP 3;NOM;PL;PRO CONJ V CONJ _ _ 3;NOM;PRO;SG V N N _ N 3;GEN;PRO;SG CONJ V _ PRO PRO 2;NOM;PL;PRO V V V 3;GEN;PRO;SG _ _
ọlọ́run sì ṣe wọ́n lọ́jọ̀ sí ojú ọ̀run láti máa tan ìmọ́lẹ̀ si orí ilẹ̀ ,	ọlọ́run sì ṣe wọ́n lọ́jọ̀ sí ojú ọ̀run láti máa tan ìmọ́lẹ̀ si orí ilẹ̀ ,	N CONJ V 3;ACC;PL;PRO V ADP N N ADP V V N ADP N N _
ọlọ́run sì wí pé “ jẹ́ kí ìmọ́lẹ̀ kí ó wà ní ojú ọ̀run , làti pààlà sí àárin ọ̀sán àti òru , kí wọn ó sì máa wà fún àmì láti mọ àwọn àsìkò , àti àwọn ọjọ́ àti àwọn ọdún ,	ọlọ́run sì wí pé “ jẹ́ kí ìmọ́lẹ̀ kí ó wà ní ojú ọ̀run , làti pààlà sí àárin ọ̀sán àti òru , kí wọn ó sì máa wà fún àmì láti mọ àwọn àsìkò , àti àwọn ọjọ́ àti àwọn ọdún ,	N CONJ V CONJ _ V V N V 3;NOM;PRO;SG V ADP N N _ ADP V ADP ADP N CONJ N _ CONJ 3;NOM;PL;PRO 3;NOM;PRO;SG CONJ V V ADP N ADP V PRO N _ CONJ DET N CONJ DET N _
ọlọ́run sì wí pé “ jẹ́ kí òfuurufú kí ó wà ní àárin àwọn omi láti pààlà sí àárin àwọn omi . ”	ọlọ́run sì wí pé “ jẹ́ kí òfuurufú kí ó wà ní àárin àwọn omi láti pààlà sí àárin àwọn omi . ”	N CONJ V CONJ _ V V N V 3;NOM;PRO;SG V ADP ADP DET N ADP V ADP ADP PRO N _ _
nígbà tí ó sì ti wí èyí tán , ó lọ , ó sì pe màríà arábìnrin rẹ̀ sẹ́yìn wí pé , “ olùkọ́ dé , ó sì ń pè ọ́ . ”	nígbà tí ó sì ti wí èyí tán , ó lọ , ó sì pe màríà arábìnrin rẹ̀ sẹ́yìn wí pé , “ olùkọ́ dé , ó sì ń pè ọ́ . ”	ADV PRO 3;NOM;PRO;SG CONJ V V PRO V _ 3;NOM;PRO;SG V _ 3;NOM;PRO;SG CONJ V PROPN N 3;GEN;PRO;SG ADV V CONJ _ _ N V _ 3;NOM;PRO;SG CONJ V V 2;ACC;PRO;SG _ _
“ lóòótọ́ , lóòótọ́ ni mo wí fún yín , ẹni tí kò bá gba ẹnu ọ̀nà wọ inú agbo àgùntàn , ṣùgbọ́n tí ó bá gba ibòmíràn gun òkè , òun náà ni olè àti ọlọ́sà .	“ lóòótọ́ , lóòótọ́ ni mo wí fún yín , ẹni tí kò bá gba ẹnu ọ̀nà wọ inú agbo àgùntàn , ṣùgbọ́n tí ó bá gba ibòmíràn gun òkè , òun náà ni olè àti ọlọ́sà .	_ ADV _ ADV V 1;NOM;PRO;SG V ADP 2;GEN;PL;PRO _ PRO PRO PART V V N N V ADP N N _ CONJ PRO 3;NOM;PRO;SG V V ADV V N _ 3;GEN;PRO;SG ADV V N CONJ N _
ọlọ́run sì wí pé , “ jẹ́ kí omi abẹ́ ọ̀run wọ́ papọ̀ sí ojúkan , kí ilẹ̀ gbígbẹ sì farahàn . ” ó sì rí bẹ́ẹ̀ .	ọlọ́run sì wí pé , “ jẹ́ kí omi abẹ́ ọ̀run wọ́ papọ̀ sí ojúkan , kí ilẹ̀ gbígbẹ sì farahàn . ” ó sì rí bẹ́ẹ̀ .	N CONJ V CONJ _ _ V V N ADP N V V ADP N _ CONJ N ADJ CONJ V _ _ 3;NOM;PRO;SG CONJ V ADV _
nígbà tí màríà sì dé ibi tí jésù wà , tí ó sì rí i , ó wólẹ̀ lẹ́bàá ẹsẹ̀ rẹ̀ , ó wí fún un pé , “ olúwa , ìbáṣe pé ìwọ ti wà níhín-ín , arákùnrin mi kì bá kú . ”	nígbà tí màríà sì dé ibi tí jésù wà , tí ó sì rí i , ó wólẹ̀ lẹ́bàá ẹsẹ̀ rẹ̀ , ó wí fún un pé , “ olúwa , ìbáṣe pé ìwọ ti wà níhín-ín , arákùnrin mi kì bá kú . ”	ADV PRO PROPN CONJ V N PRO PROPN V _ PRO 3;NOM;PRO;SG CONJ V 3;ACC;PRO;SG _ 3;NOM;PRO;SG V ADP N 3;GEN;PRO;SG _ 3;NOM;PRO;SG V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ CONJ CONJ 2;ACC;PRO;SG V V ADV _ N 1;ACC;PRO;SG PART CONJ V _ _
ọlọ́run sì wí pé , “ jẹ́ kí ilẹ̀ kí ó hu ọ̀gbìn : ewéko tí yóò máa mú èṣo wá àti igi tí yóò máa so èṣo ní irú tirẹ̀ , tí ó ní irúgbìn nínú . ” ó sì rí bẹ́ẹ̀ .	ọlọ́run sì wí pé , “ jẹ́ kí ilẹ̀ kí ó hu ọ̀gbìn : ewéko tí yóò máa mú èṣo wá àti igi tí yóò máa so èṣo ní irú tirẹ̀ , tí ó ní irúgbìn nínú . ” ó sì rí bẹ́ẹ̀ .	N CONJ V CONJ _ _ V V N V 3;NOM;PRO;SG V N _ N V V V V N V CONJ N PRO V V V N ADP ADJ 3;GEN;PRO;SG _ PRO 3;NOM;PRO;SG V N ADP _ _ 3;NOM;PRO;SG CONJ V ADV _
òun ni asọ́nà yóò ṣílẹ̀kùn fún ; àwọn àgùntàn gbọ́ ohùn rẹ̀ : ó sì pe àwọn àgùntàn tirẹ̀ lórúkọ , ó sì se amọ̀nà wọn jáde .	òun ni asọ́nà yóò ṣílẹ̀kùn fún ; àwọn àgùntàn gbọ́ ohùn rẹ̀ : ó sì pe àwọn àgùntàn tirẹ̀ lórúkọ , ó sì se amọ̀nà wọn jáde .	3;GEN;PRO;SG V N V V ADP _ DET N V N 3;GEN;PRO;SG _ 3;NOM;PRO;SG CONJ V DET N ADJ N _ 3;NOM;PRO;SG CONJ V N 3;ACC;PL;PRO N _
ṣùgbọ́n bí ẹnìkan bá rìn ní òru , yóò kọsẹ̀ , nítorí tí kò sí ìmọ́lẹ̀ nínú rẹ̀ . ”	ṣùgbọ́n bí ẹnìkan bá rìn ní òru , yóò kọsẹ̀ , nítorí tí kò sí ìmọ́lẹ̀ nínú rẹ̀ . ”	CONJ CONJ ADJ CONJ V ADP N _ ADV V _ CONJ PRO PART V N ADP 3;GEN;PRO;SG _ _
ṣùgbọ́n ẹni tí ó bá ti ẹnu - ọ̀nà wọlé , òun ni olùṣọ́ àwọn àgùntàn .	ṣùgbọ́n ẹni tí ó bá ti ẹnu - ọ̀nà wọlé , òun ni olùṣọ́ àwọn àgùntàn .	CONJ PRO PRO 3;NOM;PRO;SG V V N _ N V _ 3;GEN;PRO;SG V N DET N _
èmi sì ti mọ̀ pé , ìwọ a máa gbọ́ ti èmi nígbà gbogbo : ṣùgbọ́n nítorí ìjọ ènìyàn tí ó dúró yìí ni mo ṣe wí i , kí wọn baà lè gbàgbọ́ pé ìwọ ni ó rán mi . ”	èmi sì ti mọ̀ pé , ìwọ a máa gbọ́ ti èmi nígbà gbogbo : ṣùgbọ́n nítorí ìjọ ènìyàn tí ó dúró yìí ni mo ṣe wí i , kí wọn baà lè gbàgbọ́ pé ìwọ ni ó rán mi . ”	1;NOM;PRO;SG CONJ V V CONJ _ 2;NOM;PRO;SG 1;NOM;PL;PRO V V PRO 1;ACC;PRO;SG ADV DET _ CONJ CONJ N N PRO 3;NOM;PRO;SG V DET V 1;NOM;PRO;SG V V 3;ACC;PRO;SG _ CONJ 3;NOM;PL;PRO V V V CONJ 2;NOM;PRO;SG V 3;NOM;PRO;SG V 1;ACC;PRO;SG _ _
nígbà náà ni wọ́n gbé òkúta náà kúrò ( níbi tí a tẹ́ ẹ sí ) . jésù sì gbé ojú rẹ̀ sókè , ó sì wí pé , “ baba , mo dúpẹ́ lọ́wọ́ rẹ nítorí tí ìwọ gbọ́ tèmi .	nígbà náà ni wọ́n gbé òkúta náà kúrò ( níbi tí a tẹ́ ẹ sí ) . jésù sì gbé ojú rẹ̀ sókè , ó sì wí pé , “ baba , mo dúpẹ́ lọ́wọ́ rẹ nítorí tí ìwọ gbọ́ tèmi .	ADV ADV V 3;NOM;PL;PRO V N DET ADP _ ADV PRO 1;NOM;PL;PRO V V ADP _ _ PROPN CONJ V N 3;GEN;PRO;SG ADP _ 3;NOM;PRO;SG CONJ V CONJ _ _ N _ V V ADP 2;GEN;PRO;SG CONJ PRO 2;NOM;PRO;SG V 1;GEN;PRO;SG _
nígbà tí ó gbọ́ , ó dìde lọ́gán , ó sì wá sọ́dọ̀ rẹ̀ .	nígbà tí ó gbọ́ , ó dìde lọ́gán , ó sì wá sọ́dọ̀ rẹ̀ .	ADV PRO 3;NOM;PRO;SG V _ 3;NOM;PRO;SG V ADV _ 3;NOM;PRO;SG CONJ V ADP 3;GEN;PRO;SG _
ọlọ́run sì pe òfúurufú ní “ ọ̀run , ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kejì .	ọlọ́run sì pe òfúurufú ní “ ọ̀run , ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kejì .	N CONJ V N ADP _ N _ _ N CONJ N V V N ADJ _
ó sì wí pé , “ níbo ni ẹ̀yin gbé tẹ́ ẹ sí ? ” wọ́n sì wí fún un pé , “ olúwa , wá wò ó . ”	ó sì wí pé , “ níbo ni ẹ̀yin gbé tẹ́ ẹ sí ? ” wọ́n sì wí fún un pé , “ olúwa , wá wò ó . ”	3;NOM;PRO;SG CONJ V CONJ _ _ ADV V 2;NOM;PL;PRO V V 2;ACC;PL;PRO ADP _ _ V CONJ V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ PRO V 3;NOM;PRO;SG _ _
nítorí náà àwọn júù wí pé , “ sá wò ó bí ó ti fẹ́ràn rẹ̀ tó ! ”	nítorí náà àwọn júù wí pé , “ sá wò ó bí ó ti fẹ́ràn rẹ̀ tó ! ”	ADV ADV DET PROPN V CONJ _ _ ADV V 3;NOM;PRO;SG CONJ 3;NOM;PRO;SG V V 3;GEN;PRO;SG CONJ _ _
nítorí náà àwọn ọmọ - ẹ̀yìn rẹ̀ wí fún un pé , “ olúwa , bí ó bá se pé ó sùn , yóò sàn . ”	nítorí náà àwọn ọmọ - ẹ̀yìn rẹ̀ wí fún un pé , “ olúwa , bí ó bá se pé ó sùn , yóò sàn . ”	CONJ ADV DET N _ N 3;GEN;PRO;SG V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ CONJ 3;NOM;PRO;SG CONJ V CONJ 3;NOM;PRO;SG V _ V V _ _
ǹjẹ́ bẹ́tẹ́nì súnmọ́ jérúsálẹ́mù tó ibùsọ mẹ́ẹ̀dógún :	ǹjẹ́ bẹ́tẹ́nì súnmọ́ jérúsálẹ́mù tó ibùsọ mẹ́ẹ̀dógún :	V PROPN ADV PROPN CONJ N NUM _
àwọn ènìyàn púpọ̀ níbẹ̀ sì gbàágbọ́ .	àwọn ènìyàn púpọ̀ níbẹ̀ sì gbàágbọ́ .	DET N ADJ ADV CONJ V _
“ èmi ni olùṣọ́ àgùntàn rere : olùṣọ́ - àgùntàn rere fi ọkàn rẹ̀ lélẹ̀ nítorí àwọn àgùntàn .	“ èmi ni olùṣọ́ àgùntàn rere : olùṣọ́ - àgùntàn rere fi ọkàn rẹ̀ lélẹ̀ nítorí àwọn àgùntàn .	_ 1;NOM;PRO;SG V N N ADJ _ N _ N ADJ V N 3;GEN;PRO;SG V CONJ DET N _
