část druhá	část druhý	FEM;N;NOM;POS;SG ADJ;FEM;NOM;POS;SG
§_33	§_33	_
(9) v případě cizí měny , u které se nevyhlašuje kurs devizového trhu denně , použije účetní jednotka pro její přepočet a) kurs mezibankovního trhu pro tuto měnu k usd nebo eur a kurs devizového trhu vyhlášený českou národní bankou pro usd nebo eur ke stejnému dni , nebo b) poslední známý kurs vyhlášený či zveřejněný českou národní bankou ; tento postup nepoužijí účetní jednotky , na které se nevztahuje ustanovení odstavce 7 .	(9) v případ cizí měna , u který se vyhlašovat kurs devizový trh denně , použít účetní jednotka pro jeho přepočet a) kurs mezibankovní trh pro tento měna k usd nebo euro a kurs devizový trh vyhlášený český národní banka pro usd nebo euro k stejný den , nebo b) poslední známý kurs vyhlášený či zveřejněný český národní banka ; tento postup použít účetní jednotka , na který se vztahovat ustanovení odstavec 7 .	_ ADP;ESS ESS;INAN;MASC;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ ADP;GEN DET;FEM;GEN;SG ACC;PRO;REFL 3;ACT;FIN;IND;NEG;PRS;SG;V INAN;MASC;N;NOM;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ADV;POS _ 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ACC;ADP 3;ACC;DET;INAN;MASC;PSSS;SG ACC;INAN;MASC;N;POS;SG _ INAN;MASC;N;NOM;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ACC;ADP ACC;DET;FEM;SG ACC;FEM;N;POS;SG ADP;DAT INAN;MASC;N;POS CONJ GEN;N;NEUT;PL;POS CONJ INAN;MASC;N;NOM;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ADJ;ANIM;MASC;NOM;POS;SG ADJ;FEM;INS;POS;SG ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG ACC;ADP INAN;MASC;N;POS CONJ GEN;N;NEUT;PL;POS ADP;DAT ADJ;DAT;INAN;MASC;POS;SG DAT;INAN;MASC;N;POS;SG _ CONJ _ ADJ;INAN;MASC;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG CONJ ADJ;INAN;MASC;NOM;POS;SG ADJ;FEM;INS;POS;SG ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _ DET;MASC;NOM;SG INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;NEG;PL;PRS;V ACC;ADJ;FEM;PL;POS ACC;FEM;N;PL;POS _ ACC;ADP ACC;DET;FEM;PL ACC;PRO;REFL 3;ACT;FIN;IND;NEG;PRS;SG;V N;NEUT;NOM;POS;SG GEN;INAN;MASC;N;POS;SG NUM _
při této přeměně společnosti uzavírají účetní jednotky zúčastněné na přeměně společnosti účetní knihy ke dni předcházejícímu rozhodný den přeměny společnosti .	při tento přeměna společnost uzavírat účetní jednotka zúčastněný na přeměna společnost účetní kniha k den předcházející rozhodný den přeměna společnost .	ADP;ESS DET;ESS;FEM;SG ESS;FEM;N;POS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS ADJ;FEM;NOM;PL;POS ADP;ESS ESS;FEM;N;POS;SG FEM;GEN;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADP;DAT DAT;INAN;MASC;N;POS;SG ACT;ADJ;ANIM;DAT;IPFV;MASC;POS;PRS;SG;V.PTCP ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG FEM;GEN;N;POS;SG _
3 . ustanovení čl._i_bodů_18_až_23 použijí účetní jednotky poprvé pro konsolidované účetní závěrky sestavované po 1 . lednu 2005 včetně ; toto ustanovení se nedotýká konsolidovaných účetních závěrek již sestavených před nabytím účinnosti této vyhlášky .	3 . ustanovení čl._i_bodů_18_až_23 použít účetní jednotka poprvé pro konsolidovaný účetní závěrka sestavovaný po 1 . leden 2005 včetně ; tento ustanovení se dotýkat konsolidovaný účetní závěrka již sestavený před nabytí účinnost tento vyhláška .	NUM _ ESS;N;NEUT;POS;SG _ 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS ADV ACC;ADP ACC;ADJ;FEM;PL;POS ACC;ADJ;FEM;PL;POS ACC;FEM;N;PL;POS ACC;ADJ;FEM;PL;POS ADP;ESS NUM _ DAT;INAN;MASC;N;POS;SG NUM ADV _ DET;NEUT;NOM;SG N;NEUT;NOM;POS;SG ACC;PRO;REFL 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;FEM;GEN;PL;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ADV ADJ;FEM;GEN;PL;POS ADP;INS INS;N;NEUT;POS;SG FEM;GEN;N;POS;SG DET;FEM;GEN;SG FEM;GEN;N;POS;SG _
obdobně postupují účetní jednotky i při přechodu z hospodářského roku na kalendářní rok .	obdobně postupovat účetní jednotka i při přechod z hospodářský rok na kalendářní rok .	ADV;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS CONJ ADP;ESS ESS;INAN;MASC;N;POS;SG ADP;GEN ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ACC;ADP ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG _
část třetí	část třetí	FEM;N;NOM;POS;SG ADJ;FEM;NOM;SG
každá úprava informací za minulé účetní období , popřípadě ponechání nesrovnatelných informací se odůvodní v příloze .	každý úprava informace za minulý účetní období , popřípadě ponechání srovnatelný informace se odůvodnit v příloha .	DET;FEM;NOM;POS;SG FEM;N;NOM;POS;SG FEM;GEN;N;PL;POS ACC;ADP ACC;ADJ;NEUT;POS;SG ACC;ADJ;NEUT;POS;SG ACC;N;NEUT;POS;SG _ ADV N;NEUT;NOM;POS;SG ADJ;FEM;GEN;NEG;PL FEM;GEN;N;PL;POS ACC;PRO;REFL 3;ACT;FIN;IND;POS;PRS;SG;V ADP;ESS ESS;FEM;N;POS;SG _
§_9	§_9	_
2 . použití ustanovení §_6_odst._3_písm._d)_a_§_7_odst._10_vyhlášky_č._500/2002_sb. , ve znění účinném ode dne nabytí účinnosti této vyhlášky , pro odpisování položek " b.i.5._goodwill " a " b.ii.9._oceňovací_rozdíl_k_nabytému_majetku " vykazovaných do doby účinnosti této vyhlášky , se nepovažuje za porušení požadavku rovnoměrného odpisování .	2 . použití ustanovení §_6_odst._3_písm._d)_a_§_7_odst._10_vyhlášky_č._500/2002_sb. , v znění účinný od den nabytí účinnost tento vyhláška , pro odpisování položka " "b.i.5._goodwill" " a " "b.ii.9._oceňovací_rozdíl_k_nabytému_majetku" " vykazovaný do doba účinnost tento vyhláška , se považovat za porušení požadavek rovnoměrný odpisování .	NUM _ N;NEUT;NOM;POS;SG GEN;N;NEUT;POS;SG _ _ ADP;ESS ESS;N;NEUT;POS;SG ADJ;ESS;NEUT;POS;SG ADP;GEN GEN;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG FEM;GEN;N;POS;SG DET;FEM;GEN;SG FEM;GEN;N;POS;SG _ ACC;ADP ACC;N;NEUT;POS;SG FEM;GEN;N;PL;POS _ _ _ CONJ _ _ _ ADJ;ESS;INAN;MASC;PL;POS ADP;GEN FEM;GEN;N;POS;SG FEM;GEN;N;POS;SG DET;FEM;GEN;SG FEM;GEN;N;POS;SG _ ACC;PRO;REFL 3;ACT;FIN;IND;NEG;PRS;SG;V ACC;ADP ACC;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _
(1) účetní zápisy jsou účetní záznamy , jejichž obsah je určen ustanoveními tohoto zákona , která se týkají účetních knih .	(1) účetní zápis být účetní záznam , jenž obsah být určený ustanovení tento zákon , který se týkat účetní kniha .	_ ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS _ 3;DET;PSSP INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;MASC;PASS;POS;SG;V.PTCP INS;N;NEUT;PL;POS DET;GEN;SG;{MASC/NEUT} GEN;INAN;MASC;N;POS;SG _ DET;NEUT;NOM;PL ACC;PRO;REFL 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS _
porušením vzájemného zúčtování nejsou případy upravené účetními metodami .	porušení vzájemný zúčtování být případ upravený účetní metoda .	DAT;N;NEUT;PL;POS ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG 3;ACT;FIN;IND;NEG;PL;PRS;V INAN;MASC;N;NOM;PL;POS ADJ;INAN;MASC;NOM;PL;POS ADJ;FEM;INS;PL;POS FEM;INS;N;PL;POS _
rozvahový den	rozvahový den	ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG
(3) položka " b.ii.3._samostatné_movité_věci_a_soubory_movitých_věcí " obsahuje a) předměty z drahých kovů bez ohledu na výši ocenění , b) samostatné movité věci a soubory movitých věcí se samostatným technicko-ekonomickým určením s dobou použitelnosti delší než jeden rok a od výše ocenění určené účetní jednotkou , a to při splnění povinností stanovených zákonem , zejména respektováním principu významnosti a věrného a poctivého zobrazení majetku .	(3) položka " "b.ii.3._samostatné_movité_věci_a_soubory_movitých_věcí" " obsahovat a) předmět z drahý kov bez ohled na výše ocenění , b) samostatný movitý věc a soubor movitý věc s samostatný technicko-ekonomickým určení s doba použitelnost delšit než jeden rok a od výše ocenění určený účetní jednotka , a ten při splnění povinnost stanovený zákon , zejména respektování princip významnost a věrný a poctivý zobrazení majetek .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V _ INAN;MASC;N;NOM;PL;POS ADP;GEN ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG ACC;ADP ACC;FEM;N;POS;SG GEN;N;NEUT;POS;SG _ _ ADJ;FEM;NOM;PL;POS ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS CONJ INAN;MASC;N;NOM;PL;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ADP;INS ADJ;INS;NEUT;POS;SG _ INS;N;NEUT;POS;SG ADP;INS FEM;INS;N;POS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ ACC;INAN;MASC;NUM;SG ACC;INAN;MASC;N;POS;SG CONJ ADP;GEN FEM;GEN;N;POS;SG GEN;N;NEUT;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG FEM;INS;N;POS;SG _ CONJ DET;NEUT;NOM;SG ADP;ESS ESS;N;NEUT;POS;SG FEM;GEN;N;PL;POS ADJ;FEM;GEN;PL;POS INAN;INS;MASC;N;POS;SG _ ADV INS;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG CONJ ADJ;GEN;NEUT;POS;SG CONJ ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG _
§_7	§_7	_
(1) položka " b.i._dlouhodobý_nehmotný_majetek " obsahuje zejména zřizovací výdaje , nehmotné výsledky výzkumu a vývoje , software , ocenitelná práva a goodwill s dobou použitelnosti delší než jeden rok a od výše ocenění určené účetní jednotkou , s výjimkou goodwillu , a při splnění podmínek dále stanovených a při splnění povinností stanovených zákonem , zejména respektováním principu významnosti a věrného a poctivého zobrazení majetku .	(1) položka " "b.i._dlouhodobý_nehmotný_majetek" " obsahovat zejména zřizovací výdaj , hmotný výsledek výzkum a vývoj , software , ocenitelný právo a goodwill s doba použitelnost delšit než jeden rok a od výše ocenění určený účetní jednotka , s výjimka goodwill , a při splnění podmínka dále stanovený a při splnění povinnost stanovený zákon , zejména respektování princip významnost a věrný a poctivý zobrazení majetek .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ADV ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS _ ACC;ADJ;INAN;MASC;NEG;PL ACC;INAN;MASC;N;PL;POS GEN;INAN;MASC;N;POS;SG CONJ GEN;INAN;MASC;N;POS;SG _ ACC;INAN;MASC;N;POS;SG _ ACC;ADJ;NEUT;PL;POS ACC;N;NEUT;PL;POS CONJ ACC;INAN;MASC;N;POS;SG ADP;INS FEM;INS;N;POS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ ACC;INAN;MASC;NUM;SG ACC;INAN;MASC;N;POS;SG CONJ ADP;GEN FEM;GEN;N;POS;SG GEN;N;NEUT;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG FEM;INS;N;POS;SG _ ADP;INS FEM;INS;N;POS;SG GEN;INAN;MASC;N;POS;SG _ CONJ ADP;ESS ESS;N;NEUT;POS;SG FEM;GEN;N;PL;POS ADV ADJ;FEM;GEN;PL;POS CONJ ADP;ESS ESS;N;NEUT;POS;SG FEM;GEN;N;PL;POS ADJ;FEM;GEN;PL;POS INAN;INS;MASC;N;POS;SG _ ADV INS;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG CONJ ADJ;GEN;NEUT;POS;SG CONJ ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG _
(9) o dlouhodobém nehmotném a hmotném majetku účtuje a odpisuje jej nájemce , pokud je oprávněn o tomto majetku účtovat a odpisovat jej na základě smlouvy o nájmu podniku nebo jeho části .	(9) o dlouhodobý hmotný a hmotný majetek účtovat a odpisovat on nájemce , pokud být oprávněný o tento majetek účtovat a odpisovat on na základ smlouva o nájem podnik nebo jeho část .	_ ADP;ESS ADJ;ESS;NEUT;POS;SG ADJ;ESS;NEG;NEUT;SG CONJ ADJ;ESS;INAN;MASC;POS;SG ESS;INAN;MASC;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ 3;ACT;FIN;IND;POS;PRS;SG;V 3;ACC;PRO;SG;{MASC/NEUT} ANIM;MASC;N;NOM;POS;SG _ CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;MASC;PASS;POS;SG;V.PTCP ADP;ESS DET;ESS;SG;{MASC/NEUT} ESS;INAN;MASC;N;POS;SG NFIN;POS;V CONJ NFIN;POS;V 3;ACC;PRO;SG;{MASC/NEUT} ADP;ESS ESS;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG ADP;ESS ESS;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG CONJ 3;DET;PSSS FEM;GEN;N;POS;SG _
(1) položka " b.i._rezervy " obsahuje rezervy podle zvláštních právních předpisů , rezervu na důchody a podobné závazky , rezervu na daň z příjmů a ostatní rezervy .	(1) položka " "b.i._rezervy" " obsahovat rezerva podle zvláštní právní předpis , rezerva na důchod a podobný závazek , rezerva na daň z příjem a ostatní rezerva .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;FEM;N;PL;POS ADP;GEN ADJ;GEN;INAN;MASC;PL;POS ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS _ ACC;FEM;N;POS;SG ACC;ADP ACC;INAN;MASC;N;PL;POS CONJ ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS _ ACC;FEM;N;POS;SG ACC;ADP ACC;FEM;N;POS;SG ADP;GEN GEN;INAN;MASC;N;PL;POS CONJ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS _
s ohledem na významnost a věrný a poctivý obraz předmětu účetnictví a finanční situace účetní jednotky může účetní jednotka při odpisování majetku zohlednit předpokládanou zbytkovou hodnotu .	s ohled na významnost a věrný a poctivý obraz předmět účetnictví a finanční situace účetní jednotka moci účetní jednotka při odpisování majetek zohlednit předpokládaný zbytkový hodnota .	ADP;INS INAN;INS;MASC;N;POS;SG ACC;ADP ACC;FEM;N;POS;SG CONJ ACC;ADJ;INAN;MASC;POS;SG CONJ ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG CONJ ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ADP;ESS ESS;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG NFIN;POS;V ACC;ADJ;FEM;POS;SG ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG _
zřizovacími výdaji nejsou zejména výdaje na pořízení dlouhodobého majetku a zásob , na reprezentaci nebo výdaje související s přeměnou společnosti nebo družstva , b) nehmotnými výsledky výzkumu a vývoje a software takové výsledky a software , které jsou buď vytvořeny vlastní činností k obchodování s nimi a nebo nabyty od jiných osob , c) ocenitelnými právy zejména předměty průmyslového a obdobného vlastnictví , výsledky duševní tvůrčí činnosti a práva podle zvláštních právních předpisů za podmínek stanovených v písmenu b) , d) goodwillem pro účely této vyhlášky kladný nebo záporný rozdíl mezi oceněním podniku , nebo jeho části ve smyslu obchodního zákoníku , nabytého zejména koupí , vkladem nebo oceněním majetku a závazků v rámci přeměn společnosti a souhrnem jeho individuálně přeceněných složek majetku sníženým o převzaté závazky .	zřizovací výdaj být zejména výdaj na pořízení dlouhodobý majetek a zásoba , na reprezentace nebo výdaj související s přeměna společnost nebo družstvo , b) hmotný výsledek výzkum a vývoj a software takový výsledek a software , který být buď vytvořený vlastní činnost k obchodování s on a nebo nabytý od jiný osoba , c) ocenitelný právo zejména předmět průmyslový a obdobný vlastnictví , výsledek duševní tvůrčí činnost a právo podle zvláštní právní předpis za podmínka stanovený v písmeno b) , d) goodwill pro účel tento vyhláška kladný nebo záporný rozdíl mezi ocenění podnik , nebo jeho část v smysl obchodní zákoník , nabytý zejména koupit , vklad nebo ocenění majetek a závazek v rámec přeměna společnost a souhrn jeho individuálně přeceněný složka majetek snížený o převzatý závazek .	ADJ;INAN;INS;MASC;PL;POS INAN;INS;MASC;N;PL;POS 3;ACT;FIN;IND;NEG;PL;PRS;V ADV INAN;MASC;N;NOM;PL;POS ACC;ADP ACC;N;NEUT;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG CONJ FEM;GEN;N;PL;POS _ ADP;ESS ESS;FEM;N;POS;SG CONJ INAN;MASC;N;NOM;PL;POS ACT;ADJ;INAN;IPFV;MASC;NOM;PL;POS;PRS;V.PTCP ADP;INS FEM;INS;N;POS;SG FEM;GEN;N;POS;SG CONJ GEN;N;NEUT;POS;SG _ _ ADJ;INAN;INS;MASC;NEG;PL INAN;INS;MASC;N;PL;POS GEN;INAN;MASC;N;POS;SG CONJ GEN;INAN;MASC;N;POS;SG CONJ GEN;INAN;MASC;N;POS;SG DET;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL;POS CONJ INAN;MASC;N;NOM;POS;SG _ DET;FEM;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V CONJ ADJ;INAN;PASS;PL;POS;V.PTCP;{FEM/MASC} ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG ADP;DAT DAT;N;NEUT;POS;SG ADP;INS 3;INS;PL;PRO CONJ CONJ ADJ;INAN;PASS;PL;POS;V.PTCP;{FEM/MASC} ADP;GEN ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS _ _ ADJ;INS;NEUT;PL;POS INS;N;NEUT;PL;POS ADV INAN;MASC;N;NOM;PL;POS ADJ;GEN;NEUT;POS;SG CONJ ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _ INAN;MASC;N;NOM;PL;POS ADJ;FEM;GEN;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG CONJ GEN;N;NEUT;POS;SG ADP;GEN ADJ;GEN;INAN;MASC;PL;POS ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ADP;GEN FEM;GEN;N;PL;POS ADJ;FEM;GEN;PL;POS ADP;ESS ESS;N;NEUT;POS;SG _ _ _ INAN;INS;MASC;N;POS;SG ACC;ADP ACC;INAN;MASC;N;PL;POS DET;FEM;GEN;SG FEM;GEN;N;POS;SG ADJ;INAN;MASC;NOM;POS;SG CONJ ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ADP;INS INS;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG _ CONJ 3;DET;PSSS ACC;FEM;N;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _ ADJ;GEN;INAN;MASC;POS;SG ADV 3;ACT;FIN;IND;POS;PRS;SG;V _ INAN;INS;MASC;N;POS;SG CONJ INS;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG CONJ GEN;INAN;MASC;N;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG FEM;GEN;N;PL;POS FEM;GEN;N;POS;SG CONJ INAN;INS;MASC;N;POS;SG 3;DET;PSSS ADV;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS GEN;INAN;MASC;N;POS;SG ADJ;INAN;INS;MASC;POS;SG ACC;ADP ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS _
(5) v případě dlouhodobého nehmotného a hmotného majetku v podílovém spoluvlastnictví odpisuje každý spoluvlastník svůj vlastnický podíl .	(5) v případ dlouhodobý hmotný a hmotný majetek v podílový spoluvlastnictví odpisovat každý spoluvlastník svůj vlastnický podíl .	_ ADP;ESS ESS;INAN;MASC;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG ADJ;GEN;INAN;MASC;NEG;SG CONJ ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ADP;ESS ADJ;ESS;NEUT;POS;SG ESS;N;NEUT;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ANIM;DET;MASC;NOM;POS;SG ANIM;MASC;N;NOM;POS;SG ACC;DET;INAN;MASC;REFL;SG ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG _
rozvahu jako zahajovací sestavují účetní jednotky v případech uvedených v §_17_odst._1 s výjimkou k prvnímu dni účetního období .	rozvaha jako zahajovací sestavovat účetní jednotka v případ uvedený v §_17_odst._1 s výjimka k první den účetní období .	ACC;FEM;N;POS;SG CONJ ADJ;FEM;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS ADP;ESS ESS;INAN;MASC;N;PL;POS ADJ;ESS;INAN;MASC;PL;POS ADP;ESS _ ADP;INS FEM;INS;N;POS;SG ADP;DAT ADJ;ANIM;DAT;MASC;SG DAT;INAN;MASC;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _
ostatní ustanovení o účetních knihách	ostatní ustanovení o účetní kniha	ADJ;NEUT;NOM;POS;SG N;NEUT;NOM;POS;SG ADP;ESS ADJ;ESS;FEM;PL;POS ESS;FEM;N;PL;POS
metoda odložené daně	metoda odložený daň	FEM;N;NOM;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG
(8) v případech , kdy to vyžadují právní předpisy , mohou účetní jednotky poskytnout účetní záznamy nesoucí informace uspořádané podle oborů ( druhů ) činnosti nebo podle zeměpisných oblastí , ve kterých provozují svou činnost .	(8) v případ , kdy ten vyžadovat právní předpis , moci účetní jednotka poskytnout účetní záznam nesoucí informace uspořádaný podle obor ( druh ) činnost nebo podle zeměpisný oblast , v který provozovat svůj činnost .	_ ADP;ESS ESS;INAN;MASC;N;PL;POS _ ADV ACC;DET;NEUT;SG 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS _ 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS NFIN;POS;V ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS ACC;ACT;ADJ;INAN;IPFV;MASC;PL;POS;PRS;V.PTCP ACC;FEM;N;PL;POS ACC;ADJ;FEM;PL;POS ADP;GEN GEN;INAN;MASC;N;PL;POS _ GEN;INAN;MASC;N;PL;POS _ FEM;GEN;N;POS;SG CONJ ADP;GEN ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS _ ADP;ESS DET;ESS;PL 3;ACT;FIN;IND;PL;POS;PRS;V ACC;DET;FEM;REFL;SG ACC;FEM;N;POS;SG _
podpisový záznam podle písmene f) může být společný pro více účetních dokladů .	podpisový záznam podle písmeno f) moci být společný pro hodně účetní doklad .	ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ADP;GEN GEN;N;NEUT;POS;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V NFIN;POS;V ADJ;INAN;MASC;NOM;POS;SG ACC;ADP ADV;CMPR;POS ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS _
§_62	§_62	_
2 . ustanovení čl._i_bodu_4 se použije již v účetní závěrce sestavované ke dni 31 . prosince 2008 .	2 . ustanovení čl._i_bodu_4 se použít již v účetní závěrka sestavovaný k den 31 . prosinec 2008 .	NUM _ N;NEUT;NOM;POS;SG _ ACC;PRO;REFL 3;ACT;FIN;IND;POS;PRS;SG;V ADV ADP;ESS ADJ;ESS;FEM;POS;SG ESS;FEM;N;POS;SG ADJ;ESS;FEM;POS;SG ADP;DAT DAT;INAN;MASC;N;POS;SG NUM _ GEN;INAN;MASC;N;POS;SG NUM _
(1) o odložené dani účtují a vykazují ji účetní jednotky , které tvoří konsolidační celek , a účetní jednotky , které sestavují účetní závěrku v plném rozsahu ( §_18_odst._3_zákona ) .	(1) o odložený daň účtovat a vykazovat on účetní jednotka , který tvořit konsolidační celek , a účetní jednotka , který sestavovat účetní závěrka v plný rozsah ( §_18_odst._3_zákona ) .	_ ADP;ESS ADJ;ESS;FEM;POS;SG ESS;FEM;N;POS;SG 3;ACT;FIN;IND;PL;POS;PRS;V CONJ 3;ACT;FIN;IND;PL;POS;PRS;V 3;ACC;FEM;PRO;SG ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS _ DET;FEM;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG _ CONJ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS _ DET;FEM;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG ADP;ESS ADJ;ESS;INAN;MASC;POS;SG ESS;INAN;MASC;N;POS;SG _ _ _ _
