eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
komzet e vez kembraeg e kembre , gant war-dro 611 000 den ( da lavaret eo tremen 22% eus tud ar vro ) .	komz e bezañ kembraeg e kembre , gant war-dro 611 000 den ( da lavaret bezañ tremen 22 eus den an bro ) .	PST;V;V.PTCP PART 3;FIN;HAB;PRS;SG;V MASC;N;SG ADP PROPN;SG _ ADP ADV _ NUM;PL MASC;N;SG _ ADP PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP NUM;PL ADP MASC;N;PL DET FEM;N;SG _ _
hag anavezout a rit an abadenn " mil dremm " a vez kinniget bep sizhun war tv breizh ?	ha anavezout a ober an abadenn " mil dremm " a bezañ kinnig bep sizhun war tv breizh ?	CONJ NFIN;V PART 2;FIN;IND;PL;PRS;V DET FEM;N;SG _ MASC;N;SG FEM;N;SG _ PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP DET;SG FEM;N;SG ADP _ PROPN;SG _
en em c'houlenn a ran .	en em goulenn a ober .	_ PART;REFL NFIN;V PART 1;FIN;IND;PRS;SG;V _
an ti -se n' odeus ket gwelet ar wazed .	an ti se ne kaout ket gwelout an gwaz .	DET MASC;N;SG ADV ADV;NEG 3;FIN;IND;PL;PRS;V ADV PST;V;V.PTCP DET MASC;N;PL _
yann a rae stamm , mari a laboure .	yann a ober stamm , mari a labourat .	MASC;PROPN;SG PART 3;FIN;IND;PST;SG;V MASC;N;SG _ FEM;PROPN;SG PART 3;FIN;IND;PST;SG;V _
savet ezeus bet ur c'houlennaoueg gant tud divskouarn eta , a-benn gouzout " piv , petra ha penaos " e-keñver ar c'hinnig brezhoneg d ar bugaligoù er r vro .	sevel bezañ bezañ un goulennaoueg gant den divskouarn eta , a-benn gouzout " piv , petra ha penaos " e-keñver an kinnig brezhoneg da an bugelig e an bro .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG ADP MASC;N;PL PROPN;SG ADV _ ADP NFIN;V _ PRO _ PRO CONJ ADV _ ADP DET MASC;N;SG MASC;N;SG ADP DET MASC;N;PL ADP DET FEM;N;SG _
an den ma gomzer dioutañ _ a zo amañ .	an den ma komz diouzh indirect a bezañ amañ .	DET MASC;N;SG CONJ FIN;IND;PRS;V ADP 3;ACC;MASC;PRO;SG PART 3;FIN;IND;PRS;SG;V ADV _
al laboused a nijo .	an labous a nijal .	DET MASC;N;PL PART 3;FIN;FUT;IND;SG;V _
divi a oa o naetaat e gambrig-kousket gant evezh .	divi a bezañ o naetaat e kambrig-kousket gant evezh .	MASC;PROPN;SG PART 3;FIN;IND;PST;SG;V PART NFIN;V DET;PSS FEM;N;SG ADP MASC;N;SG _
gouestlet eo an darn vrasañ eus e oberenn d an engravañ .	gouestlañ bezañ an darn bras eus e oberenn da an engravañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADJ;RL ADP DET;PSS FEM;N;SG ADP DET MASC;N;SG _
un den a-bouez eo bet en n istor ha sevenadur portugalek .	un den a-bouez bezañ bezañ e an istor ha sevenadur portugalek .	DET MASC;N;SG ADJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET MASC;N;SG CONJ MASC;N;SG ADJ _
dihunet out bremañ , ma breizh !	dihuniñ bezañ bremañ , ma breizh !	PST;V;V.PTCP 2;FIN;IND;PRS;SG;V ADV _ DET PROPN;SG _
ar vugale en em vag .	an bugel en em magañ .	DET MASC;N;PL _ PART;REFL 3;FIN;IND;PRS;SG;V _
o naetaat anezhi e oa divi gant evezh .	o naetaat direct e bezañ divi gant evezh .	PART NFIN;V 3;ACC;FEM;PRO;SG PART 3;FIN;IND;PST;SG;V MASC;PROPN;SG ADP MASC;N;SG _
debriñ endeus graet yann e voued er r wetur .	debriñ kaout ober yann e boued e an gwetur .	NFIN;V 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP MASC;PROPN;SG DET;PSS MASC;N;SG ADP DET FEM;N;SG _
ar brezelioù hag o heuliadoù .	an brezel ha o heuliad .	DET MASC;N;PL CONJ DET MASC;N;PL _
met n' eo ket sioul pep tra er r palez .	met ne bezañ ket sioul pep tra e an palez .	CONJ ADV;NEG 3;FIN;IND;PRS;SG;V ADV ADJ _ PRO;SG ADP DET MASC;N;SG _
un deiz ha tregont zo ennañ nnañ , unan eus ar mizioù hirañ eo eta .	un deiz ha tregont bezañ e indirect , unan eus an miz hir bezañ eta .	DET MASC;N;SG CONJ NUM;PL 3;FIN;IND;PRS;SG;V ADP 3;ACC;MASC;PRO;SG _ NUM;SG ADP DET MASC;N;PL ADJ;RL 3;FIN;IND;PRS;SG;V ADV _
betek an 8 even e vo kinniget " chanterioù " er r c'harter e kemper .	betek an 8 mezheven e bezañ kinnig " chanter " e an karter e kemper .	ADP DET NUM;PL MASC;N PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP _ MASC;N;PL _ ADP DET MASC;N;SG ADP PROPN;SG _
lennet e oa al levr gant lenaig .	lenn e bezañ an levr gant lenaig .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V DET MASC;N;SG ADP FEM;PROPN;SG _
ar c’hinnig kelenn divyezhek e 2007 / 2008	an kinnig kelenn divyezhek e 2007 / 2008	DET MASC;N;SG MASC;N;SG ADJ ADP NUM;PL _ NUM;PL
ag ar mammennoù d ar c'hogoù	a an mammenn da an kog	ADP DET FEM;N;PL ADP DET MASC;N;PL
gant ofis ar brezhoneg eo bet troet al levr -mañ	gant ofis ar brezhoneg bezañ bezañ treiñ an levr mañ	ADP _ _ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET MASC;N;SG ADV
peurrest ar skipailhoù a seblant pell a-walc'h eus al live avat .	peurrest an skipailh a seblantout pell a-walc’h eus an live avat .	MASC;N;SG DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADJ ADV ADP DET MASC;N;SG ADV _
fur eo ar merc'hed .	fur bezañ an merc’h .	ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;PL _
sebastian zo un anv-badez brezhonek a orin gresianek .	sebastian bezañ un anv-badez brezhonek a orin gresianek .	MASC;PROPN;SG 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADJ ADP MASC;N;SG ADJ _
dre an darvoudoù .	dre an darvoud .	ADP DET MASC;N;PL _
meur a bred a ra an den bemdez .	meur a pred a ober an den bemdez .	_ DET;PL MASC;N;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADV _
ar merc'hed a zo fur .	an merc’h a bezañ fur .	DET FEM;N;PL PART 3;FIN;IND;PRS;SG;V ADJ _
va zud ne ouzont ket .	ma den ne gouzout ket .	DET MASC;N;PL ADV;NEG 3;FIN;IND;PL;PRS;V ADV _
me en em walc'h .	prpers en em gwalc’hañ .	1;NOM;PRO;SG _ PART;REFL 3;FIN;IND;PRS;SG;V _
gant an teatr hag an dañs e teu an nen da vezañ danvez e arz .	gant an teatr ha an dañs e dont an den da bezañ danvez e arz .	ADP DET MASC;N;SG CONJ DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP NFIN;V MASC;N;SG DET;PSS MASC;N;SG _
e-pad 20 munutenn e oa roazhon ar skipailh nemetañ añ war ar renk evit kib europa ar gampioned .	e-pad 20 munutenn e bezañ roazhon an skipailh nemet indirect war an renk evit kib europa an kampion .	ADP NUM;PL FEM;N;SG PART 3;FIN;IND;PST;SG;V PROPN;SG DET MASC;N;SG ADP 3;ACC;MASC;PRO;SG ADP DET FEM;N;SG ADP FEM;N;SG PROPN;SG DET MASC;N;PL _
ne lavaras ket an den pelec'h e klevas an istor .	ne lavarout ket an den pelec’h e klevet an istor .	ADV;NEG 3;FIN;PST;SG;V ADV DET MASC;N;SG ADV PART 3;FIN;PST;SG;V DET MASC;N;SG _
gwelout e vignonez a ra yann .	gwelout e mignon a ober yann .	NFIN;V DET;PSS FEM;N;SG PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _
ul levr a zibab yann .	un levr a dibab yann .	DET MASC;N;SG PART NFIN;V MASC;PROPN;SG _
yannig a vo pesketaer a-hed e vuhez .	yannig a bezañ pesketaer a-hed e buhez .	MASC;PROPN;SG PART 3;FIN;FUT;IND;SG;V MASC;N;SG ADP DET;PSS FEM;N;SG _
katalog menegerioù lodenn ar rannvro atebek a oa bet kinniget da-geñver ar memes dalc'h .	katalog meneger lodenn an rannvro atebek a bezañ bezañ kinnig da-geñver an memes dalc’h .	MASC;N;SG MASC;N;PL FEM;N;SG DET FEM;N;SG ADJ PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP DET ADJ MASC;N;SG _
aet on d o gwelout .	mont bezañ da direct gwelout .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO NFIN;V _
setu al levr a blij din _ .	setu an levr a plijout da indirect .	ADV DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADP 1;ACC;PRO;SG _
bihan eo an ti .	bihan bezañ an ti .	ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
emañ ar vugale ' tiskenn .	bezañ an bugel o diskenn .	3;FIN;IND;PRS;SG;V DET MASC;N;PL PART NFIN;V _
en _ ti e viot ?	e an ti e bezañ ?	ADP DET MASC;N;SG PART 2;FIN;FUT;IND;PL;V _
gouzout a rez pelec'h emañ .	gouzout a ober pelec’h bezañ .	NFIN;V PART 2;FIN;IND;PRS;SG;V ADV 3;FIN;IND;PRS;SG;V _
poent eo debriñ .	poent bezañ debriñ .	MASC;N;SG 3;FIN;IND;PRS;SG;V NFIN;V _
perak eo mat ?	perak bezañ mat ?	ADV 3;FIN;IND;PRS;SG;V ADJ _
me a yelo d ar pardon .	prpers a mont da an pardon .	1;NOM;PRO;SG PART 3;FIN;FUT;IND;SG;V ADP DET MASC;N;SG _
framm dave an diorren padus e breizh	framm dave an diorren padus e breizh	MASC;N;SG MASC;N;SG DET MASC;N;SG ADJ ADP PROPN;SG
emañ ar ps o vont da sevel klemm dirak al lezenn , hervezañ añ n' eo ket diouzh al lezenn ober seurt traoù .	bezañ an ps o mont da sevel klemm dirak an lezenn , hervez indirect ne bezañ ket diouzh an lezenn ober seurt tra .	3;FIN;IND;PRS;SG;V DET MASC;N;SG PART NFIN;V ADP NFIN;V MASC;N;SG ADP DET FEM;N;SG _ ADP 3;ACC;MASC;PRO;SG ADV;NEG 3;FIN;IND;PRS;SG;V ADV ADP DET FEM;N;SG NFIN;V MASC;N;SG MASC;N;PL _
int a zeuy pe a yay .	prpers a dont pe a mont .	3;NOM;PL;PRO PART 3;FIN;FUT;IND;SG;V CONJ PART 3;FIN;FUT;IND;SG;V _
galvet e vo ar poloù kevezusted , an embregerezhioù , ar poellgorioù rannvro , ar c'hreizennoù skiantel , an ensavadurioù enklask hag an obererien sevenadurel dave , da ziskouez o skiant-prenet war an tachennoù -se .	gelver e bezañ an pol kevezusted , an embregerezh , an poellgor rannvro , an kreizenn skiantel , an ensavadur enklask ha an oberer sevenadurel dave , da diskouez o skiant-prenet war an tachenn se .	PST;V;V.PTCP PART 3;FIN;FUT;IND;SG;V DET MASC;N;PL FEM;N;SG _ DET MASC;N;PL _ DET MASC;N;PL FEM;N;SG _ DET FEM;N;PL ADJ _ DET MASC;N;PL MASC;N;SG CONJ DET MASC;N;PL ADJ MASC;N;SG _ ADP NFIN;V DET FEM;N;SG ADP DET FEM;N;PL ADV _
yann endeus lennet al levr .	yann kaout lenn an levr .	MASC;PROPN;SG 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG _
en _ teuliad e vez kinniget ur pennad diwar-benn stad an dachenn douar , arouezius eus an dizemglev padus etre israeliz ha palestiniz .	e an teuliad e bezañ kinnig un pennad diwar-benn stad an tachenn douar , arouezius eus an dizemglev padus etre israelad ha palestinad .	ADP DET MASC;N;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG ADP FEM;N;SG DET FEM;N;SG MASC;N;SG _ ADJ ADP DET MASC;N;SG ADJ ADP MASC;N;PL CONJ MASC;N;PL _
yannig a zo bet labourer-douar e-pad daou vloaz .	yannig a bezañ bezañ labourer-douar e-pad daou bloaz .	MASC;PROPN;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP MASC;N;SG ADP MASC;NUM;PL MASC;N;SG _
en euskadi , okitania , korsika ... e vo kinniget obererezhioù tro-dro d' an darvoud -mañ en holl yezhoù .	e euskadi , okitania , korsika ... e bezañ kinnig obererezh tro-dro da an darvoud mañ en holl yezh .	ADP PROPN;SG _ PROPN;SG _ PROPN;SG _ PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP MASC;N;PL _ ADP DET MASC;N;SG ADV ADP DET FEM;N;PL _
e pariz ne gavo ho preudeur a labour .	e pariz ne kavout ho breur a labour .	ADP PROPN;SG ADV;NEG 3;FIN;FUT;IND;SG;V DET MASC;N;PL ADP MASC;N;SG _
gant ofis ar brezhoneg eo bet troet al levr -mañ .	gant ofis ar brezhoneg bezañ bezañ treiñ an levr mañ .	ADP _ _ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET MASC;N;SG ADV _
e 1952 e oa daet da vout ezel ag ar gevredigezh liesdiskiblezh .	e 1952 e bezañ dont da bezañ ezel a an kevredigezh liesdiskiblezh .	ADP NUM;PL PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NFIN;V MASC;N;SG ADP DET FEM;N;SG ADJ _
daou zor a zo war an ti -se .	daou dor a bezañ war an ti se .	MASC;NUM;PL FEM;N;SG PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG ADV _
c’hwitellat a ra en ur labourat .	c’hwitellat a ober en ur labourat .	NFIN;V PART 3;FIN;IND;PRS;SG;V _ PART NFIN;V _
ne ziskenn ket ar vugale betek an hent .	ne diskenn ket an bugel betek an hent .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV DET MASC;N;PL ADP DET MASC;N;SG _
ur sinadeg a zo bet kinniget zoken evit ma vefe paouezet d' ober ganto o .	un sinadeg a bezañ bezañ kinnig zoken evit ma bezañ paouez da ober gant indirect .	DET FEM;N;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADV _ CONJ 3;COND;SG;V PST;V;V.PTCP ADP NFIN;V ADP 3;ACC;PL;PRO _
fall eo ganti i .	fall bezañ gant indirect .	ADJ 3;FIN;IND;PRS;SG;V ADP 3;ACC;FEM;PRO;SG _
ne lenn ket an dud -se .	ne lenn ket an den se .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV DET MASC;N;PL ADV _
sinet e oa bet ur c’hendivizad palioù ha danvezioù etre ar stad , france 3 ha strollegezh korsika evit krouiñ ar chadenn e miz ebrel 2006 .	sinañ e bezañ bezañ un kendivizad pal ha danvez etre an stad , france 3 ha strollegezh korsika evit krouiñ an chadenn e miz ebrel 2006 .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP DET MASC;N;SG MASC;N;PL CONJ MASC;N;PL ADP DET FEM;N;SG _ PROPN;SG NUM;PL CONJ FEM;N;SG PROPN;SG ADP NFIN;V DET FEM;N;SG ADP _ MASC;N NUM;PL _
bras eo bet e levezon war an emsav sevenadurel .	bras bezañ bezañ e levezon war an emsav sevenadurel .	ADJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;PSS FEM;N;SG ADP DET MASC;N;SG ADJ _
kavet emeus bet al levr .	kavout kaout kaout an levr .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG _
ur werz ( liester : " gwerzioù " ) a zo ur ganaouenn e brezhoneg hag a gont un istor .	un gwerz ( liester : " gwerz " ) a bezañ un kanaouenn e brezhoneg ha a kontañ un istor .	DET FEM;N;SG _ MASC;N;SG _ _ FEM;N;PL _ _ PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADP MASC;N;SG CONJ PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
an dud a labour ganeoc h a vo souezhet ha plijet gant hoc'h emzalc'h .	an den a labourat gant indirect a bezañ souezhet ha plijet gant ho emzalc’h .	DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADP 2;ACC;PL;PRO PART 3;FIN;FUT;IND;SG;V ADJ CONJ ADJ ADP DET MASC;N;SG _
kerzhout ameus graet .	kerzhout kaout ober .	NFIN;V 1;FIN;IND;PRS;SG;V PST;V;V.PTCP _
ouzhpennit div loaiad vras a sukr rouz .	ouzhpennañ daou loaiad bras a sukr rouz .	2;PL;V FEM;NUM;PL FEM;N;SG ADJ ADP MASC;N;SG MASC;N;SG _
en em gavout a ra eno gant e gamaladed skol met ivez gant izili eus e familh , deuet eus pell .	en em kavout a ober eno gant e kamalad skol met ivez gant ezel eus e familh , dont eus pell .	_ PART;REFL NFIN;V PART 3;FIN;IND;PRS;SG;V ADV ADP DET;PSS MASC;N;PL FEM;N;SG CONJ ADV ADP MASC;N;PL ADP DET;PSS FEM;N;SG _ PST;V;V.PTCP ADP ADV _
kresket eo an dud en hon ti .	kreskiñ bezañ an den e hon ti .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;PL ADP DET MASC;N;SG _
me ameus kanet .	prpers kaout kanañ .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V PST;V;V.PTCP _
al lugan zo " lakaomp hor sevenadur da vleuniañ er r vro " .	an lugan bezañ " lakaat hon sevenadur da bleuniañ e an bro " .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V _ 1;FIN;IND;PL;PRS;V DET MASC;N;SG ADP NFIN;V ADP DET FEM;N;SG _ _
me a gomz gant ma amezeg .	me a komz gant ma amezeg .	1;NOM;PRO;SG PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG _
klaseloc'h e oa arpezh kinniget e kemper d ar mare -mañ .	klasel e bezañ ar pezh a kinnig e kemper da an mare mañ .	ADJ;CMPR PART 3;FIN;IND;PST;SG;V PRO;SG PST;V;V.PTCP ADP PROPN;SG ADP DET MASC;N;SG ADV _
kinnig a ra al lec'hienn deoc h un dorikell c'halloudel evit ho tifraeoù melestradurel .	kinnig a ober an lec’hienn da indirect un dorikell galloudel evit ho difrae melestradurel .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADP 2;ACC;PL;PRO DET FEM;N;SG ADJ ADP DET MASC;N;PL ADJ _
londrez eo kêr-benn bro-saoz .	londrez bezañ kêr-penn bro-saoz .	PROPN;SG 3;FIN;IND;PRS;SG;V FEM;N;SG PROPN;SG _
heuliet e oa bet pizh kresk ar vugale e-touez gorilhed ar menezioù .	heuliañ e bezañ bezañ pizh kresk an bugel e-touez gorilh an menez .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADV MASC;N;SG DET MASC;N;PL ADP MASC;N;PL DET MASC;N;PL _
me a ganfe .	prpers a kanañ .	1;NOM;PRO;SG PART 3;COND;SG;V _
gant strollegezhioù lec’hel ha gant bodadenn kembre e vez implijet ar c’hembraeg evel ur yezh ofisiel , oc’h embann skridoù er r yezh -se ha dleout a rafe an holl banelloùhent e kembre bezañ e kembraeg hag e saozneg .	gant strollegezh lec’hel ha gant bodadenn kembre e bezañ implijout an kembraeg evel un yezh ofisiel , o embann skrid e an yezh se ha dleout a ober an holl panell-hent e kembre bezañ e kembraeg ha e saozneg .	ADP FEM;N;PL ADJ CONJ ADP FEM;N;SG PROPN;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG ADP DET FEM;N;SG ADJ _ PART NFIN;V MASC;N;PL ADP DET FEM;N;SG ADV CONJ NFIN;V PART 3;COND;SG;V DET DET FEM;N;PL ADP PROPN;SG NFIN;V ADP MASC;N;SG CONJ ADP MASC;N;SG _
tu vo da welet labourioù luc'hskeudennerien gentañ ar vro koulz hag ur rummad skeudennoù " touristel " brudet-tre -tre e fin an 19vet kantved .	tu bezañ da gwelout labour luc’hskeudenner kentañ an bro koulz hag un rummad skeudenn " touristel " brudet tre e fin an 19vet kantved .	MASC;N;SG 3;FIN;FUT;IND;SG;V ADP NFIN;V MASC;N;PL MASC;N;PL ADJ DET FEM;N;SG _ CONJ DET MASC;N;SG FEM;N;PL _ ADJ _ ADJ ADV ADP FEM;N;SG DET NUM;PL MASC;N;SG _
me a gan .	prpers a kanañ .	1;NOM;PRO;SG PART 3;FIN;IND;PRS;SG;V _
un torkad bokedoù mar plij .	un torkad boked mar plij .	DET MASC;N;SG MASC;N;PL _ ADV _
kerzhout a ran .	kerzhout a ober .	NFIN;V PART 1;FIN;IND;PRS;SG;V _
takad testenn	takad testenn	MASC;N;SG FEM;N;SG
e 2002 e oa bet gwerzhet 15% eus an dilhad er r chadennoù bras -se .	e 2002 e bezañ bezañ gwerzhañ 15 eus an dilhad e an chadenn bras se .	ADP NUM;PL PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP NUM;PL ADP DET MASC;N;SG ADP DET FEM;N;PL ADJ ADV _
echuet eo bet tournamant ar 6 broad en n dibenn-sizhun -mañ .	echuiñ bezañ bezañ tournamant an 6 broad e an dibenn-sizhun mañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP MASC;N;SG DET NUM;PL FEM;N;SG ADP DET MASC;N;SG ADV _
ar vikinged , siwazh d ar vretoned , a aloubas stad unanet kentañ breizh e 913 .	an viking , siwazh da an breton , a aloubiñ stad unanet kentañ breizh e 913 .	DET MASC;N;PL _ ADV ADP DET MASC;N;PL _ PART 3;FIN;PST;SG;V FEM;N;SG ADJ ADJ PROPN;SG ADP NUM;PL _
lakait 40 gramm a amann da deuziñ en ur gastelodenn .	lakaat 40 gramm a amann da teuziñ e un kastelodenn .	2;PL;V NUM;PL MASC;N;SG ADP MASC;N;SG ADP NFIN;V ADP DET FEM;N;SG _
klaskit chom e peoc'h .	klask chom e peoc’h .	2;PL;V NFIN;V ADP MASC;N;SG _
ranket emboa dilezel geriaoueg voutin ar rock evit sevel ur pennad diwar-benn ar bladenn -se .	rankout kaout dilezel geriaoueg boutin an rock evit sevel un pennad diwar-benn an pladenn se .	PST;V;V.PTCP 1;FIN;IND;PST;SG;V NFIN;V FEM;N;SG ADJ DET MASC;N;SG ADP NFIN;V DET MASC;N;SG ADP DET FEM;N;SG ADV _
al labour e kavo mat .	an labour e kavout mat .	DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V ADJ _
ar voutailh a zo bet kollet gant lan .	an boutailh a bezañ bezañ koll gant lan .	DET FEM;N;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP MASC;PROPN;SG _
d ar 26 a viz gwengolo 2009 endeus resevet yann - fañch kemener urzh an erminig .	da an 26 a miz gwengolo 2009 kaout resev yann - fañch kemener urzh an erminig .	ADP DET NUM;PL ADP _ MASC;N NUM;PL 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP MASC;PROPN;SG _ MASC;PROPN;SG PROPN;SG FEM;N;SG DET MASC;N;SG _
