това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
не я пусна от прегръдката си , наклони главата й на рамото си , сълзите й намокриха ризата му , но той й зашепна :	не аз пусна-(се) от прегръдка свой , наклоня-(се) глава неин на рамо свой , сълза неин намокря-(се) риза мой , но аз аз зашепна :	NEG;PART 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADP DEF;FEM;N;SG NOM;PRO;REFL _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;FEM;N;SG 3;PRO ADP DEF;N;NEUT;SG NOM;PRO;REFL _ DEF;FEM;N;PL 3;PRO 3;ACT;FIN;IND;PFV;PL;PST;V DEF;FEM;N;SG 3;PRO _ CONJ 3;MASC;NOM;PRO;SG 3;DAT;FEM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V _
към 8.45 на " раковски " 134 пристигнаха екатерина михайлова , йордан соколов и димитър абаджиев .	към 8.45 на " раковски " 134 пристигна екатерина михайлова , йордан соколов и димитър абаджиев .	ADP INDF;NUM;PL ADP _ INDF;MASC;PROPN;SG _ INDF;NUM;PL 3;ACT;FIN;IND;PFV;PL;PST;V FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
проследяването на заподозрения довело до неговия арест .	проследяване на заподозра доведа до мой арест .	DEF;N;NEUT;SG ADP ADJ;DEF;MASC;PASS;PFV;SG;V.PTCP ACT;INDF;NEUT;PFV;PST;SG;V;V.PTCP ADP 3;DEF;DET;MASC;SG INDF;MASC;N;SG _
ще посрещнете ли дядо коледа на метростанция " сердика " ?	ще посрещна ли дядо коледа на метростанция " сердика " ?	V 2;ACT;FIN;IND;PFV;PL;PRS;V PART INDF;MASC;N;SG FEM;INDF;N;SG ADP FEM;INDF;N;SG _ FEM;INDF;PROPN;SG _ _
- каза качаманов . -	- кажа качаманов . -	_ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG _ _
нападателят се прости с лондонския тим , където се задържа само един сезон .	нападател се простя-(се) с лондонски тим , където се задържа-(се) само един сезон .	DEF;MASC;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ ADV ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADV INDF;MASC;NUM;SG INDF;MASC;N;SG _
емоции , емоции !	емоция , емоция !	FEM;INDF;N;PL _ FEM;INDF;N;PL _
на международните борси цената му достигна до 33-35 долара за барел ( 62 литра ) , което рефлектира и върху цените на течните горива у нас .	на международен борса цена мой достигна до 33-35 долар за барел ( 62 литър ) , който рефлектирам и върху цена на течен гориво у аз .	ADP ADJ;DEF;PL FEM;INDF;N;PL DEF;FEM;N;SG 3;PRO 3;ACT;FIN;IND;PFV;PST;SG;V ADP INDF;NUM;PL MASC;N ADP INDF;MASC;N;SG _ INDF;MASC;NUM;PL MASC;N _ _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V CONJ ADP DEF;FEM;N;PL ADP ADJ;DEF;PL INDF;N;NEUT;PL ADP 1;ACC;PL;PRO _
хем искаше да го провокира , хем й стана криво .	хем искам да аз провокирам , хем аз стане криво .	CONJ 3;ACT;FIN;IND;IPFV;SG;V V 3;ACC;MASC;PRO;SG 3;ACT;FIN;IND;PFV;PRS;SG;V _ CONJ 3;DAT;FEM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADV _
вчера това стори и премиерът костов .	вчера този сторя-(се) и премиер костов .	ADV NEUT;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V CONJ DEF;MASC;N;SG INDF;MASC;PROPN;SG _
инго се надява хрумването му да допадне на студентите от околностите на ливърпул .	инго се надявам-се хрумване мой да допадна на студент от околност на ливърпул .	INDF;MASC;PROPN;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG 3;PRO V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;MASC;N;PL ADP DEF;FEM;N;PL ADP INDF;MASC;PROPN;SG _
- срещата на заместник-министрите обсъди ли положението в косово и южна сърбия и вероятните заплахи ?	- среща на заместник-министър обсъдя ли положение в косово и южен сърбия и вероятен заплаха ?	_ DEF;FEM;N;SG ADP DEF;MASC;N;PL 3;ACT;FIN;IND;PFV;PST;SG;V PART DEF;N;NEUT;SG ADP INDF;NEUT;PROPN;SG CONJ ADJ;FEM;INDF;SG FEM;INDF;PROPN;SG CONJ ADJ;DEF;PL FEM;INDF;N;PL _
твърде е рано за тях , а и още не съм се настроил празнично .	твърде съм рано за аз , а и още не съм се настроя-(се) празнично .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADP 3;ACC;PL;PRO _ CONJ CONJ ADV NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;PRO;REFL ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADV _
той нямаше да каже .	аз нямам да кажа .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V _
младият инженер не издържа и се скри в машината - да провери програмата й .	млад инженер не издържа и се скрия-(се) в машина - да проверя програма неин .	ADJ;DEF;MASC;SG INDF;MASC;N;SG NEG;PART 3;ACT;FIN;IND;PFV;PST;SG;V CONJ ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP DEF;FEM;N;SG _ V 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;FEM;N;SG 3;PRO _
- забелязваме намаляване на влиянието на " гергьовден " , формацията , която имаше най-големи шансове да претендира за нова сила .	- забелязвам-(се) намаляване на влияние на " гергьовден " , формация , който имам голям шанс да претендирам за нов сила .	_ 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;N;NEUT;SG ADP DEF;N;NEUT;SG ADP _ INDF;MASC;PROPN;SG _ _ DEF;FEM;N;SG _ FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V ADJ;INDF;PL;RL INDF;MASC;N;PL V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _
те влезли в гърция през българия и пътували с кола за солун .	аз вляза в гърция през българия и пътувам с кола за солун .	3;NOM;PL;PRO ACT;INDF;PFV;PL;PST;V;V.PTCP ADP FEM;INDF;PROPN;SG ADP FEM;INDF;PROPN;SG CONJ ACT;INDF;IPFV;PL;V;V.PTCP ADP FEM;INDF;N;SG ADP INDF;MASC;PROPN;SG _
през това време шефът на нсо ген. владимиров и бодигард изкъртиха малка стълба от сцената , подпряха я на загражденията , преминаха по нея и отново заградиха президента .	през този време шеф на нсо генерал владимиров и бодигард изкъртя-(се) малък стълба от сцена , подпра-(се) аз на заграждение , премина по аз и отново заградя президент .	ADP DET;NEUT;NOM;SG INDF;N;NEUT;SG DEF;MASC;N;SG ADP FEM;INDF;PROPN;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG CONJ INDF;MASC;N;SG 3;ACT;FIN;IND;PFV;PL;PST;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V 3;ACC;FEM;PRO;SG ADP DEF;N;NEUT;PL _ 3;ACT;FIN;IND;PFV;PL;PST;V ADP 3;ACC;FEM;PRO;SG CONJ ADV 3;ACT;FIN;IND;PFV;PL;PST;V DEF;MASC;N;SG _
почти половината от живота си той прекара по снимачните площадки и засне над 40 филма , повечето от които с право бяха обявени за шедьоври .	почти половина от живот свой аз прекарам-(се) по снимачен площадка и заснема над четиридесет филм , повече от който с право съм обявя-(се) за шедьовър .	ADV DEF;FEM;N;SG ADP DEF;MASC;N;SG NOM;PRO;REFL 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;DEF;PL FEM;INDF;N;PL CONJ 3;ACT;FIN;IND;PFV;PST;SG;V ADP INDF;NUM;PL MASC;N _ ADV;DEF;PL ADP NOM;PL;PRO ADP INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PST;V INDF;PASS;PFV;PL;V;V.PTCP ADP INDF;MASC;N;PL _
пролетта на добруджа - това е безкрайно море от златни ниви .	пролет на добруджа - този съм безкраен море от златен нива .	DEF;FEM;N;SG ADP FEM;INDF;PROPN;SG _ DET;NEUT;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP ADJ;INDF;PL FEM;INDF;N;PL _
- цялата ми спортна кариера е минала през иван абаджиев .	- цял мой спортен кариера съм мина-(се) през иван абаджиев .	_ ADJ;DEF;FEM;SG 1;PRO ADJ;FEM;INDF;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;FEM;INDF;PFV;PST;SG;V;V.PTCP ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
нямах време да говоря , вкарах го на 1-вия етаж и започнах реанимация със свои сили .	нямам време да говоря , вкарам аз на първи етаж и започна реанимация със свой сила .	1;ACT;FIN;IND;IPFV;PST;SG;V INDF;N;NEUT;SG V 1;ACT;FIN;IND;IPFV;PRS;SG;V _ 1;ACT;FIN;IND;PFV;PST;SG;V 3;ACC;NEUT;PRO;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG CONJ 1;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;N;SG ADP DET;INDF;PL;REFL FEM;INDF;N;PL _
аграрното министерство наложи пълна забрана за внос на живи говеда , месо и месни продукти от говеждо и телешко от испания , германия , холандия , дания , франция , великобритания , швейцария , белгия и португалия .	аграрен министерство наложа-(се) пълен забрана за внос на жив говедо , месо и месен продукт от говежди и телешки от испания , германия , холандия , дания , франция , великобритания , швейцария , белгия и португалия .	ADJ;DEF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP INDF;MASC;N;SG ADP ADJ;INDF;PL INDF;N;NEUT;PL _ INDF;N;NEUT;SG CONJ ADJ;INDF;PL INDF;MASC;N;PL ADP ADJ;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;SG ADP FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG CONJ FEM;INDF;PROPN;SG _
тези майстори явно ще са същински гении след като ще разрешават специфичните проблеми на 130 напълно различни професии .	този майстор явно ще съм същински гений след като ще разрешавам специфичен проблем на 130 напълно различен професия .	DET;PL INDF;MASC;N;PL ADV V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL INDF;MASC;N;PL ADP ADP V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;DEF;PL INDF;MASC;N;PL ADP INDF;NUM;PL ADV ADJ;INDF;PL FEM;INDF;N;PL _
следващия вторник нис ще вземе решение за секретарите и ще приеме длъжностните им характеристики .	следвам вторник нис ще взема решение за секретар и ще приема длъжностен техен характеристика .	ACT;ADJ;DEF;IPFV;MASC;PRS;SG;V.PTCP INDF;MASC;N;SG DEF;MASC;PROPN;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;N;NEUT;SG ADP DEF;MASC;N;PL CONJ V 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;DEF;PL 3;PRO FEM;INDF;N;PL _
това е логична хипотеза , която би могла да се превърне в обект на дискусия .	този съм логичен хипотеза , който съм мога да се превърна-(се) в обект на дискусия .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG _ FEM;NOM;PRO;SG 3;COND;FIN;IPFV;PST;SG;V ACT;FEM;INDF;IPFV;PST;SG;V;V.PTCP V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP INDF;MASC;N;SG ADP FEM;INDF;N;SG _
според решението на последната национална конференция на сдс съвместяването на постове е недопустимо .	според решение на последен национален конференция на сдс съвместяване на пост съм недопустим .	ADP DEF;N;NEUT;SG ADP ADJ;DEF;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;MASC;PROPN;SG DEF;N;NEUT;SG ADP INDF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;NEUT;SG _
какви са впечатленията ви след непосредственото запознаване с обстановката в българия ?	какъв съм впечатление ваш след непосредствен запознаване с обстановка в българия ?	DET;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;N;NEUT;PL 2;PRO ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP DEF;FEM;N;SG ADP FEM;INDF;PROPN;SG _
шефът на бок иван славков прекрачи входа на спортната палата година след последната си среща с бившия министър цвятко барчовски .	шеф на бок иван славков прекрача вход на спортен палата година след последен свой среща с бивш министър цвятко барчовски .	DEF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG FEM;INDF;N;SG ADP ADJ;DEF;FEM;SG NOM;PRO;REFL FEM;INDF;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
взех те за директора .	взема аз за директор .	1;ACT;FIN;IND;PFV;PST;SG;V 2;ACC;PRO;SG ADP DEF;MASC;N;SG _
патентоспособни полезни модели	патентоспособен полезен модел	ADJ;INDF;PL ADJ;INDF;PL INDF;MASC;N;PL
лицензите за търговия с алкохол и цигари се подновяват всяка година и търговците често се оплаквали от бавната процедура , която продължава до месец и половина .	лиценз за търговия с алкохол и цигара се подновявам-(се) всеки година и търговец често се оплаквам-(се) от бавен процедура , който продължавам до месец и половина .	DEF;MASC;N;PL ADP FEM;INDF;N;SG ADP INDF;MASC;N;SG CONJ FEM;INDF;N;PL ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V DET;FEM;SG FEM;INDF;N;SG CONJ DEF;MASC;N;PL ADV ACC;PRO;REFL ACT;INDF;IPFV;PL;V;V.PTCP ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP INDF;MASC;N;SG CONJ FEM;INDF;N;SG _
можеше да начертае бъдещето , без да е пророк или ясновидец .	мога да начертая бъдеще , без да съм пророк или ясновидец .	3;ACT;FIN;IND;IPFV;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;N;NEUT;SG _ ADP V 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG CONJ INDF;MASC;N;SG _
в тези условия изглежда съвсем неясно как пенсионерите ще живеят с 2,73 лв. на ден при разчетен минимум 7 лв.	в този условие изглежда съвсем неясно как пенсионер ще живея с 2,73 лев на ден при разчета-(се) минимум седем лев	ADP DET;PL INDF;N;NEUT;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADV ADV DEF;MASC;N;PL V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP INDF;NUM;PL MASC;N ADP INDF;MASC;N;SG ADP ADJ;INDF;MASC;PASS;PFV;SG;V.PTCP INDF;MASC;N;SG INDF;NUM;PL MASC;N
- какво е значението на това решение за хората на културата ?	- какъв съм значение на този решение за хора на култура ?	_ DET;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG ADP DET;NEUT;NOM;SG INDF;N;NEUT;SG ADP DEF;N ADP DEF;FEM;N;SG _
едно стъкло ракия , панделка на шията и ментени бонбони .	един стъкло ракия , панделка на шия и ментен бонбон .	DET;INDF;NEUT;NOM;SG INDF;N;NEUT;SG FEM;INDF;N;SG _ FEM;INDF;N;SG ADP DEF;FEM;N;SG CONJ ADJ;INDF;PL INDF;MASC;N;PL _
вашето пожелание за възпитаниците на училището в дните около празниците ?	ваш пожелание за възпитаник на училище в ден около празник ?	2;DEF;DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC;N;PL ADP DEF;N;NEUT;SG ADP DEF;MASC;N;PL ADP DEF;MASC;N;PL _
харно , ама свако дан си имал също план ...	харно , ама свако дан се имам също план ...	ADV _ CONJ INDF;MASC;N;SG INDF;MASC;PROPN;SG DAT;PRO;REFL ACT;INDF;IPFV;MASC;SG;V;V.PTCP ADV INDF;MASC;N;SG _
с него ще говоря .	с аз ще говоря .	ADP 3;ACC;MASC;PRO;SG V 1;ACT;FIN;IND;IPFV;PRS;SG;V _
- к'ва работа , бе ?	- какъв работа , бе ?	_ DET;FEM;SG FEM;INDF;N;SG _ PART _
веднага се припомниха имената и на марин маринов , и на пламен радонов , на мишо михайлов , на костадин таушанов ...	веднага се припомня-(си) име и на марин маринов , и на пламен радонов , на мишо михайлов , на костадин таушанов ...	ADV ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V DEF;N;NEUT;PL CONJ ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ CONJ ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
ние сме човеци , ние сме българи , ние изпълнихме нашата света длъжност към отечеството .	аз съм човек , аз съм българин , аз изпълня-(се) наш свет длъжност към отечество .	1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL _ 1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL _ 1;NOM;PL;PRO 1;ACT;FIN;IND;PFV;PL;PST;V 1;DEF;DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;N;NEUT;SG _
не можах да му дам синдиката за партийни цели .	не мога да аз дам-(се) синдикат за партиен цел .	NEG;PART 1;ACT;FIN;IND;IPFV;PST;SG;V V 3;DAT;MASC;PRO;SG 1;ACT;FIN;IND;PFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;INDF;PL FEM;INDF;N;PL _
министърът обяви , че щял да направи широка обществена дискусия по въпроса и щял да се допита дали да не внесе поправки в закона преди влизането му в сила на 31 март .	министър обявя-(се) , че ща да направя-(се) широк обществен дискусия по въпрос и ща да се допитам-се дали да не внеса поправка в закон преди влизане негов в сила на 31 март .	DEF;MASC;N;SG 3;ACT;FIN;IND;PFV;PST;SG;V _ CONJ ACT;INDF;IPFV;MASC;SG;V;V.PTCP V 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;MASC;N;SG CONJ ACT;INDF;IPFV;MASC;SG;V;V.PTCP V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V PART V NEG;PART 3;ACT;FIN;IND;PFV;PRS;SG;V FEM;INDF;N;PL ADP DEF;MASC;N;SG ADP DEF;N;NEUT;SG 3;PRO ADP FEM;INDF;N;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _
ако някой наистина иска да плати толкова много пари , за да не излезе тя , това е просто поразително : по-добре да ги дадат за попълване бюджета на украйна ...	ако някой наистина искам да платя толкова много пара , за да не изляза аз , този съм просто поразителен : добре да аз дам-(се) за попълване бюджет на украйна ...	CONJ MASC;NOM;PRO;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V ADV ADV;INDF;PL FEM;INDF;N;PL _ ADP V NEG;PART 3;ACT;FIN;IND;PFV;PRS;SG;V 3;FEM;NOM;PRO;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;INDF;NEUT;SG _ ADV;CMPR V 3;ACC;PL;PRO 3;ACT;FIN;IND;PFV;PL;PRS;V ADP INDF;N;NEUT;SG DEF;MASC;N;SG ADP FEM;INDF;PROPN;SG _
той даде пример с " кремиковци " и " нефтохим " .	аз дам-(се) пример с " кремиковци " и " нефтохим " .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;N;SG ADP _ INDF;PROPN _ CONJ _ INDF;MASC;PROPN;SG _ _
- о , аз ще отмъстя на тия принцове и князе .	- о , аз ще отмъстя на този принц и княз .	_ INTJ _ 1;NOM;PRO;SG V 1;ACT;FIN;IND;PFV;PRS;SG;V ADP DET;PL INDF;MASC;N;PL CONJ INDF;MASC;N;PL _
предпочитах да бях му го давал .	предпочитам да съм аз аз давам-(се) .	1;ACT;FIN;IND;IPFV;SG;V V 1;ACT;FIN;IND;IPFV;PST;SG;V 3;DAT;MASC;PRO;SG 3;ACC;MASC;PRO;SG ACT;INDF;IPFV;MASC;PST;SG;V;V.PTCP _
вера александрова	вера александрова	FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG
